TF	target	importance
G12	G8	63.153568465056864
G4	G18	50.905942763303095
G33	G77	49.84497864951806
G84	G94	48.81470309818767
G30	G84	47.533202037103635
G8	G12	45.86286826614242
G5	G59	43.99620552464619
G85	G84	39.90088830766168
G92	G84	37.85719407558507
G30	G32	37.538571868783556
G23	G59	37.49527261023799
G32	G84	37.464197092573656
G84	G32	37.13528687487197
G2	G22	35.31005521117384
G59	G5	33.24468560779425
G69	G59	32.67229071213086
G3	G79	31.289679179050403
G99	G32	30.813135806762006
G92	G94	28.818301808501165
G85	G94	27.436628441040646
G30	G94	27.42683384556067
G84	G92	26.991975743012535
G85	G92	26.96081620992272
G79	G3	26.868156745613387
G85	G32	25.497942662579696
G57	G5	25.437165446962315
G15	G22	25.411145366166796
G69	G5	25.249196338501626
G99	G84	25.022508024130953
G23	G5	24.429466052549685
G92	G32	24.418852864727665
G69	G23	24.145088637429087
G59	G69	24.00108732130653
G94	G84	23.15914752730723
G5	G57	22.862920679360666
G65	G77	22.176913200900874
G23	G69	22.014874112352125
G7	G70	20.78010250112175
G72	G70	20.742068532581513
G59	G57	20.684853132024656
G31	G84	20.263645182972237
G30	G92	19.53452135572957
G94	G32	19.298034686356598
G57	G59	18.67934533494882
G59	G23	18.095120325370853
G32	G94	17.696437688853873
G57	G23	16.99753529141098
G23	G57	16.590421224382773
G65	G33	16.36464223444176
G50	G69	16.292196654387194
G77	G33	16.28956163434719
G82	G63	16.092053599550077
G5	G23	15.886020052026627
G98	G22	15.026870467544802
G55	G6	14.05105515354054
G44	G47	14.01032135513228
G69	G57	13.968452207658114
G47	G44	13.782269476215822
G97	G92	13.217808705602351
G31	G18	13.168975870190375
G32	G92	12.895493235515719
G33	G65	12.632670086155612
G80	G28	12.302205899393321
G60	G94	12.069866653803174
G77	G65	12.038841762723965
G52	G14	11.901540928961783
G5	G69	11.87897539486647
G36	G22	11.862775808171605
G32	G85	11.621723367774086
G19	G32	11.340196612036362
G50	G59	11.262111292741283
G14	G52	11.127785596075427
G84	G97	11.026197626362892
G19	G84	10.71901863799725
G41	G59	10.617011616604229
G6	G57	10.481638267806172
G40	G14	10.243390476869449
G94	G92	10.232702561528981
G92	G97	10.200950902497212
G63	G82	10.063760722968231
G76	G14	9.999546463354179
G22	G98	9.792442721940008
G97	G84	9.716601351017632
G2	G15	9.696022502393836
G9	G22	9.675209232040624
G8	G14	9.638686980636566
G97	G94	9.480179314515778
G98	G26	9.44959728879522
G78	G84	9.274021087031288
G84	G30	9.198579882126003
G57	G69	9.180626421336447
G30	G18	9.004939517470921
G99	G94	9.003798495910438
G35	G99	8.949644726679647
G39	G44	8.880857319953288
G15	G18	8.789500372754825
G78	G22	8.771934849813906
G54	G14	8.690951830203307
G11	G8	8.576833283195446
G94	G97	8.417684598393015
G46	G8	8.352538611954852
G42	G84	8.305262379748633
G42	G32	8.279990904735472
G22	G2	8.244277248955552
G6	G55	8.101272916377322
G17	G84	8.07096712320181
G78	G8	8.049169281313072
G84	G18	7.959452351199121
G27	G12	7.810132059336088
G14	G22	7.75518812110445
G75	G59	7.696892985145929
G15	G2	7.6747691347195905
G56	G62	7.629969802098536
G36	G15	7.537117598590067
G83	G14	7.487495080711831
G20	G77	7.47753213209064
G26	G98	7.444057154671015
G22	G15	7.2948591520953325
G11	G12	7.266550601681342
G99	G92	7.209155334596836
G11	G84	7.110303053376512
G66	G70	7.106703852310552
G30	G12	7.0359873564191036
G99	G30	6.980242497788996
G4	G57	6.96427285814282
G57	G14	6.960509796247319
G41	G5	6.911195902959276
G40	G84	6.8870909130218605
G99	G18	6.792331709662898
G22	G14	6.756132945754759
G60	G32	6.70064799739002
G50	G23	6.692642276024378
G48	G5	6.656656958409825
G14	G15	6.654897412785041
G39	G23	6.638132758258441
G80	G77	6.634290042791665
G10	G27	6.581917967566792
G90	G3	6.4865620472936385
G18	G4	6.446859295846606
G96	G6	6.38375617840436
G70	G12	6.338178396352302
G76	G24	6.301050140658802
G70	G7	6.285623886320328
G90	G82	6.186871315610582
G56	G14	6.185991473753501
G13	G22	6.172827342351298
G78	G94	6.154676264891698
G64	G69	6.151785054367612
G28	G80	6.144795660137098
G35	G44	6.1400678428481035
G89	G8	6.135351001952276
G36	G14	6.115030883602862
G92	G85	6.113810528377548
G41	G55	6.0934277485799715
G91	G5	6.088747047795811
G85	G8	6.070554838758613
G78	G18	6.068134315018452
G11	G98	6.067012638879197
G58	G84	5.993325599981095
G17	G99	5.989520149128677
G23	G79	5.956785927713794
G27	G82	5.885753235595502
G7	G94	5.88141896511299
G32	G99	5.811869038806559
G94	G30	5.7989801271789485
G27	G63	5.759223863173137
G96	G57	5.723113104988438
G91	G94	5.7010969839958054
G52	G22	5.68885771960507
G98	G94	5.685259106042415
G99	G77	5.638263063932875
G67	G77	5.632844868344139
G96	G18	5.617171422492399
G39	G79	5.51971713769737
G9	G40	5.490741917305368
G7	G72	5.45385953493119
G40	G94	5.452270897316013
G78	G14	5.440897254486073
G77	G47	5.436511357282015
G78	G57	5.403456831578677
G48	G22	5.372664103720194
G19	G94	5.368251044111862
G92	G30	5.3166710240615656
G86	G84	5.31133441685182
G80	G65	5.309243078835699
G56	G12	5.248954728357819
G43	G77	5.206576336964885
G31	G32	5.20294848815054
G1	G59	5.19539031133096
G97	G32	5.189993854378858
G79	G12	5.187227270842126
G60	G30	5.159051234166484
G30	G99	5.149382297359818
G93	G94	5.111175882986957
G10	G57	5.057057153013974
G63	G12	5.005201731529371
G57	G22	4.976619096664375
G13	G44	4.954926797168682
G35	G32	4.95269070791164
G60	G57	4.951738091231318
G63	G27	4.899306545411225
G2	G36	4.881567020653072
G21	G79	4.873147439943455
