Gene1	Gene2	EdgeWeight
G84	G32	0.9919354915618896
G5	G57	0.9900000095367432
G30	G84	0.9891446828842164
G84	G30	0.9881720542907716
G84	G92	0.9868279099464417
G30	G32	0.9861841797828674
G84	G94	0.9857526421546936
G84	G85	0.9838709831237792
G84	G19	0.9830645322799684
G5	G59	0.9826316237449646
G92	G94	0.9821428656578064
G84	G99	0.9811828136444092
G5	G69	0.9807894229888916
G92	G84	0.979847013950348
G84	G48	0.979838728904724
G24	G73	0.979619562625885
G84	G93	0.9795698523521424
G61	G10	0.979530155658722
G5	G23	0.9794736504554749
G30	G85	0.9792762398719788
G5	G87	0.9786841869354248
G61	G47	0.9785234928131104
G77	G33	0.9784848093986512
G24	G76	0.9779891371726991
G84	G10	0.977957010269165
G84	G54	0.9779569506645204
G5	G91	0.9778947234153748
G61	G43	0.9778523445129396
G24	G85	0.9777174592018129
G84	G1	0.9776881337165833
G84	G97	0.9774193167686462
G30	G98	0.9773026704788208
G84	G26	0.977150559425354
G84	G6	0.9768816828727722
G84	G31	0.9768816828727722
G70	G7	0.976649820804596
G30	G58	0.9766448140144348
G5	G26	0.976578950881958
G84	G57	0.976344108581543
G84	G46	0.9763440489768982
G30	G99	0.97631573677063
G24	G54	0.9760869145393372
G84	G14	0.976075291633606
G84	G87	0.9760752320289612
G61	G46	0.9758388996124268
G24	G53	0.9758152365684508
G24	G97	0.9758152365684508
G84	G69	0.9758064746856691
G5	G86	0.9757894277572632
G84	G75	0.9755375981330872
G84	G73	0.9755375981330872
G5	G13	0.9755263328552246
G5	G49	0.9755263328552246
G5	G29	0.9755263328552246
G30	G94	0.9753289222717284
G24	G59	0.975271701812744
G24	G21	0.975271701812744
G84	G50	0.975000023841858
G5	G17	0.975000023841858
G84	G88	0.975000023841858
G84	G98	0.975000023841858
G84	G53	0.9749999642372132
G5	G10	0.9747368097305298
G84	G8	0.9747312068939208
G84	G39	0.9747312068939208
G84	G81	0.9747312068939208
G84	G42	0.9747310876846312
G5	G11	0.9744736552238464
G5	G47	0.9744736552238464
G24	G57	0.974456548690796
G24	G94	0.974456548690796
G5	G15	0.9742105007171632
G5	G6	0.9742105007171632
G84	G72	0.9741936326026917
G84	G3	0.974193513393402
G84	G37	0.974193513393402
G84	G74	0.974193513393402
G84	G100	0.9741934537887572
G24	G10	0.9741848111152648
G61	G35	0.9741611480712892
G61	G84	0.9741610288619996
G30	G90	0.9740131497383118
G84	G38	0.97392475605011
G84	G70	0.9739246964454652
G61	G88	0.9738255739212036
G5	G12	0.9736841917037964
G30	G87	0.9736841917037964
G5	G73	0.9736841917037964
G84	G52	0.9736559391021729
G84	G91	0.9736559391021729
G84	G25	0.9736559391021729
G84	G96	0.973655879497528
G24	G98	0.973641276359558
G84	G12	0.9733871221542358
G84	G18	0.9733870029449464
G24	G17	0.973369598388672
G24	G37	0.9733695387840272
G30	G64	0.9733553528785706
G92	G97	0.9732142686843872
G5	G84	0.9731578826904296
G84	G90	0.9731183052062988
G84	G22	0.9731183052062988
G84	G21	0.9731183052062988
G84	G82	0.9731183052062988
G24	G99	0.9730977416038512
G84	G29	0.972849428653717
G24	G14	0.9728260636329652
G24	G89	0.9728260636329652
G61	G14	0.9728187918663024
G30	G37	0.9726974368095398
G5	G45	0.972631573677063
G84	G36	0.9725806713104248
G24	G13	0.9725543856620787
G5	G31	0.9723684191703796
G84	G16	0.9723118543624878
G24	G30	0.9722825884819032
G84	G71	0.9720430374145508
G84	G86	0.9720430374145508
G84	G56	0.9720430374145508
G84	G24	0.9720430374145508
G24	G50	0.9720109105110168
G24	G2	0.9720109105110168
G24	G38	0.9720107913017272
G24	G48	0.9720107913017272
G5	G90	0.9718420505523682
G5	G76	0.9718420505523682
G61	G12	0.9718121290206908
G61	G32	0.9718121290206908
G84	G13	0.9717742204666138
G84	G78	0.9717742204666138
G24	G56	0.9717390537261964
G30	G42	0.9717105031013488
G5	G25	0.9715788960456848
G5	G55	0.9715788960456848
G84	G7	0.971505343914032
G24	G34	0.97146737575531
G24	G60	0.97146737575531
G24	G44	0.97146737575531
G30	G5	0.9713815450668336
G30	G7	0.9713815450668336
G5	G98	0.9713157415390016
G5	G33	0.9713157415390016
G84	G89	0.9712365865707396
G84	G4	0.9712365865707396
G84	G33	0.971236526966095
G84	G68	0.971236526966095
G84	G40	0.971236526966095
G61	G53	0.9711409211158752
G5	G71	0.9710526466369628
G5	G74	0.9710526466369628
G84	G58	0.9709677696228028
G84	G63	0.9709677696228028
G24	G58	0.9709239602088928
G24	G7	0.9709239006042479
G61	G69	0.9708054065704346
G5	G53	0.9707895517349244
G5	G80	0.9707895517349244
G5	G34	0.9707895517349244
G5	G46	0.9707895517349244
G5	G63	0.9707894325256348
G30	G75	0.9707236886024476
G84	G45	0.9706989526748656
G84	G76	0.9706989526748656
G24	G69	0.9706522226333618
G24	G90	0.9706521034240724
G84	G43	0.9704301357269288
G84	G66	0.9704301357269288
G92	G45	0.9704081416130066
G30	G83	0.970394730567932
G24	G43	0.9703804254531859
G24	G95	0.9703804254531859
G24	G81	0.9703804254531859
G24	G75	0.9703803658485411
G5	G89	0.9702631831169128
G5	G78	0.9702631831169128
G5	G54	0.970263123512268
G84	G9	0.9701613783836364
G84	G41	0.9701612591743468
G61	G87	0.9701342582702636
G24	G19	0.970108687877655
G24	G72	0.970108687877655
G24	G4	0.970108687877655
G24	G100	0.970108687877655
G24	G46	0.970108687877655
G30	G17	0.9700657725334167
G5	G70	0.9700000286102296
G5	G24	0.9700000286102296
G5	G14	0.9700000286102296
G84	G60	0.96989244222641
G61	G55	0.9697986841201782
G61	G16	0.9697986841201782
G61	G67	0.9697986841201782
G30	G95	0.969736874103546
G30	G70	0.9697368144989014
G5	G18	0.9697368144989014
G30	G13	0.9697368144989014
G84	G20	0.9696236848831176
G84	G17	0.9696236848831176
G24	G74	0.9695652723312378
G24	G47	0.969565212726593
G24	G1	0.969565212726593
G5	G35	0.969473659992218
G61	G93	0.9694631695747375
G61	G52	0.969463050365448
G61	G58	0.969463050365448
G84	G11	0.9693548679351808
G84	G62	0.9693548679351808
G84	G5	0.9693548679351808
G84	G49	0.9693548679351808
G84	G80	0.9693548679351808
G24	G35	0.9692934155464172
G5	G64	0.9692105054855348
G85	G92	0.9692052602767944
G61	G86	0.969127595424652
G61	G20	0.9691274762153624
G61	G54	0.9691274762153624
G84	G59	0.9690860509872437
G24	G11	0.9690217375755309
G5	G36	0.9689472913742064
G5	G1	0.9689472913742064
G92	G85	0.9688774943351746
G84	G2	0.968817174434662
G61	G44	0.968791961669922
G70	G12	0.9687816500663756
G30	G11	0.96875
G24	G31	0.96875
G24	G87	0.96875
G24	G84	0.96875
G30	G56	0.96875
G30	G35	0.96875
G5	G79	0.9686841368675232
G84	G95	0.9685484170913696
G85	G94	0.9685430526733398
G61	G85	0.9684563875198364
G61	G98	0.9684563875198364
G61	G68	0.9684562683105468
G30	G60	0.9684210419654846
G5	G95	0.9684210419654846
G30	G100	0.9684210419654846
G5	G37	0.9684210419654846
G30	G97	0.9684210419654846
G30	G40	0.9684210419654846
G30	G24	0.9684210419654846
G70	G72	0.9682741165161132
G24	G83	0.9682065844535828
G30	G39	0.968092143535614
G84	G61	0.9680106639862059
G24	G42	0.9679347276687622
G24	G80	0.9679347276687622
G5	G20	0.967894732952118
G30	G38	0.9677631855010986
G30	G65	0.967763125896454
G30	G66	0.967763125896454
G84	G44	0.9677419066429138
G63	G82	0.9677419066429138
G84	G64	0.9677419066429138
G24	G86	0.967663049697876
G5	G43	0.9676316380500792
G5	G75	0.9676316380500792
G5	G51	0.9676315188407898
G30	G16	0.9674342274665833
G30	G43	0.9674341082572936
G24	G16	0.967391312122345
G24	G20	0.967391312122345
G24	G79	0.967391312122345
G5	G72	0.9673684239387512
G5	G19	0.9673684239387512
G5	G28	0.9673683643341064
G27	G82	0.9673076272010804
G24	G88	0.9671195745468141
G24	G36	0.9671195745468141
G61	G64	0.9671141505241394
G61	G97	0.96711403131485
G61	G1	0.96711403131485
G5	G97	0.967105269432068
G30	G92	0.967105269432068
G5	G32	0.967105269432068
G84	G35	0.9669355154037476
G84	G65	0.9669354557991028
G24	G63	0.9668478965759276
G24	G9	0.9668477773666382
G92	G32	0.9668366312980652
G61	G11	0.9667785167694092
G30	G72	0.9667763113975524
G84	G67	0.9666666984558104
G5	G22	0.966579020023346
G5	G94	0.9665789008140564
G24	G71	0.9665760397911072
G24	G40	0.9665760397911072
G85	G57	0.9665562510490416
G30	G69	0.966447412967682
G30	G19	0.9664473533630372
G30	G12	0.9664473533630372
G30	G45	0.9664473533630372
G61	G6	0.9664429426193236
G61	G26	0.9664429426193236
G61	G41	0.9664429426193236
G5	G7	0.9663158059120178
G5	G93	0.9663158059120178
G5	G99	0.9663157463073729
G24	G70	0.966304361820221
G24	G92	0.966304361820221
G24	G32	0.966304361820221
G24	G3	0.966304361820221
G61	G21	0.9661074876785278
G61	G50	0.9661073684692384
G61	G75	0.9661073684692384
G61	G62	0.9661073684692384
G5	G68	0.9660526514053344
G5	G92	0.9660526514053344
G5	G61	0.9660526514053344
G5	G40	0.9660526514053344
G5	G85	0.9660526514053344
G24	G55	0.96603262424469
G24	G41	0.96603262424469
G5	G58	0.9657894968986512
G5	G21	0.9657894968986512
G30	G51	0.9657893776893616
G61	G96	0.9657718539237976
G61	G8	0.9657718539237976
G61	G5	0.9657717943191528
G84	G47	0.9655914306640624
G4	G90	0.9655628204345704
G5	G56	0.9655264019966124
G5	G44	0.965526282787323
G5	G77	0.965526282787323
G24	G39	0.9654892086982728
G24	G62	0.9654892086982728
G24	G18	0.9654890894889832
G24	G96	0.9654890894889832
G24	G29	0.9654890894889832
G24	G15	0.9654890894889832
G30	G81	0.9654605388641356
G30	G34	0.9654605388641356
G30	G91	0.9654605388641356
G30	G4	0.9654605388641356
G61	G70	0.9654362797737122
G61	G60	0.9654362797737122
G61	G37	0.9654362797737122
G61	G18	0.9654362797737122
G61	G92	0.9654362797737122
G84	G27	0.9653226137161256
G5	G52	0.9652631878852844
G5	G82	0.9652631282806396
G24	G93	0.965217351913452
G50	G85	0.9651315808296204
G30	G93	0.9651315808296204
G30	G68	0.9651315808296204
G61	G91	0.9651007056236268
G84	G79	0.9650537371635436
G24	G66	0.964945673942566
G24	G23	0.964945673942566
G30	G78	0.9648026823997498
G30	G88	0.9648025631904602
G30	G27	0.9648025631904602
G84	G23	0.9647850394248962
G84	G51	0.9647850394248962
G61	G38	0.9647650718688964
G5	G2	0.9647368788719176
G24	G6	0.9646739363670348
G24	G91	0.9646739363670348
G24	G27	0.9646739363670348
G4	G18	0.9645695686340332
G84	G77	0.9645161032676696
G30	G15	0.9644737243652344
G5	G81	0.9644736647605896
G30	G6	0.9644736051559448
G61	G100	0.9644296169281006
G61	G48	0.9644296169281006
G24	G51	0.9644022583961488
G24	G49	0.9644022583961488
G24	G64	0.9644021391868592
G24	G52	0.9644021391868592
G84	G15	0.9642473459243774
G5	G41	0.9642105102539062
G5	G62	0.9642105102539062
G30	G50	0.9641447663307191
G24	G8	0.964130401611328
G24	G82	0.964130401611328
G27	G91	0.9641025066375732
G61	G42	0.9640939235687256
G43	G16	0.9640522599220276
G84	G83	0.9639785289764404
G5	G16	0.9639473557472228
G24	G65	0.9638586640357972
G30	G10	0.9638158082962036
G61	G7	0.9637584090232848
G5	G96	0.9636842608451844
G5	G42	0.9636842608451844
G5	G100	0.9636842608451844
G5	G27	0.9636841416358948
G30	G8	0.9634868502616882
G30	G62	0.9634868502616882
G30	G82	0.9634868502616882
G50	G53	0.9634868502616882
G84	G55	0.9634408354759216
G61	G57	0.9634228348731996
G61	G89	0.9634228348731996
G61	G51	0.96342271566391
G5	G48	0.9634210467338562
G30	G54	0.9631579518318176
G5	G39	0.9631578922271729
G30	G71	0.963157832622528
G27	G10	0.9631410241127014
G61	G31	0.963087260723114
G61	G77	0.963087260723114
G61	G2	0.963087260723114
G5	G66	0.9628947973251344
G5	G3	0.9628947377204896
G30	G36	0.9628289937973022
G61	G63	0.9627517461776732
G61	G25	0.9627517461776732
G43	G75	0.9627451300621032
G5	G50	0.9626315236091614
G30	G22	0.9625000357627868
G30	G61	0.9625000357627868
G24	G77	0.9625000357627868
G61	G73	0.962416172027588
G61	G17	0.962416172027588
G61	G90	0.9624160528182985
G61	G72	0.9624160528182985
G84	G28	0.9623655676841736
G94	G85	0.9621795415878296
G30	G52	0.9621710777282716
G30	G74	0.9621710777282716
G30	G31	0.9621710777282716
G5	G9	0.9621052742004396
G61	G71	0.9620805978775024
G61	G81	0.9620804786682128
G61	G28	0.9620804786682128
G24	G33	0.96195650100708
G24	G12	0.96195650100708
G47	G44	0.9618589878082277
G5	G88	0.961842119693756
G30	G28	0.9618420600891112
G43	G58	0.9617646932601928
G61	G59	0.9617449641227722
G24	G26	0.9616848230361938
G24	G67	0.9616847634315492
G85	G98	0.9615893959999084
G77	G80	0.9615151286125184
G61	G33	0.9614093899726868
G61	G34	0.9614093899726868
G61	G9	0.9614093899726868
G61	G74	0.9614093899726868
G5	G67	0.9613158106803894
G5	G60	0.9613157510757446
G5	G38	0.9613157510757446
G30	G18	0.9611841440200806
G61	G39	0.9610738158226012
G61	G4	0.9610738158226012
G4	G98	0.960927188396454
G24	G68	0.9608696103096008
G30	G67	0.9608553051948548
G61	G99	0.960738241672516
G61	G76	0.960738241672516
G61	G19	0.960738241672516
G92	G63	0.9607142210006714
G63	G53	0.9606451392173768
G24	G45	0.960597813129425
G5	G65	0.9605262875556946
G30	G63	0.9605262875556946
G30	G1	0.9605262875556946
G24	G5	0.9603261351585388
G85	G26	0.9602649211883544
G85	G75	0.9602649211883544
G43	G13	0.9601307511329652
G68	G58	0.9601306915283204
G24	G25	0.9600543975830078
G5	G4	0.959999978542328
G92	G39	0.9599489569664
G4	G7	0.9599337577819824
G30	G49	0.9598683714866638
G24	G28	0.9597826600074768
G61	G27	0.9597315192222596
G85	G72	0.9596025943756104
G30	G76	0.959539532661438
G24	G61	0.9595108628273009
G85	G2	0.9592715501785278
G30	G89	0.9592105746269226
G30	G29	0.9592104554176332
G43	G26	0.9591503143310548
G43	G67	0.9591503143310548
G61	G94	0.9590603709220886
G61	G82	0.9590603709220886
G85	G53	0.9589404463768004
G85	G84	0.9589404463768004
G30	G33	0.9588815569877625
G30	G44	0.9588815569877625
G30	G73	0.9588815569877625
G84	G34	0.9588710069656372
G61	G15	0.9587247967720032
G24	G78	0.9586955904960632
G92	G99	0.9586734175682068
G47	G87	0.9586538672447203
G30	G59	0.9585525989532472
G61	G80	0.9583892822265624
G85	G54	0.9582781195640564
G4	G40	0.9582781195640564
G4	G94	0.9582781195640564
G30	G47	0.9582237601280212
G68	G85	0.9581698775291444
G43	G49	0.9581698775291444
G5	G83	0.9581578969955444
G85	G27	0.957947075366974
G85	G51	0.9579469561576844
G30	G86	0.957894802093506
G5	G30	0.9578947424888612
G63	G33	0.957741916179657
G61	G83	0.9573825001716614
G61	G95	0.9573825001716614
G85	G66	0.9572848081588744
G68	G65	0.9571896195411682
G5	G8	0.9571052193641664
G63	G74	0.9570968151092528
G61	G30	0.957046926021576
G96	G74	0.956961989402771
G30	G2	0.9569078683853148
G30	G21	0.9569078683853148
G30	G79	0.9569078683853148
G14	G21	0.9568628072738647
G68	G42	0.9568626880645752
G43	G64	0.9568626880645752
G70	G10	0.9568527936935424
G61	G23	0.9567114114761353
G61	G65	0.9567114114761353
G92	G43	0.9566325545310974
G85	G49	0.9566224813461304
G85	G47	0.9566224813461304
G4	G86	0.9566224813461304
G85	G83	0.9566224813461304
G43	G85	0.9565358757972716
G63	G89	0.9564515948295592
G61	G36	0.9563758373260498
G77	G65	0.9563636779785156
G85	G4	0.956291437149048
G4	G31	0.956291437149048
G85	G79	0.9562913775444032
G85	G87	0.9562913775444032
G4	G62	0.9562913775444032
G30	G55	0.9562499523162842
G43	G90	0.9562091827392578
G14	G44	0.9562091827392578
G68	G54	0.9562090635299684
G68	G10	0.9562090635299684
G63	G13	0.9561290144920348
G47	G84	0.9560897946357728
G96	G76	0.9560126662254332
G30	G20	0.9559209942817688
G43	G100	0.9558823704719543
G92	G78	0.9558672904968262
G61	G24	0.9557047486305236
G61	G13	0.9557047486305236
G96	G67	0.9556962251663208
G4	G74	0.9556291699409484
G4	G1	0.9556291699409484
G92	G91	0.9556122422218324
G30	G80	0.9555920958518982
G68	G62	0.9555555582046508
G61	G79	0.9553690552711488
G92	G30	0.9553571343421936
G92	G42	0.9553571343421936
G4	G84	0.9552980065345764
G4	G54	0.9552980065345764
G30	G48	0.9552631378173828
G43	G88	0.9552288055419922
G68	G8	0.9552287459373474
G85	G39	0.954966962337494
G85	G99	0.9549668431282043
G4	G65	0.9549668431282043
G4	G48	0.9549668431282043
G4	G49	0.9549668431282043
G85	G97	0.9549668431282043
G30	G14	0.954934298992157
G30	G3	0.954934298992157
G50	G79	0.9549341797828674
G43	G66	0.9549019932746888
