Gene1,Gene2,EdgeWeight
G1,G2,0.7714583277702332
G1,G3,0.7679166793823242
G1,G4,0.7775000333786011
G1,G5,0.7822916507720947
G1,G6,0.778541624546051
G1,G7,0.7652083039283752
G1,G8,0.7608333826065063
G1,G9,0.76624995470047
G1,G10,0.7693750262260437
G1,G11,0.7685416340827942
G1,G12,0.7674999833106995
G1,G13,0.7718750834465027
G1,G14,0.7718750238418579
G1,G15,0.7697916030883789
G1,G16,0.7877083420753479
G1,G17,0.7641666531562805
G1,G18,0.7629166841506958
G1,G19,0.7556249499320984
G1,G20,0.7714583873748779
G1,G21,0.783333420753479
G1,G22,0.7797917127609253
G1,G23,0.7647916674613953
G1,G24,0.7772916555404663
G1,G25,0.7604166269302368
G1,G26,0.7633333802223206
G1,G27,0.7612499594688416
G1,G28,0.7668750286102295
G1,G29,0.7639582753181458
G1,G30,0.7612499594688416
G1,G31,0.7614583373069763
G1,G32,0.7643750309944153
G1,G33,0.762708306312561
G1,G34,0.7612499594688416
G1,G35,0.7606250047683716
G1,G36,0.7545833587646484
G1,G37,0.7649999856948853
G1,G38,0.7850000262260437
G1,G39,0.7691666483879089
G1,G40,0.7670832872390747
G1,G41,0.7729166746139526
G1,G42,0.7731249928474426
G1,G43,0.7645833492279053
G1,G44,0.7641667127609253
G1,G45,0.7941666841506958
G1,G46,0.7616666555404663
G1,G47,0.7647916674613953
G1,G48,0.7704166769981384
G1,G49,0.7710416913032532
G1,G50,0.7704166769981384
G1,G51,0.7741667032241821
G1,G52,0.76604163646698
G1,G53,0.762291669845581
G1,G54,0.7683333158493042
G1,G55,0.762708306312561
G1,G56,0.762291669845581
G1,G57,0.7541667222976685
G1,G58,0.7733333706855774
G1,G59,0.7681249976158142
G1,G60,0.7666666507720947
G1,G61,0.7631250023841858
G1,G62,0.7599999904632568
G1,G63,0.7606250047683716
G1,G64,0.7633333206176758
G1,G65,0.7639582753181458
G1,G66,0.762291669845581
G1,G67,0.7793750166893005
G1,G68,0.7597916722297668
G1,G69,0.7595833539962769
G1,G70,0.7797916531562805
G1,G71,0.7618749737739563
G1,G72,0.753333330154419
G1,G73,0.7666666507720947
G1,G74,0.78104168176651
G1,G75,0.7668750882148743
G1,G76,0.7637500166893005
G1,G77,0.7629166841506958
G1,G78,0.7941666841506958
G1,G79,0.7685416340827942
G1,G80,0.7554166913032532
G1,G81,0.762499988079071
G1,G82,0.7641666531562805
G1,G83,0.7639583349227905
G1,G84,0.7722917795181274
G1,G85,0.7768750786781311
G1,G86,0.7627083659172058
G1,G87,0.796875
G1,G88,0.768958330154419
G1,G89,0.7827082872390747
G1,G90,0.7749999165534973
G1,G91,0.7766667008399963
G1,G92,0.7647916674613953
G1,G93,0.7795833349227905
G1,G94,0.7670833468437195
G1,G95,0.7583333253860474
G1,G96,0.7704166173934937
G1,G97,0.7606250047683716
G1,G98,0.7606250047683716
G1,G99,0.7710416913032532
G1,G100,0.7722917199134827
G2,G1,0.6990234851837158
G2,G3,0.7046875357627869
G2,G4,0.6968749761581421
G2,G5,0.7080078125
G2,G6,0.704296886920929
G2,G7,0.7039062976837158
G2,G8,0.703906238079071
G2,G9,0.704882800579071
G2,G10,0.7095702886581421
G2,G11,0.7062499523162842
G2,G12,0.7082030773162842
G2,G13,0.7048828601837158
G2,G14,0.7001953125
G2,G15,0.7232421636581421
G2,G16,0.7035155892372131
G2,G17,0.7158203125
G2,G18,0.703125
G2,G19,0.7144531011581421
G2,G20,0.6968750357627869
G2,G21,0.7105469107627869
G2,G22,0.786914050579071
G2,G23,0.6976562738418579
G2,G24,0.704296886920929
G2,G25,0.704296886920929
G2,G26,0.6986327767372131
G2,G27,0.7001953125
G2,G28,0.703320324420929
G2,G29,0.7066406011581421
G2,G30,0.697460949420929
G2,G31,0.702343761920929
G2,G32,0.7152343988418579
G2,G33,0.6968749761581421
G2,G34,0.696093738079071
G2,G35,0.699414074420929
G2,G36,0.7083984613418579
G2,G37,0.7025390863418579
G2,G38,0.7005859017372131
G2,G39,0.6939452886581421
G2,G40,0.7060547471046448
G2,G41,0.7007812857627869
G2,G42,0.705078125
G2,G43,0.71484375
G2,G44,0.7029297351837158
G2,G45,0.697070300579071
G2,G46,0.695507824420929
G2,G47,0.6943359375
G2,G48,0.71484375
G2,G49,0.7113281488418579
G2,G50,0.7093750238418579
G2,G51,0.7017577886581421
G2,G52,0.6982421875
G2,G53,0.7103515863418579
G2,G54,0.7064453363418579
G2,G55,0.7064453363418579
G2,G56,0.69921875
G2,G57,0.704882800579071
G2,G58,0.7054687738418579
G2,G59,0.700976550579071
G2,G60,0.704296886920929
G2,G61,0.7076171636581421
G2,G62,0.706250011920929
G2,G63,0.7066406011581421
G2,G64,0.6982421875
G2,G65,0.6947265267372131
G2,G66,0.696484386920929
G2,G67,0.7115234732627869
G2,G68,0.6943359375
G2,G69,0.702343761920929
G2,G70,0.705859363079071
G2,G71,0.6986327767372131
G2,G72,0.7056640386581421
G2,G73,0.7113281488418579
G2,G74,0.7083984017372131
G2,G75,0.7015625238418579
G2,G76,0.708789050579071
G2,G77,0.7224608659744263
G2,G78,0.705078125
G2,G79,0.701171875
G2,G80,0.6935546398162842
G2,G81,0.7064453363418579
G2,G82,0.7023437023162842
G2,G83,0.7041015625
G2,G84,0.6978515386581421
G2,G85,0.6962890625
G2,G86,0.7080078125
G2,G87,0.6984375715255737
G2,G88,0.703906238079071
G2,G89,0.7044922113418579
G2,G90,0.702929675579071
G2,G91,0.703125
G2,G92,0.6966797113418579
G2,G93,0.703125
G2,G94,0.7005859017372131
G2,G95,0.703125
G2,G96,0.7044921517372131
G2,G97,0.7041015625
G2,G98,0.7195312976837158
