Gene1	Gene2	EdgeWeight
G96	G28	0.00912403475
G53	G28	0.008838628135999999
G88	G40	0.008794066621
G57	G3	0.008640959682999999
G80	G56	0.008474771865000001
G91	G3	0.008295705297
G26	G13	0.008173455381
G95	G91	0.00813350633
G91	G66	0.008130683924
G91	G29	0.0079338814
G96	G91	0.007592345338
G96	G38	0.007526304865999999
G96	G6	0.007516548638
G92	G18	0.007407813908000002
G66	G22	0.0073964964249999985
G64	G44	0.007382049494
G80	G18	0.007258426508
G49	G3	0.007255683879
G69	G18	0.007186038536
G37	G27	0.0071667847750000015
G3	G29	0.007130737319
G65	G22	0.007120584347
G7	G63	0.007037722482
G56	G40	0.00703111036
G64	G18	0.006962850725000001
G96	G37	0.006952484023
G57	G18	0.006951490519
G6	G53	0.006919573758999999
G44	G28	0.006883367544
G75	G56	0.006857852864
G81	G12	0.006854212403999999
G31	G29	0.0068252018200000006
G91	G72	0.006817567904000001
G78	G7	0.006812950753
G48	G3	0.006722324369
G46	G2	0.006626312486
G56	G10	0.006612974983
G88	G64	0.0066118606980000005
G18	G12	0.00661140184
G91	G56	0.006589171388000001
G65	G48	0.006588789471999999
G76	G57	0.0065683194559999995
G91	G88	0.006563441134
G89	G57	0.006552555538
G65	G6	0.006536621183
G69	G40	0.006522031727
G85	G57	0.006504294973000001
G63	G20	0.006503134678
G37	G18	0.006497710290000001
G34	G12	0.006461391605
G97	G18	0.006452135137
G48	G41	0.0064125670389999995
G81	G55	0.0063902447970000005
G94	G73	0.00638850735
G42	G40	0.006367217198000001
G43	G37	0.006358360662999999
G7	G37	0.0063512760750000005
G57	G26	0.006349490808999999
G96	G40	0.006344394202000001
G77	G18	0.006336013337999999
G48	G37	0.006334244386
G86	G78	0.006313280034000001
G96	G7	0.006307958781000001
G71	G57	0.006304258395
G42	G22	0.006304240961000001
G48	G12	0.006302102718
G79	G48	0.006300467497000001
G51	G37	0.006281271973
G73	G57	0.006259505980999999
G46	G18	0.006245738621
G4	G17	0.0062438053
G66	G25	0.00624375877
G73	G17	0.00623528438
G57	G51	0.006229561113999999
G63	G56	0.006217922014999999
G7	G12	0.006208199835
G32	G14	0.006195081204
G37	G22	0.006194860165000001
G40	G12	0.006188526333999999
G3	G10	0.006172687566
G59	G56	0.006161115502000001
G76	G65	0.00614708365
G96	G82	0.006142481062000001
G81	G13	0.006138792546
G96	G64	0.006138153477000001
G42	G32	0.006133961239
G88	G22	0.006121264426999999
G72	G25	0.006112070175
G97	G66	0.006111224292999999
G73	G3	0.006110419058
G55	G17	0.006103976098
G78	G59	0.006102841041
G7	G38	0.006100989782000001
G9	G18	0.0060985067440000006
G65	G29	0.006095901365000001
G86	G66	0.006086894758
G9	G53	0.006086196860999999
G73	G18	0.0060846524970000005
G42	G34	0.006077371026000001
G85	G72	0.0060671477049999995
G9	G32	0.006056791394
G86	G69	0.006048972192000001
G48	G13	0.006041560578
G3	G26	0.006034740699999999
G87	G13	0.006033589007
G28	G2	0.006031563288
G56	G5	0.006031444978
