,LRP,source_gene,target_gene
1,0.0040020756,G2,G1
2,0.0031823774,G3,G1
3,0.002075416,G4,G1
4,0.003591928,G5,G1
5,0.0033213715,G6,G1
6,0.00128705,G7,G1
7,0.0034371817,G8,G1
8,0.0019849513,G9,G1
9,0.0022150977,G10,G1
10,0.0026638717,G11,G1
11,0.004180276,G12,G1
12,0.0025982035,G13,G1
13,0.001977554,G14,G1
14,0.003823347,G15,G1
15,0.0017037098,G16,G1
16,0.0008690503,G17,G1
17,0.003650342,G18,G1
18,0.0014315358,G19,G1
19,0.00088361703,G20,G1
20,0.0010477311,G21,G1
21,0.0041148355,G22,G1
22,0.003370064,G23,G1
23,0.0043976875,G24,G1
24,0.0043978686,G25,G1
25,0.0040660957,G26,G1
26,0.0028764815,G27,G1
27,0.004826008,G28,G1
28,0.0050484785,G29,G1
29,0.0011387481,G30,G1
30,0.0022469172,G31,G1
31,0.004238901,G32,G1
32,0.0007923003,G33,G1
33,0.002546029,G34,G1
34,0.0039734133,G35,G1
35,0.0010820741,G36,G1
36,0.0030789666,G37,G1
37,0.004672085,G38,G1
38,0.004687628,G39,G1
39,0.0031850343,G40,G1
40,0.0008134168,G41,G1
41,0.0024893037,G42,G1
42,0.0007519521,G43,G1
43,0.0006007512,G44,G1
44,0.0011852325,G45,G1
45,0.0016023591,G46,G1
46,0.003022529,G47,G1
47,0.002437412,G48,G1
48,0.0026776022,G49,G1
49,0.0014749692,G50,G1
50,0.00076547323,G51,G1
51,0.0039517167,G52,G1
52,0.0038619798,G53,G1
53,0.0032845726,G54,G1
54,0.0023234866,G55,G1
55,0.0028470738,G56,G1
56,0.003406324,G57,G1
57,0.0023994348,G58,G1
58,0.004888596,G59,G1
59,0.001831705,G60,G1
60,0.0019922901,G61,G1
61,0.0012482341,G62,G1
62,0.0025928288,G63,G1
63,0.0033188201,G64,G1
64,0.0026567723,G65,G1
65,0.005502531,G66,G1
66,0.0016758969,G67,G1
67,0.0027359612,G68,G1
68,0.0039722165,G69,G1
69,0.0021107704,G70,G1
70,0.0040705367,G71,G1
71,0.001183515,G72,G1
72,0.001217309,G73,G1
73,0.0028203758,G74,G1
74,0.0023699997,G75,G1
75,0.00030573877,G76,G1
76,0.0042423196,G77,G1
77,0.003639666,G78,G1
78,0.004294349,G79,G1
79,0.0038868915,G80,G1
80,0.0011514035,G81,G1
81,0.003565318,G82,G1
