Gene1,Gene2,EdgeWeight
G10,G1,0.0016510588316
G100,G1,0.0037804005210000003
G100,G10,0.0024285052831
G11,G1,0.0020040230752
G11,G10,0.004827376622
G11,G100,0.005939666725
G12,G1,0.005446200452
G12,G10,0.00498337729
G12,G100,0.002914033064
G12,G11,0.004718980569
G13,G1,0.0026040616509499996
G13,G10,0.0012666372738000002
G13,G100,0.0027474188254
G13,G11,0.004201818368
G13,G12,0.005904067967
G14,G1,0.002978014458
G14,G10,0.002741619045
G14,G100,0.0030596531455
G14,G11,0.0011221909230000001
G14,G12,0.0017521369029
G14,G13,0.0018007511349999999
G15,G1,0.0036203495619999996
G15,G10,0.0019433161189000001
G15,G100,0.004375935295
G15,G11,0.003205957042
G15,G12,0.0032874097846
G15,G13,0.0027069995685
G15,G14,0.0018375425589
G16,G1,0.00101112634038
G16,G10,0.0016621841474999998
G16,G100,0.003416065417
G16,G11,0.0024387118837
G16,G12,0.003656506377
G16,G13,0.00319414235
G16,G14,0.00555131714
G16,G15,0.0025011851987
G17,G1,0.0018559061056000001
G17,G10,0.0016332110200999999
G17,G100,0.002660773035
G17,G11,0.0017281993318
G17,G12,0.004800702846
G17,G13,0.0038581249559999998
G17,G14,0.0021718219644
G17,G15,0.005130742524
G17,G16,0.0022708043237
G18,G1,0.002857009409
G18,G10,0.005241859533999999
G18,G100,0.0035355239092
G18,G11,0.0018469309143000002
G18,G12,0.0066114018399999995
G18,G13,0.0036544659322
G18,G14,0.0025873077603
G18,G15,0.00262957364
G18,G16,0.0059917307139999995
G18,G17,0.0051031782169999994
G19,G1,0.0019363273269500001
G19,G10,0.0019248526944200001
G19,G100,0.006014934571
G19,G11,0.0017475402656999999
G19,G12,0.0036674895540000003
G19,G13,0.00130861361084
G19,G14,0.00121416793866
G19,G15,0.0036139865900000003
G19,G16,0.0023661328632
G19,G17,0.003454348387
G19,G18,0.0020374169318
G2,G1,0.0031940449310000002
G2,G10,0.0026357436773999997
G2,G100,0.003412287187
G2,G11,0.0011830170377
G2,G12,0.0026774634
G2,G13,0.004095843567
G2,G14,0.005046632291999999
G2,G15,0.0023228965547
G2,G16,0.0014775519151
G2,G17,0.004721377366
G2,G18,0.0038635181810000004
G2,G19,0.001691617854
G20,G1,0.001047253647
G20,G10,0.0042647080859999995
G20,G100,0.0016020997873400001
G20,G11,0.0016179685108
G20,G12,0.0019808635613
G20,G13,0.0024777278590000004
G20,G14,0.002267134469
G20,G15,0.0011897475758
G20,G16,0.0041776497429999995
G20,G17,0.0028052474865999997
G20,G18,0.003556267442
G20,G19,0.0036992573359999996
G20,G2,0.00094677423974
G21,G1,0.0010402782191
G21,G10,0.0030345248098
G21,G100,0.0022415672532
G21,G11,0.002398925998
G21,G12,0.0018165889054
G21,G13,0.0029020941420000003
G21,G14,0.0009687898850600001
G21,G15,0.001118682412
G21,G16,0.003037916073
G21,G17,0.0017353127703999998
G21,G18,0.0021298232547
G21,G19,0.0029236965281
G21,G2,0.0018326443415999998
G21,G20,0.00243342504232
G22,G1,0.0031900714930000003
G22,G10,0.0010357551482
G22,G100,0.004866583167
G22,G11,0.004621099918
G22,G12,0.0038606684000000004
G22,G13,0.0013774015750999998
G22,G14,0.0027131653833000003
G22,G15,0.002219007828
G22,G16,0.0012400122029000002
G22,G17,0.0028612593868
G22,G18,0.004166121344
G22,G19,0.0017019354482000002
G22,G2,0.00459968154
G22,G20,0.0026668040440000003
G22,G21,0.0019494810363
G23,G1,0.0025155654869999998
G23,G10,0.0021997146358
G23,G100,0.003760913729
G23,G11,0.0020562111632
G23,G12,0.003366357518
G23,G13,0.00103001250043
G23,G14,0.0023157781214
G23,G15,0.0015276551437
G23,G16,0.002471452019
G23,G17,0.002354457739
G23,G18,0.0033576732554
G23,G19,0.0020381578032
G23,G2,0.0022073872831
G23,G20,0.0030326054699999997
G23,G21,0.002925065759
G23,G22,0.002976980095
G24,G1,0.003688669892
G24,G10,0.0012154437496
G24,G100,0.003053064761
G24,G11,0.0026241408854
G24,G12,0.00312765362
G24,G13,0.002502404567
G24,G14,0.0011361713532
G24,G15,0.0023896717786
G24,G16,0.0012005708945
G24,G17,0.0018645179282
G24,G18,0.0027041772260000003
G24,G19,0.002232518466
G24,G2,0.0014213872942
G24,G20,0.0024006568668
G24,G21,0.0019402143367
G24,G22,0.0012056162639999999
G24,G23,0.0018562328137
G25,G1,0.004076349323
G25,G10,0.0031144541749999997
G25,G100,0.0029172172599
G25,G11,0.004928797783
G25,G12,0.004157389838
G25,G13,0.0025414227410000003
G25,G14,0.0047762289829999995
G25,G15,0.0022153258393
G25,G16,0.0025588058895
G25,G17,0.003166998648
G25,G18,0.0035429742669
G25,G19,0.0022972038359
G25,G2,0.004230455761
