Gene1	Gene2	EdgeWeight
WT1pKTS	FOXL2	0.32364385799587203
DKK1	DMRT1	0.3211380572221805
DMRT1	DKK1	0.3196003782145407
FOXL2	WT1pKTS	0.30395236485008803
FGF9	AMH	0.28150876792236057
PGD2	FGF9	0.26721989130298124
CTNNB1	RSPO1	0.26638587537758895
PGD2	DHH	0.24559559304846396
DHH	PGD2	0.2429251058503401
FGF9	PGD2	0.24275269981000425
FGF9	DHH	0.23335258697058686
DHH	FGF9	0.2293575374107138
UGR	CBX2	0.2260023403298954
RSPO1	NR5A1	0.22540998193236164
RSPO1	WNT4	0.218828694600844
DMRT1	SRY	0.2164223057336169
FOXL2	CTNNB1	0.20487043373720012
AMH	PGD2	0.2012819921936272
PGD2	AMH	0.19160021488942786
RSPO1	CTNNB1	0.1888457537440132
AMH	DHH	0.18187383070316707
NR5A1	RSPO1	0.18038450267427306
CTNNB1	FOXL2	0.17870260237315894
PGD2	SOX9	0.17821253699470055
DKK1	SRY	0.17768630051895312
DHH	AMH	0.1766222161407945
CBX2	UGR	0.1766209814425146
CTNNB1	WNT4	0.17505448406616894
AMH	FGF9	0.17031665246942554
SRY	UGR	0.1658814519703728
DHH	SOX9	0.16413564863915125
AMH	NR0B1	0.1623665595411148
CTNNB1	WT1pKTS	0.15587091283070625
SRY	DKK1	0.1556947152258902
SOX9	DMRT1	0.15182663672171942
WT1pKTS	CTNNB1	0.1470869606150906
WNT4	RSPO1	0.14703265622956788
NR0B1	UGR	0.14198229387069086
SOX9	DKK1	0.14072962793906366
NR5A1	FOXL2	0.13519417808945028
FGF9	SOX9	0.13313232545504947
CTNNB1	NR5A1	0.13095560630001354
SRY	DMRT1	0.13055900059291142
NR5A1	CBX2	0.12775014858088304
NR5A1	WT1pKTS	0.12148477348319325
NR0B1	WNT4	0.11847771414967295
SRY	WT1pKTS	0.1145035020020148
FOXL2	RSPO1	0.10949145148379524
FOXL2	NR5A1	0.1087118772989678
WNT4	UGR	0.10844502621549723
SOX9	SRY	0.10806047206663123
NR5A1	CTNNB1	0.10776860575612994
AMH	SOX9	0.10457768733249513
SOX9	FGF9	0.10315239004952112
FGF9	NR0B1	0.1028341821614883
SOX9	WNT4	0.10278808859551662
WNT4	NR0B1	0.10276722701299727
SOX9	AMH	0.10266081808649456
WT1mKTS	GATA4	0.09800516105913724
SOX9	DHH	0.09637243693862403
GATA4	WT1mKTS	0.09588595338285426
DKK1	CBX2	0.09502644712974384
UGR	NR0B1	0.0949348030822912
DHH	NR0B1	0.09413381512156573
DMRT1	SOX9	0.09267141851369516
SOX9	PGD2	0.09145296687781963
DKK1	SOX9	0.08966155333289524
NR0B1	AMH	0.08908276072302226
RSPO1	FOXL2	0.08906914129484454
DMRT1	CBX2	0.0872451951923448
PGD2	NR0B1	0.08658172215113111
SRY	FOXL2	0.08613904550354262
WT1pKTS	NR5A1	0.08535558345192837
NR0B1	DHH	0.07827870869952801
WT1pKTS	SRY	0.07641624292243847
WNT4	CTNNB1	0.0752243669254876
RSPO1	UGR	0.07494847197497508
RSPO1	WT1pKTS	0.07407774282839738
NR0B1	FGF9	0.07370254900721852
RSPO1	CBX2	0.07337548792674717
CTNNB1	SRY	0.07316883255617196
NR0B1	PGD2	0.07196944072597805
UGR	SRY	0.07060151622582887
WT1pKTS	WT1mKTS	0.07040896367316614
CTNNB1	CBX2	0.07018355139898627
RSPO1	NR0B1	0.06990662463349867
SOX9	NR5A1	0.06848220765025166
DKK1	WNT4	0.06565862842423753
WT1pKTS	RSPO1	0.0647698511951754
NR0B1	NR5A1	0.06357593082980678
SRY	CTNNB1	0.06271752862258187
UGR	GATA4	0.06257938955503167
DMRT1	WNT4	0.062441702587811926
WNT4	GATA4	0.061219871179993286
DHH	DMRT1	0.06082081426498093
CTNNB1	UGR	0.06010969867304417
FOXL2	SRY	0.059887984777915175
CBX2	NR5A1	0.059731024172842276
NR0B1	GATA4	0.05928654715066181
DKK1	CTNNB1	0.058509569098194825
UGR	WT1mKTS	0.058261468433188565
NR0B1	WT1mKTS	0.05740214741772383
WT1pKTS	GATA4	0.05732903595482285
CBX2	WT1mKTS	0.057227156743556086
WNT4	WT1mKTS	0.05670245290456191
WNT4	SOX9	0.05615509676131949
NR5A1	GATA4	0.05556184367924034
FGF9	DKK1	0.05483843325997613
DMRT1	CTNNB1	0.05481495407592248
DMRT1	WT1mKTS	0.05463269704259854
NR5A1	WT1mKTS	0.053981751222254695
CBX2	GATA4	0.05332797772712256
CTNNB1	GATA4	0.05296509656883572
DKK1	WT1mKTS	0.052882841575867236
DHH	WT1mKTS	0.05276487074954433
DHH	DKK1	0.052216709205561145
PGD2	DMRT1	0.05132285232176967
DMRT1	UGR	0.051153912247434825
DMRT1	GATA4	0.051106413839716425
AMH	GATA4	0.05105590911386878
SRY	GATA4	0.05099428939170703
DHH	GATA4	0.050888857621449915
FOXL2	GATA4	0.05088168864860982
PGD2	DKK1	0.05085941103822103
NR5A1	SOX9	0.05082901140726248
DKK1	GATA4	0.050653078798237834
SOX9	WT1mKTS	0.050562298100193186
SRY	NR0B1	0.050150253891660584
SRY	WT1mKTS	0.04997029931419008
RSPO1	GATA4	0.04965319229196899
PGD2	WT1mKTS	0.049288046047645855
FOXL2	WT1mKTS	0.049230771713618976
CTNNB1	WT1mKTS	0.04901928131093397
RSPO1	WT1mKTS	0.048752296092080656
PGD2	GATA4	0.048360255700567664
FGF9	GATA4	0.048285421857984366
SOX9	GATA4	0.04784596986104379
NR5A1	NR0B1	0.04765536953696409
DKK1	UGR	0.04762049920008282
SOX9	CBX2	0.047442279807958544
FGF9	WT1mKTS	0.04734882372901439
FGF9	DMRT1	0.04715410150246056
CBX2	NR0B1	0.04644165480224122
AMH	WT1mKTS	0.045677880547007284
NR0B1	RSPO1	0.04550827734234447
FOXL2	CBX2	0.04508013543283717
WNT4	FGF9	0.04290012325988258
WNT4	NR5A1	0.04241187085057343
DKK1	WT1pKTS	0.04204955718513772
