TF	target	importance
CTNNB1	RSPO1	151.79023361232012
PGD2	FGF9	127.6071971955931
WT1pKTS	RSPO1	126.25359660394359
DKK1	DMRT1	120.56353750143771
FGF9	DHH	117.74556017306317
FOXL2	WT1pKTS	117.40129921111571
RSPO1	CTNNB1	116.9987085048929
WT1pKTS	FOXL2	116.72626998919289
RSPO1	NR5A1	115.69266394420335
DMRT1	DKK1	108.41180926029344
CTNNB1	WNT4	107.69891359208235
PGD2	DHH	107.3128228270836
WNT4	RSPO1	103.56671346392079
DHH	FGF9	103.4869472162109
FGF9	AMH	102.52771384689393
CBX2	UGR	102.33004703501908
AMH	NR0B1	101.60721890851887
SRY	UGR	100.79855581852418
FOXL2	CTNNB1	100.5108797651123
AMH	DHH	97.61007792627653
WT1pKTS	CTNNB1	96.49676132129957
DKK1	SOX9	96.14613162066641
DMRT1	SRY	96.05439569446214
PGD2	AMH	95.0128531316464
DKK1	SRY	94.40436151996664
AMH	PGD2	93.98038442283185
SRY	DMRT1	93.21235208696073
FGF9	NR0B1	91.85174104143925
NR5A1	RSPO1	91.30200811994658
SRY	DKK1	91.20293201028841
UGR	CBX2	89.98411169280818
FOXL2	RSPO1	88.56226231156519
NR0B1	FGF9	87.94921974430055
DHH	SOX9	86.87230646429009
FGF9	SOX9	86.4336456199349
FGF9	PGD2	85.68763074825694
DHH	PGD2	83.1737406338151
WNT4	CTNNB1	81.76166744534996
NR5A1	NR0B1	81.12040114734734
CTNNB1	SRY	80.41980856941191
RSPO1	WNT4	79.95311607768987
NR5A1	CTNNB1	77.97109731415371
SRY	WT1pKTS	77.58506602094087
DKK1	CBX2	77.36684033674878
DMRT1	SOX9	76.45163642487505
CTNNB1	FOXL2	76.38398359080207
SOX9	DHH	75.58862257117146
DHH	AMH	75.00175169443028
SRY	CTNNB1	72.38420430942968
NR0B1	WNT4	72.36818744648109
CBX2	NR5A1	71.45071243070109
WT1pKTS	SRY	69.41682751383712
UGR	NR0B1	68.63057681853313
NR0B1	UGR	68.57605904207439
DMRT1	CBX2	68.48541833981659
AMH	SOX9	67.60137482883022
SOX9	DKK1	67.36075772645763
NR5A1	WT1pKTS	67.32380794083423
SOX9	WNT4	67.2810771673132
WNT4	UGR	67.1778528171546
AMH	FGF9	67.11873256750441
DHH	NR0B1	66.28174319141908
DKK1	CTNNB1	65.93087928935745
NR0B1	AMH	64.3472286778423
DMRT1	UGR	63.5049972179748
RSPO1	UGR	63.4937849297466
DKK1	WT1pKTS	62.43257734767373
WNT4	NR0B1	62.21200844396029
CTNNB1	WT1pKTS	61.824842121274116
SOX9	DMRT1	61.731651786740976
CBX2	DKK1	61.504068207216235
NR5A1	CBX2	59.48301393932809
SOX9	NR5A1	59.45102625426734
SOX9	FGF9	59.01715046578534
WNT4	DKK1	58.83089172430885
FOXL2	SRY	58.14185352177821
FOXL2	NR5A1	57.79140589186144
CTNNB1	NR5A1	57.4191589211261
CTNNB1	DKK1	57.29199748816414
WT1pKTS	NR5A1	56.81992926166172
UGR	SRY	56.75431721673271
SOX9	SRY	56.59730456122645
NR5A1	FOXL2	56.32593998466618
GATA4	WT1mKTS	56.32556800597039
DMRT1	WNT4	56.00785494141062
SOX9	UGR	55.07767044932576
WT1mKTS	GATA4	54.21625016659457
SOX9	AMH	53.47993406800803
PGD2	NR0B1	53.466581601663684
RSPO1	FOXL2	53.124952710860875
DKK1	FGF9	52.714542754968036
DKK1	WNT4	51.89790788169953
CBX2	RSPO1	51.32451972621566
CTNNB1	CBX2	51.22627963584007
RSPO1	WT1pKTS	51.11771112838779
WNT4	NR5A1	50.28615951776924
FGF9	DMRT1	50.27075838645527
SOX9	RSPO1	48.81015930675962
NR0B1	NR5A1	48.6983767494393
WNT4	DMRT1	48.151690912438234
WNT4	DHH	48.13610477247289
WNT4	SOX9	47.821171228151144
SRY	FOXL2	47.47218156042659
SOX9	PGD2	47.13110328532369
AMH	DMRT1	47.12354254509857
DKK1	UGR	46.999157042272266
DMRT1	CTNNB1	45.742043115110235
WNT4	FGF9	45.60694425158068
PGD2	SOX9	45.27388855199371
NR0B1	DHH	45.212532040716845
NR0B1	RSPO1	44.798991020894896
AMH	DKK1	44.65223461645754
RSPO1	CBX2	44.52058850660306
NR0B1	CBX2	44.453045213685954
RSPO1	SOX9	44.329390497265486
UGR	RSPO1	44.17351128946423
NR5A1	SOX9	43.47563692260664
RSPO1	NR0B1	43.39200087308303
DMRT1	RSPO1	42.62313954076217
WNT4	CBX2	42.08612713259428
DMRT1	WT1pKTS	41.554635547894264
FGF9	WNT4	41.376172438197116
NR0B1	PGD2	41.32934797476034
DMRT1	FGF9	41.2128762681176
PGD2	DMRT1	40.97606719760341
DHH	DKK1	40.90835915652367
FGF9	DKK1	40.601098770889934
CTNNB1	NR0B1	40.49371540660372
UGR	DMRT1	40.25090391613097
WNT4	AMH	40.22721873246444
AMH	NR5A1	39.6405102303157
SRY	RSPO1	39.59392473006342
SRY	SOX9	39.59307296364988
SOX9	NR0B1	39.49783052551967
UGR	WNT4	39.156263554406216
SRY	CBX2	39.00760257118679
WT1pKTS	CBX2	38.91289105006449
AMH	UGR	38.687689328065225
DKK1	RSPO1	38.47638519487955
CTNNB1	UGR	38.25593359831826
CBX2	DMRT1	38.19318158833001
PGD2	DKK1	38.06381328070562
SRY	NR5A1	38.05536925603585
FOXL2	WNT4	37.9234070412794
SOX9	CTNNB1	37.216993917594614
AMH	WNT4	36.54273309632458
FGF9	SRY	36.25497319740509
FOXL2	NR0B1	35.74356456992785
FOXL2	DKK1	35.08458977358403
NR0B1	SOX9	35.06146772350905
CBX2	FOXL2	34.60541585429355
CTNNB1	DMRT1	34.553268033210166
PGD2	WNT4	34.46760320211444
NR0B1	CTNNB1	34.43426299586831
SOX9	CBX2	34.35207147048303
RSPO1	SRY	34.21979689356326
PGD2	RSPO1	33.96830595941691
FOXL2	DMRT1	33.79749431434851
DHH	DMRT1	33.719790623172315
NR5A1	SRY	33.50801871768042
DHH	RSPO1	33.47960347185044
CBX2	WT1pKTS	32.90805741260653
PGD2	NR5A1	32.53458126583858
DHH	WNT4	32.202066889288005
DHH	NR5A1	32.11273027273069
DKK1	PGD2	31.58312883524363
NR5A1	UGR	31.582212009528288
UGR	CTNNB1	31.229367986696527
NR5A1	WNT4	30.976544851246803
WNT4	WT1pKTS	30.927785897381302
SRY	WNT4	30.908123947777995
WNT4	SRY	30.847273156478835
DMRT1	PGD2	30.546188911629557
DKK1	FOXL2	30.5372782876277
FGF9	RSPO1	30.443139326171565
DHH	SRY	30.209876109052452
AMH	RSPO1	29.89191815083071
DMRT1	DHH	29.518012154876406
RSPO1	FGF9	29.145235266342915
FOXL2	CBX2	28.964145368001848
DMRT1	AMH	28.6080067139209
DKK1	DHH	28.35710391360019
NR0B1	WT1pKTS	28.261479633048054
WNT4	PGD2	28.17153034510959
WNT4	FOXL2	27.09182144580787
WT1pKTS	NR0B1	27.041264683865155
RSPO1	DKK1	27.024539507683052
PGD2	CTNNB1	26.959976949647615
SRY	FGF9	26.364001660414356
SRY	DHH	25.634599488532643
WT1pKTS	DKK1	25.154930259592323
CBX2	CTNNB1	25.069671917122704
SRY	NR0B1	24.927762910425983
DMRT1	FOXL2	24.854944902908418
RSPO1	DMRT1	24.776569783188712
NR5A1	DMRT1	24.22487482049818
CTNNB1	DHH	24.166422027719694
NR5A1	DKK1	24.07799955651412
CBX2	NR0B1	23.90538582788628
UGR	FGF9	23.127249122990715
SOX9	WT1pKTS	22.871436438485496
NR5A1	FGF9	22.85013245194688
WT1pKTS	UGR	22.631729966618078
GATA4	UGR	22.573689022981373
RSPO1	AMH	22.452508988635156
UGR	NR5A1	22.420019676593196
DKK1	NR5A1	22.316813487238417
UGR	DKK1	22.23718858512646
CBX2	SRY	22.093334557493186
WT1pKTS	DMRT1	21.527123874186735
DKK1	AMH	21.258482099637455
FGF9	CBX2	21.004461745474455
AMH	CBX2	20.96934562697808
DKK1	NR0B1	20.656719488574133
FGF9	NR5A1	20.486583346884757
FGF9	UGR	20.446068849842053
PGD2	SRY	20.03904757420786
CBX2	SOX9	20.028703517119645
NR5A1	PGD2	20.006575322247908
DMRT1	NR5A1	19.90789341745492
UGR	GATA4	19.64304181341472
WT1pKTS	WNT4	19.601388576070175
NR5A1	AMH	19.542946257250133
RSPO1	PGD2	19.51590046462203
CTNNB1	FGF9	19.484685624283813
WT1pKTS	SOX9	19.357787486120284
DMRT1	NR0B1	19.34976860289614
CTNNB1	SOX9	19.180146006031848
SRY	AMH	18.972409177334708
NR0B1	SRY	18.6105899601757
NR0B1	GATA4	18.492975070471733
CBX2	FGF9	18.33792226019618
AMH	CTNNB1	18.313195387965457
DHH	CTNNB1	18.11993472257168
DHH	UGR	18.08781609803217
CTNNB1	PGD2	17.643125477354573
PGD2	CBX2	17.5769451447386
UGR	SOX9	17.431785550330975
AMH	SRY	16.899290578072076
NR0B1	DMRT1	16.119409100898654
NR5A1	DHH	15.975914535817386
DHH	CBX2	15.972814707793193
SOX9	FOXL2	15.813784643438165
CBX2	WT1mKTS	15.681523846467911
WNT4	GATA4	15.503571335301956
SRY	PGD2	15.489907053134896
RSPO1	DHH	14.92213632835667
NR5A1	GATA4	14.884941157118677
NR0B1	DKK1	14.656239165161137
CBX2	AMH	14.645161717900303
CBX2	WNT4	14.584088265651381
FGF9	CTNNB1	14.10581059775135
UGR	FOXL2	14.097829242989365
CBX2	GATA4	13.715101752163463
WT1pKTS	WT1mKTS	13.346043079708831
WT1mKTS	UGR	13.0259712049822
AMH	WT1pKTS	12.937668971884465
FOXL2	SOX9	12.775947009207364
CBX2	PGD2	12.714832692376211
UGR	AMH	12.606028138477614
WNT4	WT1mKTS	12.382275663256715
UGR	WT1mKTS	12.287909856265767
UGR	PGD2	12.282002163381048
WT1pKTS	GATA4	12.080898441029444
WT1pKTS	FGF9	12.050087898738745
SOX9	WT1mKTS	11.472242193829501
WT1pKTS	AMH	11.178989949229276
PGD2	UGR	10.942432452315181
FOXL2	UGR	10.808333117225546
CBX2	DHH	10.75288162493329
DKK1	WT1mKTS	10.74744040352146
PGD2	WT1pKTS	10.639037099360188
NR0B1	WT1mKTS	10.499049069911473
SRY	WT1mKTS	10.026748320336207
CTNNB1	AMH	9.73881492820464
RSPO1	GATA4	9.679710384746103
DMRT1	WT1mKTS	9.642442411094132
UGR	WT1pKTS	9.318615835923286
CTNNB1	GATA4	9.207967829962971
FOXL2	AMH	9.174946432628776
DHH	WT1pKTS	8.932699579110965
DKK1	GATA4	8.672761901084943
SRY	GATA4	8.592172651257552
FGF9	GATA4	8.531746191432166
FGF9	WT1pKTS	8.430234050342545
DMRT1	GATA4	8.260720511615446
DHH	WT1mKTS	8.188381478547795
GATA4	NR0B1	7.788843507002309
NR5A1	WT1mKTS	7.781847577815875
AMH	FOXL2	7.440564387321789
NR0B1	FOXL2	7.426776014564928
PGD2	WT1mKTS	7.393080716947061
PGD2	FOXL2	7.37913126019515
WT1pKTS	PGD2	7.313827581377594
PGD2	GATA4	7.271867751630961
CTNNB1	WT1mKTS	7.271101053412182
AMH	GATA4	7.192532601410412
DHH	GATA4	7.144798379752133
FOXL2	GATA4	7.111521914646275
RSPO1	WT1mKTS	6.900272383299788
SOX9	GATA4	6.797420146366468
FOXL2	WT1mKTS	6.772722570486899
FGF9	WT1mKTS	6.628306638627595
FGF9	FOXL2	6.242879952756416
UGR	DHH	5.912160804755804
FOXL2	PGD2	5.8058540319514425
FOXL2	FGF9	5.662863596634204
AMH	WT1mKTS	5.6530447305004055
GATA4	SRY	5.505505660345915
GATA4	WNT4	5.4185399722178085
FOXL2	DHH	5.155250729431934
WT1mKTS	NR0B1	5.032872451334173
WT1mKTS	RSPO1	4.616229683090716
WT1mKTS	WT1pKTS	4.58760191035992
WT1pKTS	DHH	4.449249044257166
DHH	FOXL2	4.264684674645263
WT1mKTS	SRY	4.023424998110072
WT1mKTS	CBX2	3.955125028389886
GATA4	WT1pKTS	3.9454438533764256
WT1mKTS	CTNNB1	3.937654072562077
GATA4	CTNNB1	3.816890387513824
WT1mKTS	NR5A1	3.704224100947491
GATA4	CBX2	3.6791724894645177
GATA4	RSPO1	3.3253584879039715
GATA4	NR5A1	3.211841974930803
GATA4	DKK1	3.1787196902645714
WT1mKTS	DMRT1	2.92449060843422
GATA4	DMRT1	2.883292920866703
WT1mKTS	DKK1	2.7578312207688787
WT1mKTS	WNT4	2.6360110587493617
WT1mKTS	SOX9	2.2063042901002117
GATA4	SOX9	1.959603295317088
WT1mKTS	AMH	1.9222805231800584
WT1mKTS	FGF9	1.732557737000532
GATA4	FGF9	1.5316539173911166
