Gene1,Gene2,EdgeWeight
AMH,CBX2,0.49832743406295776
AMH,CTNNB1,0.4223591387271881
AMH,DHH,0.9662851691246033
AMH,DKK1,0.4915492534637451
AMH,DMRT1,0.5160210728645325
AMH,FGF9,0.9929577708244324
AMH,FOXL2,0.4327464699745178
AMH,GATA4,0.44154930114746094
AMH,NR0B1,0.6970070600509644
AMH,NR5A1,0.452200710773468
AMH,PGD2,0.9632042646408081
AMH,RSPO1,0.422799289226532
AMH,SOX9,0.4709506928920746
AMH,SRY,0.47315141558647156
AMH,UGR,0.49198946356773376
AMH,WNT4,0.4223591387271881
AMH,WT1mKTS,0.4504401683807373
AMH,WT1pKTS,0.4433979094028473
CBX2,AMH,0.47651517391204834
CBX2,CTNNB1,0.862878680229187
CBX2,DHH,0.4839962124824524
CBX2,DKK1,0.9724432229995728
CBX2,DMRT1,0.988257646560669
CBX2,FGF9,0.543181836605072
CBX2,FOXL2,0.548200786113739
CBX2,GATA4,0.5592803359031677
CBX2,NR0B1,0.5268939733505249
CBX2,NR5A1,0.9648674726486206
CBX2,PGD2,0.4845643639564514
CBX2,RSPO1,0.7942234873771667
CBX2,SOX9,0.9053030014038086
CBX2,SRY,0.579450786113739
CBX2,UGR,0.9729166626930237
CBX2,WNT4,0.5264204740524292
CBX2,WT1mKTS,0.514488697052002
CBX2,WT1pKTS,0.9053030014038086
CTNNB1,AMH,0.3828386068344116
CTNNB1,CBX2,0.568645715713501
CTNNB1,DHH,0.3833951950073242
CTNNB1,DKK1,0.7654916048049927
CTNNB1,DMRT1,0.8495361804962158
CTNNB1,FGF9,0.3912801444530487
CTNNB1,FOXL2,0.9591836929321289
CTNNB1,GATA4,0.40426716208457947
CTNNB1,NR0B1,0.472634494304657
CTNNB1,NR5A1,0.5946196913719177
CTNNB1,PGD2,0.37987011671066284
CTNNB1,RSPO1,0.9977737665176392
CTNNB1,SOX9,0.3953617811203003
CTNNB1,SRY,0.6455473303794861
CTNNB1,UGR,0.5630797743797302
CTNNB1,WNT4,0.4960111379623413
CTNNB1,WT1mKTS,0.4269944131374359
CTNNB1,WT1pKTS,0.6893320679664612
DHH,AMH,0.84944748878479
DHH,CBX2,0.4030386805534363
DHH,CTNNB1,0.3694290816783905
DHH,DKK1,0.4177716374397278
DHH,DMRT1,0.4446592926979065
DHH,FGF9,0.9900553226470947
DHH,FOXL2,0.374125212430954
DHH,GATA4,0.3993554413318634
DHH,NR0B1,0.4983425438404083
DHH,NR5A1,0.3816758692264557
DHH,PGD2,0.9536831974983215
DHH,RSPO1,0.3724677860736847
DHH,SOX9,0.7232044339179993
DHH,SRY,0.39659300446510315
DHH,UGR,0.3947513997554779
DHH,WNT4,0.3855432868003845
DHH,WT1mKTS,0.42808467149734497
