Gene1,Gene2,EdgeWeight
CBX2,AMH,0.002973104777305
CTNNB1,AMH,0.00501206589642
CTNNB1,CBX2,0.01171610142158
DHH,AMH,0.013341953983
DHH,CBX2,0.0041477349982925
DHH,CTNNB1,0.0044035329619664994
DKK1,AMH,0.004787868525685
DKK1,CBX2,0.016560377989957
DKK1,CTNNB1,0.01342829700855
DKK1,DHH,0.005358280843385
DMRT1,AMH,0.005775458540465001
DMRT1,CBX2,0.014766907888385
DMRT1,CTNNB1,0.01361838556072
DMRT1,DHH,0.007239921294515
DMRT1,DKK1,0.0189164003681
FGF9,AMH,0.014037140450875
FGF9,CBX2,0.003394578207325
FGF9,CTNNB1,0.004275993752171
FGF9,DHH,0.010512039805547501
FGF9,DKK1,0.0055651598049345
FGF9,DMRT1,0.008075076934907001
FOXL2,AMH,0.004337462276902001
FOXL2,CBX2,0.008588123908295
FOXL2,CTNNB1,0.018907765867405002
FOXL2,DHH,0.003451364549055
FOXL2,DKK1,0.010319647842225001
FOXL2,DMRT1,0.01360965397309
FOXL2,FGF9,0.0051567730245
GATA4,AMH,0.00266199949717
GATA4,CBX2,0.0060291268028425
GATA4,CTNNB1,0.004740010531694499
GATA4,DHH,0.0033669943692515
GATA4,DKK1,0.006326785382535
GATA4,DMRT1,0.0065951267488700005
GATA4,FGF9,0.002935968455484
GATA4,FOXL2,0.005492571714740001
NR0B1,AMH,0.017625362874985
NR0B1,CBX2,0.011624333295755
NR0B1,CTNNB1,0.01014155558999
NR0B1,DHH,0.013539170808439
NR0B1,DKK1,0.01216406921217
NR0B1,DMRT1,0.010507045079225
NR0B1,FGF9,0.016939383896959998
NR0B1,FOXL2,0.008673322512295
NR0B1,GATA4,0.00752519242396
NR5A1,AMH,0.007405474105675
NR5A1,CBX2,0.0207045296847485
NR5A1,CTNNB1,0.017550690970765
NR5A1,DHH,0.01004560982728
NR5A1,DKK1,0.01686605124213
NR5A1,DMRT1,0.013586756015187
NR5A1,FGF9,0.00665062603254
NR5A1,FOXL2,0.017438970034290003
NR5A1,GATA4,0.00772215004392
NR5A1,NR0B1,0.01355236661773
PGD2,AMH,0.018151901131161503
PGD2,CBX2,0.0034033359074995004
PGD2,CTNNB1,0.0064570414826549995
PGD2,DHH,0.01258341270406
PGD2,DKK1,0.006019258414375
PGD2,DMRT1,0.008441273233340001
PGD2,FGF9,0.0143321595018105
PGD2,FOXL2,0.004470412225889999
PGD2,GATA4,0.0028224496219959997
PGD2,NR0B1,0.0173712399720494
PGD2,NR5A1,0.011200141449125001
RSPO1,AMH,0.005197179863165
RSPO1,CBX2,0.016857349796055
RSPO1,CTNNB1,0.022441561952445
RSPO1,DHH,0.0053242765925175005
RSPO1,DKK1,0.01139734944776
RSPO1,DMRT1,0.012580385859002
RSPO1,FGF9,0.005502548095595
RSPO1,FOXL2,0.019013728829910002
RSPO1,GATA4,0.005532017499975
RSPO1,NR0B1,0.013469277126335
RSPO1,NR5A1,0.027785279635870002
RSPO1,PGD2,0.005674536629590001
SOX9,AMH,0.00698535341605
SOX9,CBX2,0.00999944462756
SOX9,CTNNB1,0.0071176766251389995
SOX9,DHH,0.008452065128002501
SOX9,DKK1,0.013296661313802
SOX9,DMRT1,0.015051791059399999
SOX9,FGF9,0.009925891279895
SOX9,FOXL2,0.009421840337925
SOX9,GATA4,0.00571652074092
SOX9,NR0B1,0.01124285430528
SOX9,NR5A1,0.019895966371385
SOX9,PGD2,0.011279422265519999
SOX9,RSPO1,0.016183668538940002
SRY,AMH,0.007491464200385
SRY,CBX2,0.01191614588546
SRY,CTNNB1,0.015046862967495
SRY,DHH,0.007070625735935
SRY,DKK1,0.014772320981834999
SRY,DMRT1,0.01482600466161
SRY,FGF9,0.007049180369235
SRY,FOXL2,0.01645274649092
SRY,GATA4,0.006793346696502
SRY,NR0B1,0.021797501700565
SRY,NR5A1,0.016995201733185
SRY,PGD2,0.00917978751053
SRY,RSPO1,0.0139434380417175
SRY,SOX9,0.012451443373325
UGR,AMH,0.002016543421202
UGR,CBX2,0.008737048393009999
UGR,CTNNB1,0.00668882824918
UGR,DHH,0.0030452904406655
UGR,DKK1,0.0082392297565
UGR,DMRT1,0.006358164389188
UGR,FGF9,0.002629108696733
UGR,FOXL2,0.004357701635247
UGR,GATA4,0.0050130103008390004
UGR,NR0B1,0.016791944862956498
UGR,NR5A1,0.00716116002242
UGR,PGD2,0.0024139930611949997
UGR,RSPO1,0.009162100338014999
UGR,SOX9,0.006482118850785
UGR,SRY,0.015169422000825
WNT4,AMH,0.0068803493110325
WNT4,CBX2,0.014673466539845
WNT4,CTNNB1,0.019525438191587998
WNT4,DHH,0.00627801865529
WNT4,DKK1,0.013189144294275
WNT4,DMRT1,0.016034444198545
WNT4,FGF9,0.0069546169556
WNT4,FOXL2,0.012332459734524999
WNT4,GATA4,0.00761566639697
WNT4,NR0B1,0.017764880247059998
WNT4,NR5A1,0.017030895245019998
WNT4,PGD2,0.00440780271476
WNT4,RSPO1,0.0281957615146
WNT4,SOX9,0.018316435879315
WNT4,SRY,0.020753837749635
WNT4,UGR,0.0171789056701
WT1mKTS,AMH,0.002644332479684
WT1mKTS,CBX2,0.007699655461662
WT1mKTS,CTNNB1,0.0051813801005365
WT1mKTS,DHH,0.003437308582752
WT1mKTS,DKK1,0.005348908917219
WT1mKTS,DMRT1,0.0053299594422950005
WT1mKTS,FGF9,0.002582233266782
WT1mKTS,FOXL2,0.0043310216752994995
WT1mKTS,GATA4,0.00263589283339225
WT1mKTS,NR0B1,0.00556089009819
WT1mKTS,NR5A1,0.008774220223432501
WT1mKTS,PGD2,0.0026871796811365
WT1mKTS,RSPO1,0.007003786859813
WT1mKTS,SOX9,0.004209796285892999
WT1mKTS,SRY,0.00624175106434325
WT1mKTS,UGR,0.0031319817601215003
WT1mKTS,WNT4,0.006811300751725
WT1pKTS,AMH,0.0052098274220415
WT1pKTS,CBX2,0.00951555881836
WT1pKTS,CTNNB1,0.013762355800905
WT1pKTS,DHH,0.0054987437405649995
WT1pKTS,DKK1,0.008671091346224999
WT1pKTS,DMRT1,0.010057949947945
WT1pKTS,FGF9,0.00536143069137
WT1pKTS,FOXL2,0.0321160338586365
WT1pKTS,GATA4,0.007775561576608
WT1pKTS,NR0B1,0.010505177401699999
WT1pKTS,NR5A1,0.02015318510415
WT1pKTS,PGD2,0.0047200808133700005
WT1pKTS,RSPO1,0.013448444590244999
WT1pKTS,SOX9,0.011439160847174999
WT1pKTS,SRY,0.0156341291093
WT1pKTS,UGR,0.0054278775430205
WT1pKTS,WNT4,0.01330062100376
WT1pKTS,WT1mKTS,0.00630021186955
