TF	target	importance
DMRT1	DKK1	0.3222853252796298
DKK1	DMRT1	0.315186577553826
WT1pKTS	FOXL2	0.31445905361221227
FOXL2	WT1pKTS	0.28285403221507205
CTNNB1	RSPO1	0.2609515545899469
DHH	PGD2	0.2595184385732747
DHH	FGF9	0.24591341257890517
UGR	CBX2	0.23863430320028362
PGD2	DHH	0.2373853672256638
FGF9	DHH	0.23415732927589167
PGD2	FGF9	0.23257459192130736
DHH	AMH	0.23140462313343524
RSPO1	CTNNB1	0.22787825822123065
RSPO1	WNT4	0.2236483940262863
RSPO1	NR5A1	0.22312767363373895
FGF9	PGD2	0.22163388797952502
PGD2	AMH	0.21965578514395986
FGF9	SOX9	0.21711215184708949
FOXL2	CTNNB1	0.21204887998365388
DKK1	SRY	0.20268765543039527
AMH	FGF9	0.19830777688637255
AMH	DHH	0.19544560633128294
CBX2	UGR	0.1914009553763986
FGF9	AMH	0.18841805854091823
DMRT1	SRY	0.1876551387413711
CTNNB1	FOXL2	0.18443406103628793
AMH	PGD2	0.17579877886858294
NR5A1	RSPO1	0.17571905796838605
CTNNB1	WT1pKTS	0.1711298781588165
SOX9	DKK1	0.1706274474318697
SOX9	DMRT1	0.16799028621650955
CTNNB1	WNT4	0.16717391590548136
SRY	UGR	0.16268401935179735
WNT4	RSPO1	0.1503484613420471
SRY	DMRT1	0.1503484606250019
WNT4	NR0B1	0.1490448448900379
PGD2	SOX9	0.1433671689365869
SRY	DKK1	0.14291190776434382
NR0B1	UGR	0.13967947745567993
DHH	SOX9	0.13827805564088927
NR5A1	CBX2	0.13737492401960438
NR5A1	FOXL2	0.13635643853022486
AMH	NR0B1	0.13093718124513545
NR0B1	WNT4	0.12810056726711844
NR5A1	WT1pKTS	0.1239725748823711
AMH	SOX9	0.12175559056861072
CTNNB1	NR5A1	0.11952872796656998
DHH	NR0B1	0.11568377594929008
FOXL2	RSPO1	0.11519127997981729
FOXL2	NR5A1	0.11488199378527324
WNT4	UGR	0.11223071252648548
WT1pKTS	CTNNB1	0.11196582768011962
SOX9	PGD2	0.11093022856262962
SOX9	AMH	0.10817162589730002
NR5A1	CTNNB1	0.10658716549600472
RSPO1	FOXL2	0.09934866407103335
NR0B1	AMH	0.09874550056626527
RSPO1	WT1pKTS	0.0965202172744874
