Gene1	Gene2	EdgeWeight
DMRT1	DKK1	165.52888261974888
RSPO1	CTNNB1	157.28217264734937
UGR	CBX2	155.55897930087278
WNT4	RSPO1	149.3566112298736
RSPO1	WNT4	147.9439411745625
DKK1	DMRT1	147.79203678534384
NR5A1	RSPO1	138.1752449359237
WT1pKTS	FOXL2	124.37593137494706
CTNNB1	RSPO1	111.99298926303831
SRY	DMRT1	110.10063993432706
PGD2	DHH	105.09573966069945
PGD2	FGF9	102.8172640965287
SRY	UGR	102.5097180898271
CTNNB1	WNT4	100.12249494059412
DHH	AMH	96.7425538339472
DHH	FGF9	96.20247278592994
DMRT1	SRY	93.45803277717737
NR0B1	WNT4	92.06845249195982
FGF9	DHH	91.98537630956459
CTNNB1	WT1pKTS	90.34943294712252
SOX9	DMRT1	90.14467896787384
NR5A1	FOXL2	88.92094616264235
CBX2	UGR	87.11487246674427
PGD2	AMH	86.2217532859183
FOXL2	WT1pKTS	86.07056479277199
AMH	DHH	85.08334870200423
RSPO1	FOXL2	84.83115952647752
RSPO1	NR5A1	81.66631334805787
NR0B1	FGF9	81.51818635708047
FGF9	NR0B1	81.3871917057198
FOXL2	SRY	81.17605139337994
CBX2	DMRT1	80.39404462658973
AMH	FGF9	79.82987466931766
CTNNB1	SRY	78.97242770884
DHH	PGD2	78.65391517490687
WT1pKTS	CTNNB1	77.8494283553582
NR0B1	AMH	77.27031862909934
SOX9	DKK1	77.16385018915608
DMRT1	CBX2	76.60770308259592
SRY	CTNNB1	76.53195783902899
NR5A1	CBX2	75.87376461232769
AMH	NR0B1	74.81709042687199
FGF9	AMH	74.53774324795037
NR0B1	UGR	74.25089316034533
FOXL2	CTNNB1	74.21291136885506
AMH	SOX9	73.88615664303457
UGR	NR0B1	73.86934681884641
SOX9	DHH	71.78367281701355
DKK1	SRY	71.60164120681313
DKK1	CBX2	70.7600552860635
DHH	NR0B1	70.65865673061822
SRY	FOXL2	70.62568149745134
SOX9	SRY	70.62141244793499
DMRT1	WNT4	68.85241648336168
NR0B1	RSPO1	67.22553544190909
RSPO1	WT1pKTS	67.13355814532707
WT1pKTS	SRY	66.9796245797093
FGF9	PGD2	66.76951912140859
PGD2	DKK1	65.88441245894053
CBX2	NR5A1	64.94822848786278
SRY	WT1pKTS	64.49348339357293
SOX9	PGD2	63.94664687791645
SOX9	FGF9	62.205844210511124
NR5A1	WT1pKTS	62.018654194432955
FOXL2	RSPO1	61.84052347537319
CBX2	DKK1	61.241125063676385
DHH	SOX9	59.48939152778736
WNT4	DHH	58.935315368617026
CTNNB1	FOXL2	58.28668800277618
FGF9	DKK1	58.25224365363715
CTNNB1	NR5A1	57.77515187740508
PGD2	NR0B1	57.082125838932704
AMH	PGD2	57.04901791494935
FOXL2	NR5A1	56.739476581458476
GATA4	WT1mKTS	56.673182280546534
UGR	SRY	56.27924755549631
WNT4	NR5A1	56.045022421790286
WNT4	NR0B1	55.79965330416014
WNT4	UGR	54.411247171689176
AMH	DKK1	53.133528466013324
SOX9	NR0B1	52.24309181900848
DHH	DKK1	51.985610773815935
WNT4	CTNNB1	51.90008587566182
SOX9	RSPO1	51.60401804410275
FOXL2	WNT4	51.26739212851379
WT1mKTS	GATA4	51.2387415955196
NR0B1	DHH	51.21509542877006
PGD2	SOX9	50.44151181990491
WT1pKTS	RSPO1	50.022318269422776
SOX9	AMH	49.69873575583725
FGF9	SOX9	49.289964765098865
WNT4	DKK1	48.33454248126624
SRY	DKK1	48.31690434622847
SRY	RSPO1	48.01837198058717
WNT4	DMRT1	47.658389129686526
FOXL2	DMRT1	46.83648272110792
NR5A1	WNT4	46.76884371279642
FGF9	WNT4	46.19995289502098
DMRT1	UGR	44.730774818640434
DHH	DMRT1	44.39269311301077
DKK1	FGF9	44.04694543456513
RSPO1	CBX2	43.981658186663076
DKK1	DHH	43.811924686604385
RSPO1	NR0B1	43.76149380736947
DMRT1	SOX9	43.68044233139696
NR5A1	CTNNB1	43.5943545291364
DMRT1	DHH	43.485793250984656
CTNNB1	DKK1	43.15157670453869
NR5A1	NR0B1	42.90069213317952
WT1pKTS	NR5A1	42.785741866763296
PGD2	WNT4	42.66689808969985
RSPO1	UGR	42.551819621382975
AMH	DMRT1	42.48212303354352
FGF9	DMRT1	42.15927234924831
SOX9	NR5A1	41.26784478785263
WNT4	FOXL2	40.57023114146619
DKK1	FOXL2	40.333455333115396
FOXL2	CBX2	40.02315684704714
UGR	DKK1	39.8252800946071
WNT4	SOX9	39.804718559698685
NR5A1	UGR	39.36493561807474
SOX9	WNT4	39.212010562297955
DKK1	CTNNB1	39.13303629729704
DKK1	UGR	39.06758093705083
DMRT1	WT1pKTS	38.767112827984796
DKK1	SOX9	38.6058949048273
NR5A1	SRY	38.550565301369026
UGR	WNT4	38.389604646609016
NR0B1	PGD2	36.677801558828136
PGD2	DMRT1	36.603786147550345
SOX9	CBX2	36.424260925018714
CTNNB1	NR0B1	36.17926741244376
FOXL2	NR0B1	35.98702218832253
AMH	WNT4	35.88976241740789
WT1pKTS	WNT4	35.74210553635549
WNT4	FGF9	35.642304405624536
