Gene1	Gene2	EdgeWeight
WT1mKTS	GATA4	0.9997716546058656
NR0B1	WNT4	0.999494969844818
DMRT1	DKK1	0.9994941353797911
NR5A1	RSPO1	0.9977652430534364
WT1pKTS	FOXL2	0.9954458475112916
CTNNB1	RSPO1	0.9947460889816284
FOXL2	WT1pKTS	0.9939024448394777
UGR	CBX2	0.992451012134552
SOX9	DKK1	0.9873625636100768
AMH	PGD2	0.9870659708976746
DKK1	DMRT1	0.9858391880989076
WNT4	RSPO1	0.9851535558700562
RSPO1	WNT4	0.984853744506836
WT1mKTS	NR0B1	0.9831050634384156
CBX2	DMRT1	0.9826530218124391
SRY	DMRT1	0.9822635054588318
RSPO1	NR5A1	0.9802925586700441
AMH	FGF9	0.9796006679534912
FGF9	PGD2	0.9792349338531494
WT1mKTS	WT1pKTS	0.9792237281799316
PGD2	DHH	0.9782423377037048
CBX2	DKK1	0.9775510430336
DHH	FGF9	0.9772387742996216
RSPO1	CTNNB1	0.9770222902297974
SRY	DKK1	0.976942539215088
SOX9	DMRT1	0.973901093006134
CBX2	UGR	0.9734694361686708
WT1mKTS	FOXL2	0.9682647585868835
FOXL2	CTNNB1	0.965947449207306
DHH	PGD2	0.9657648801803588
WT1mKTS	NR5A1	0.9652968049049376
AMH	DHH	0.9588541388511658
FGF9	DHH	0.9573771357536316
SOX9	PGD2	0.9564101696014404
WT1mKTS	CBX2	0.9547945261001588
WNT4	NR0B1	0.9539248943328856
UGR	SRY	0.9527450799942015
WT1mKTS	UGR	0.952511429786682
PGD2	FGF9	0.9511943459510804
NR0B1	AMH	0.9505050778388976
CBX2	NR5A1	0.9497216939926147
WT1mKTS	SRY	0.9465752840042114
WT1mKTS	CTNNB1	0.9429223537445068
GATA4	NR0B1	0.9428572058677672
WT1mKTS	RSPO1	0.9417808055877686
UGR	NR0B1	0.940686285495758
WT1mKTS	WNT4	0.939269483089447
WT1mKTS	SOX9	0.9369863867759703
CTNNB1	FOXL2	0.9339754581451416
GATA4	WT1mKTS	0.9307823181152344
WT1mKTS	DHH	0.9301369786262512
WT1mKTS	DKK1	0.9228310585021972
NR0B1	PGD2	0.9228281378746032
GATA4	UGR	0.9175170063972472
WNT4	DKK1	0.9172354936599731
WT1mKTS	FGF9	0.9162099957466124
WT1mKTS	AMH	0.9136986732482909
WT1mKTS	DMRT1	0.9100456237792968
UGR	WNT4	0.9014706015586852
NR0B1	DHH	0.9014140963554382
FGF9	AMH	0.8997267484664917
WT1mKTS	PGD2	0.8981735706329346
CBX2	CTNNB1	0.8947124481201172
DHH	AMH	0.8924439549446106
WNT4	DMRT1	0.8902730345726013
PGD2	AMH	0.879863440990448
CBX2	SOX9	0.8764378428459167
WNT4	SOX9	0.8755974173545837
CTNNB1	DMRT1	0.8732925057411194
NR0B1	UGR	0.8606060743331909
GATA4	WT1pKTS	0.856632649898529
SOX9	FGF9	0.8556777238845825
