Gene1	Gene2	EdgeWeight
WT1pKTS	FOXL2	0.027574897517605
WNT4	RSPO1	0.024487876559810003
UGR	NR0B1	0.0230878905950865
RSPO1	NR5A1	0.021285571731355
WNT4	UGR	0.021187240493605
WNT4	SRY	0.021145248254937
DMRT1	DKK1	0.020692760069507
RSPO1	CTNNB1	0.019452788037205
WNT4	NR0B1	0.019261350916195
SRY	NR0B1	0.018655526402816498
WNT4	SOX9	0.01802791882889
UGR	SRY	0.017531304584038003
WNT4	CBX2	0.01716993683873
NR5A1	CBX2	0.01712558901082
WNT4	DKK1	0.01704530264526
WNT4	NR5A1	0.01648578766017
WNT4	DMRT1	0.016485369729485
SRY	NR5A1	0.016254256976114
SRY	DKK1	0.015982411504517
WNT4	CTNNB1	0.015752186966623498
WT1pKTS	CTNNB1	0.015398777553635
WT1pKTS	SRY	0.015384535293575
DMRT1	CBX2	0.015127576841254998
DKK1	CBX2	0.014918863800323999
NR5A1	NR0B1	0.014289544192184998
SOX9	DMRT1	0.014104687280855
SRY	FOXL2	0.0140922787608
FGF9	AMH	0.013999357867302002
SOX9	RSPO1	0.013973726805055
SOX9	NR5A1	0.013761496229045
WT1pKTS	NR5A1	0.01362592485841
RSPO1	CBX2	0.0133259807266025
SRY	DMRT1	0.013313476851659999
FOXL2	CTNNB1	0.0130715356181055
NR0B1	AMH	0.013058912904893
SOX9	DKK1	0.013050786667290001
DKK1	CTNNB1	0.012927777678998999
NR5A1	CTNNB1	0.01271859219908
NR5A1	DMRT1	0.012691149993125
NR0B1	DKK1	0.012626767472787
NR5A1	FOXL2	0.012385373052660001
SRY	CTNNB1	0.012154162931565
NR5A1	DKK1	0.012104995928525
NR0B1	DHH	0.012032871394465
DMRT1	CTNNB1	0.012021181292325
SRY	RSPO1	0.0118246548365725
WT1pKTS	RSPO1	0.0117562764815075
RSPO1	NR0B1	0.0117440632975325
CTNNB1	CBX2	0.011719119608583002
NR0B1	CBX2	0.011700511620867
WT1pKTS	WNT4	0.01169689110511
NR0B1	FGF9	0.0116311994202585
UGR	DKK1	0.0115346732040965
SRY	CBX2	0.011466116743945
