,LRP,source_gene,target_gene
1,0.0025949134,CBX2,AMH
2,0.00863952,CTNNB1,AMH
3,0.00983403,DHH,AMH
4,0.013287896,DKK1,AMH
5,0.005671114,DMRT1,AMH
6,0.025766663,FGF9,AMH
7,0.0042817825,FOXL2,AMH
8,0.0028283224,GATA4,AMH
9,0.02225602,NR0B1,AMH
10,0.0030452511,NR5A1,AMH
11,0.009029236,PGD2,AMH
12,0.0053592515,RSPO1,AMH
13,0.008159287,SOX9,AMH
14,0.010486837,SRY,AMH
15,0.0044944496,UGR,AMH
16,0.005890999,WNT4,AMH
17,0.00483096,WT1mKTS,AMH
18,0.0041887085,WT1pKTS,AMH
21,0.00050249504,CTNNB1,CBX2
22,0.002062145,DHH,CBX2
23,0.0003800187,DKK1,CBX2
24,0.002571866,DMRT1,CBX2
25,0.0029316265,FGF9,CBX2
26,0.00039733615,FOXL2,CBX2
27,0.0016740084,GATA4,CBX2
28,0.002998654,NR0B1,CBX2
29,0.0019292327,NR5A1,CBX2
30,0.0018412117,PGD2,CBX2
31,0.0012580554,RSPO1,CBX2
32,0.0016036856,SOX9,CBX2
33,0.0019064265,SRY,CBX2
34,0.0006862938,UGR,CBX2
35,0.0013758473,WNT4,CBX2
36,0.0009103556,WT1mKTS,CBX2
37,0.0011541628,WT1pKTS,CBX2
41,0.007242295,DHH,CTNNB1
42,0.0011293762,DKK1,CTNNB1
43,0.0020132207,DMRT1,CTNNB1
44,0.0056374953,FGF9,CTNNB1
45,0.0008596098,FOXL2,CTNNB1
46,0.00022791878,GATA4,CTNNB1
47,0.0034726828,NR0B1,CTNNB1
48,0.0009887164,NR5A1,CTNNB1
49,0.0038672206,PGD2,CTNNB1
50,0.0007724675,RSPO1,CTNNB1
51,0.00055189116,SOX9,CTNNB1
52,0.0013006913,SRY,CTNNB1
53,0.00048774944,UGR,CTNNB1
54,0.0011601207,WNT4,CTNNB1
55,0.0013380822,WT1mKTS,CTNNB1
56,0.0004242733,WT1pKTS,CTNNB1
61,0.005567043,DKK1,DHH
62,0.0010194121,DMRT1,DHH
63,0.012984835,FGF9,DHH
64,0.00536473,FOXL2,DHH
65,0.0012650765,GATA4,DHH
66,0.015751988,NR0B1,DHH
67,0.003519416,NR5A1,DHH
68,0.006096906,PGD2,DHH
69,0.0031959768,RSPO1,DHH
70,0.0065227007,SOX9,DHH
71,0.009498388,SRY,DHH
72,0.0011320217,UGR,DHH
73,0.004718758,WNT4,DHH
74,0.0025225217,WT1mKTS,DHH
75,0.003033921,WT1pKTS,DHH
81,0.002271502,DMRT1,DKK1
82,0.008846678,FGF9,DKK1
83,0.001310642,FOXL2,DKK1
84,0.0006281193,GATA4,DKK1
85,0.008296942,NR0B1,DKK1
86,0.0027124695,NR5A1,DKK1
