Gene1	Gene2	EdgeWeight
Gfi1	Cebpa	0.521974529429334
Cebpa	Gfi1	0.5208275883139103
Scl	Fog1	0.4019752846352137
Pu1	Gata1	0.37981323095410735
cJun	EgrNab	0.3754529591074863
EgrNab	cJun	0.3690242553169009
Fog1	Scl	0.3651568630849249
Gata1	Pu1	0.34652819772673765
Fli1	Eklf	0.286684820321709
Eklf	Fli1	0.2515134020612259
Gata1	Scl	0.2216105002449475
Scl	Gata1	0.21880909933957052
Gata1	Fog1	0.20852803786939494
Fog1	Fli1	0.196041928326583
Fog1	Eklf	0.1959438166671853
Scl	Fli1	0.1952465926862958
Gfi1	EgrNab	0.18479713364301167
Pu1	Scl	0.1834575467492233
Fog1	Gata1	0.1815465239740421
Fog1	Pu1	0.1813676745073172
Scl	Pu1	0.16896759961623098
Scl	Eklf	0.1669266393959648
Pu1	Gata2	0.16670376074733606
Gata1	Gata2	0.16494318072988678
Pu1	Fog1	0.15883414603915405
Gfi1	cJun	0.15090320220825484
Cebpa	EgrNab	0.15021778175887712
Fog1	Gata2	0.13792692897656447
Cebpa	cJun	0.1375634857141025
cJun	Gfi1	0.13334171856165813
Eklf	Gata2	0.12453333887439133
cJun	Cebpa	0.12231392545639712
Pu1	cJun	0.11450211051537453
Fli1	Gata2	0.11311830166057855
EgrNab	Gfi1	0.10760257966263163
Gata1	Fli1	0.1059587534986009
EgrNab	Cebpa	0.10482560789385356
Scl	Gata2	0.09734072052376318
Gata1	cJun	0.09183034044025827
Gata1	Eklf	0.09162702931809256
Fli1	Fog1	0.09097222796411487
Pu1	Eklf	0.09007208030829733
Pu1	Fli1	0.08904139759931808
Fli1	Gata1	0.08596526799760107
Pu1	EgrNab	0.08595510930186198
Fli1	Scl	0.0840140741110651
Gata2	Eklf	0.081104937598323
Pu1	Gfi1	0.07999966176885219
Pu1	Cebpa	0.07920966504041255
Gata2	Pu1	0.07884517532999806
Eklf	Scl	0.07341473835438797
Gata2	Fli1	0.06692709944053346
Fli1	Pu1	0.06648534826147882
Eklf	Fog1	0.0660656152500419
Cebpa	Gata2	0.06409081655366461
Gata1	EgrNab	0.06395899921949062
Eklf	Pu1	0.06107410470651301
Gfi1	Gata2	0.05205943000058672
Gata1	Cebpa	0.0511036119773449
Gata1	Gfi1	0.050336556556906935
Eklf	Gata1	0.050112589810430805
cJun	Gata2	0.04668563597307328
Fog1	EgrNab	0.04375779105435538
Scl	cJun	0.04187658467156295
Fog1	Cebpa	0.040001413705472715
Scl	EgrNab	0.03955527087397714
Scl	Gfi1	0.03708282901983671
Fog1	cJun	0.03635250987763062
Gata2	Gata1	0.03607450619938267
Scl	Cebpa	0.03534947400577157
EgrNab	Gata2	0.032597885960155205
cJun	Pu1	0.030937359514616968
Cebpa	Fli1	0.029742585152693967
cJun	Fli1	0.0288693311945572
Fog1	Gfi1	0.027125776371010626
Cebpa	Eklf	0.02669919143036235
cJun	Eklf	0.02523631425695859
cJun	Scl	0.02514746258316413
Cebpa	Pu1	0.025070069420036933
cJun	Fog1	0.023717096573418445
Gfi1	Eklf	0.02197074029059231
Gata2	cJun	0.021953765086240827
Gfi1	Pu1	0.02098050484150327
Gfi1	Fli1	0.02047804396562613
Fli1	cJun	0.020143342617190804
cJun	Gata1	0.019907217996703586
EgrNab	Pu1	0.01974396607556698
Gata2	Gfi1	0.019262253494431333
Eklf	EgrNab	0.019034682128325816
Fli1	EgrNab	0.018979708738660502
Gata2	Cebpa	0.018817587572336737
Gata2	EgrNab	0.01829056417395364
Cebpa	Fog1	0.017310507907445837
Cebpa	Scl	0.016875959426820356
Gata2	Fog1	0.016816274294558942
EgrNab	Fli1	0.01618086607456576
Gata2	Scl	0.015953081633622832
Eklf	cJun	0.015850403552483603
Fli1	Cebpa	0.014413131241181315
EgrNab	Eklf	0.013734430412514712
Fli1	Gfi1	0.012543041018133734
Cebpa	Gata1	0.012491533129344385
Eklf	Cebpa	0.01199105367789571
Eklf	Gfi1	0.011877995232628452
Gfi1	Fog1	0.010576103823149557
Gfi1	Scl	0.010235300763963671
Gfi1	Gata1	0.0088488135012533
EgrNab	Gata1	0.00643121709756423
EgrNab	Fog1	0.0052047056435076886
EgrNab	Scl	0.004134473047880245
