TF	target	importance
Cebpa	Gfi1	273.6872876886151
Gfi1	Cebpa	222.4564486621185
Fli1	Eklf	217.72655815171984
cJun	EgrNab	191.92163075662427
Eklf	Fli1	190.54638696346998
Gata1	Fli1	174.06197309670586
EgrNab	cJun	164.4665474139653
Fog1	Eklf	163.48827237741102
Scl	Fog1	152.24395170983965
Gata1	Eklf	139.11490332020375
Scl	Eklf	136.22190342214702
Pu1	Gata1	131.87810607116862
cJun	Cebpa	131.56205918090717
Fog1	Gata1	131.5605773658531
Scl	Fli1	131.50669223526006
Pu1	Eklf	130.6177242921826
Gata1	Gata2	119.01361433717335
Fog1	Fli1	118.98776919576807
EgrNab	Gfi1	116.74420585673666
Gfi1	EgrNab	113.15806471513652
Cebpa	cJun	112.4900843169813
Gata1	Pu1	111.91080470905334
Pu1	Fog1	108.84382868758838
Gfi1	cJun	108.2644756128195
Fog1	Scl	107.65059153753222
EgrNab	Cebpa	107.21341493153653
Pu1	Gata2	105.12198611405009
Pu1	Scl	95.81146771897906
Pu1	Fli1	91.63219462500449
Gata1	Scl	89.84547140228013
Fli1	Gata2	89.15423248812057
Gata1	Fog1	86.18022306945512
Fog1	Pu1	85.8056400114338
Fog1	Gata2	85.80333983337145
cJun	Gfi1	83.08348317520218
Fli1	Fog1	74.75841998205438
Cebpa	EgrNab	73.15753305972359
Eklf	Gata2	73.09242366106272
Scl	Gata2	72.78451588552373
Scl	Gata1	70.5871886677378
Eklf	Scl	68.1468827767804
Fli1	Gata1	65.15630917053976
Gata2	Eklf	63.122868942989776
Fli1	Scl	62.606249377694255
Scl	Pu1	60.9420777156918
Gata2	Fli1	52.901222370599655
Pu1	cJun	52.75472513981001
Fli1	Pu1	51.49248975444571
Cebpa	Gata2	48.275258625516315
Cebpa	Fli1	45.511719687791306
Cebpa	Gata1	44.51053087464468
Gata2	Pu1	44.01616160965052
Gata1	cJun	43.39634671283954
Gfi1	Eklf	43.27792050943766
Gfi1	Fli1	42.734252876235516
Eklf	Fog1	42.654774635522244
cJun	Pu1	42.491465816027294
Cebpa	Eklf	41.362509715726794
Gfi1	Gata2	40.14174811385136
cJun	Eklf	40.01654218860887
cJun	Fli1	39.609490877852174
Pu1	Cebpa	39.153478605672184
EgrNab	Pu1	37.98879436554416
Eklf	Pu1	37.11994519278243
EgrNab	Eklf	37.05079707957251
cJun	Scl	36.70851957838277
Fog1	Cebpa	35.708178428975266
EgrNab	Fli1	35.50829807131281
Cebpa	Scl	34.53892063331531
Scl	cJun	34.36159095169447
Pu1	Gfi1	34.00481306352185
Fog1	cJun	33.6383704378968
cJun	Gata1	33.22517569487633
Cebpa	Pu1	31.33009394716218
Gata1	Cebpa	30.479049732871644
Gata1	EgrNab	30.239048661838122
Eklf	Gata1	29.801323594855344
Scl	Gfi1	29.58490160983739
cJun	Fog1	28.782533615700956
Cebpa	Fog1	28.65795384333054
cJun	Gata2	28.264648038520015
Gata2	Gata1	26.77914386264349
Fog1	EgrNab	25.800222183819564
EgrNab	Gata1	24.42466157372226
EgrNab	Fog1	23.977757324605786
Gfi1	Scl	23.091667387307584
Fog1	Gfi1	22.964205281930695
Scl	Cebpa	22.585388771270335
Pu1	EgrNab	22.451581141318012
EgrNab	Gata2	22.348232902810317
Gata1	Gfi1	21.95953948245054
Gfi1	Pu1	19.902526878208775
Gfi1	Fog1	18.21677418439879
Gfi1	Gata1	18.076983123958634
EgrNab	Scl	17.708629356382527
Scl	EgrNab	16.923777368230812
Eklf	Cebpa	16.56623717320171
Fli1	Gfi1	15.93144520793808
Eklf	Gfi1	13.765416128618789
Fli1	EgrNab	13.011961468075546
Eklf	EgrNab	12.390947441822323
Eklf	cJun	12.348205835866649
Gata2	Gfi1	12.274702505148749
Fli1	Cebpa	11.835073081323008
Fli1	cJun	11.591237579990644
Gata2	cJun	10.68841599813581
Gata2	EgrNab	9.94523320341119
Gata2	Scl	7.8916002313457465
Gata2	Fog1	7.683782947504177
Gata2	Cebpa	6.440671432123586
