Gene1,Gene2,EdgeWeight
Cebpa,EgrNab,0.443327397108078
Cebpa,Eklf,0.3878113925457001
Cebpa,Fli1,0.39626336097717285
Cebpa,Fog1,0.47580069303512573
Cebpa,Gata1,0.5181494951248169
Cebpa,Gata2,0.4058718979358673
Cebpa,Gfi1,0.9901245832443237
Cebpa,Pu1,0.46218860149383545
Cebpa,Scl,0.41992881894111633
Cebpa,cJun,0.5244662165641785
EgrNab,Cebpa,0.6029940247535706
EgrNab,Eklf,0.38582831621170044
EgrNab,Fli1,0.38133734464645386
EgrNab,Fog1,0.4017964005470276
EgrNab,Gata1,0.4297404885292053
EgrNab,Gata2,0.42894211411476135
EgrNab,Gfi1,0.7671656012535095
EgrNab,Pu1,0.6786426901817322
EgrNab,Scl,0.3921157717704773
EgrNab,cJun,0.9912174940109253
Eklf,Cebpa,0.49520257115364075
Eklf,EgrNab,0.4787846505641937
Eklf,Fli1,0.7932835817337036
Eklf,Fog1,0.9524520039558411
Eklf,Gata1,0.8121535778045654
Eklf,Gata2,0.6791045069694519
Eklf,Gfi1,0.48379528522491455
Eklf,Pu1,0.525799572467804
Eklf,Scl,0.8547974824905396
Eklf,cJun,0.49957355856895447
Fli1,Cebpa,0.44622424244880676
Fli1,EgrNab,0.4366133213043213
Fli1,Eklf,0.77173912525177
Fli1,Fog1,0.9354690909385681
Fli1,Gata1,0.8084667921066284
Fli1,Gata2,0.6329519748687744
Fli1,Gfi1,0.45114418864250183
Fli1,Pu1,0.49004581570625305
Fli1,Scl,0.9494278430938721
Fli1,cJun,0.44256290793418884
Fog1,Cebpa,0.3850409686565399
Fog1,EgrNab,0.3785860538482666
Fog1,Eklf,0.4547131061553955
Fog1,Fli1,0.4546106457710266
Fog1,Gata1,0.9154711961746216
Fog1,Gata2,0.44631147384643555
Fog1,Gfi1,0.37694674730300903
Fog1,Pu1,0.4996926486492157
Fog1,Scl,0.9883196353912354
Fog1,cJun,0.38719263672828674
Gata1,Cebpa,0.3906438648700714
Gata1,EgrNab,0.36267605423927307
Gata1,Eklf,0.4140845239162445
Gata1,Fli1,0.41046276688575745
Gata1,Fog1,0.9447686076164246
Gata1,Gata2,0.5224345922470093
Gata1,Gfi1,0.3745473027229309
Gata1,Pu1,0.9953721761703491
Gata1,Scl,0.8739436268806458
Gata1,cJun,0.401810884475708
Gata2,Cebpa,0.6585749387741089
Gata2,EgrNab,0.6431159377098083
Gata2,Eklf,0.8204106092453003
Gata2,Fli1,0.7943236827850342
Gata2,Fog1,0.9106280207633972
Gata2,Gata1,0.8853865265846252
Gata2,Gfi1,0.6609904170036316
Gata2,Pu1,0.9972221851348877
Gata2,Scl,0.8298308849334717
Gata2,cJun,0.7142511606216431
Gfi1,Cebpa,0.9883865714073181
Gfi1,EgrNab,0.5031028389930725
Gfi1,Eklf,0.3960992693901062
Gfi1,Fli1,0.3896276652812958
Gfi1,Fog1,0.39406028389930725
Gfi1,Gata1,0.41409575939178467
Gfi1,Gata2,0.41515958309173584
Gfi1,Pu1,0.5235815644264221
Gfi1,Scl,0.40124115347862244
Gfi1,cJun,0.5499999523162842
Pu1,Cebpa,0.4699443578720093
Pu1,EgrNab,0.6669758558273315
Pu1,Eklf,0.4256957173347473
Pu1,Fli1,0.42050090432167053
Pu1,Fog1,0.4525046646595001
Pu1,Gata1,0.982467532157898
Pu1,Gata2,0.5857142806053162
Pu1,Gfi1,0.6612244844436646
Pu1,Scl,0.44749537110328674
Pu1,cJun,0.48367348313331604
Scl,Cebpa,0.398105263710022
Scl,EgrNab,0.3794736862182617
Scl,Eklf,0.4662105143070221
Scl,Fli1,0.49452629685401917
Scl,Fog1,0.9994736909866333
Scl,Gata1,0.9408420324325562
Scl,Gata2,0.44378945231437683
Scl,Gfi1,0.3794736862182617
Scl,Pu1,0.4533684253692627
Scl,cJun,0.38842105865478516
cJun,Cebpa,0.7853050231933594
cJun,EgrNab,0.9982439875602722
cJun,Eklf,0.4304991066455841
cJun,Fli1,0.4273567795753479
cJun,Fog1,0.6384472846984863
cJun,Gata1,0.8002772927284241
cJun,Gata2,0.47578561305999756
cJun,Gfi1,0.8000923991203308
cJun,Pu1,0.6399260759353638
cJun,Scl,0.5566543936729431
