Gene1	Gene2	EdgeWeight
cJun	EgrNab	0.052252357377645
Fli1	Eklf	0.049661954255675
Gfi1	Cebpa	0.044429946401500005
Gfi1	EgrNab	0.037654992284240005
EgrNab	Cebpa	0.037102815458425004
cJun	Cebpa	0.034877619470809994
cJun	Gfi1	0.032955961879330004
cJun	Pu1	0.0186890926675875
Pu1	Cebpa	0.01801659970153
Pu1	Gfi1	0.017766402758289997
Pu1	EgrNab	0.017451016880609998
Pu1	Gata2	0.01709208906639
Gata2	Gata1	0.0169692207323875
Pu1	Gata1	0.01500347451354
Scl	Fog1	0.0141631699689615
Gfi1	Gata2	0.01355566408085
Scl	Eklf	0.012707306811193001
Gata2	Cebpa	0.01263775488644
Gata2	Eklf	0.012077728138943
Gfi1	Gata1	0.011975296221469998
Gata2	Fli1	0.01187713961213
Scl	Gata2	0.0110231679410915
cJun	Gata2	0.010865325324270002
Gata1	Cebpa	0.010848714892709999
Fog1	Eklf	0.0105253675141815
Scl	Fli1	0.010426557663683
Gfi1	Fli1	0.010189710270405002
Gata2	EgrNab	0.010141840750793002
Gata1	EgrNab	0.009440408370565
Fli1	EgrNab	0.008963325652092
Gata2	Fog1	0.008921529720659
cJun	Eklf	0.008505962231995
Pu1	Fli1	0.008241002500628
Eklf	EgrNab	0.00818051944284
cJun	Gata1	0.007826621171575
Fog1	Fli1	0.0076802935856565
Gfi1	Fog1	0.007592211600085
Fli1	Cebpa	0.007423217245270001
Scl	Pu1	0.00673712803975
Gfi1	Eklf	0.006719399683415
cJun	Fli1	0.0066523162899850006
Eklf	Cebpa	0.006598361795605
Pu1	Eklf	0.006508588405127001
Gata1	Eklf	0.006486910458941
Scl	Gfi1	0.00633007363801
cJun	Fog1	0.0057885297560875
Gata1	Fog1	0.0056367268655905
Gata1	Fli1	0.0055212720186665004
Scl	EgrNab	0.0054796428840365
Scl	Cebpa	0.005316597757614
Fog1	Cebpa	0.0052153369635395
Scl	Gata1	0.005178139986234999
cJun	Scl	0.0050383095320885
Fog1	EgrNab	0.004837754130881999
Pu1	Fog1	0.00482447406354
