Gene1,Gene2,EdgeWeight
EgrNab,Cebpa,0.037102815458425
Eklf,Cebpa,0.006598361795605
Eklf,EgrNab,0.00818051944284
Fli1,Cebpa,0.00742321724527
Fli1,EgrNab,0.008963325652092
Fli1,Eklf,0.049661954255674996
Fog1,Cebpa,0.0052153369635395
Fog1,EgrNab,0.004837754130882
Fog1,Eklf,0.0105253675141815
Fog1,Fli1,0.0076802935856565
Gata1,Cebpa,0.01084871489271
Gata1,EgrNab,0.009440408370565001
Gata1,Eklf,0.006486910458941
Gata1,Fli1,0.0055212720186665004
Gata1,Fog1,0.0056367268655905
Gata2,Cebpa,0.01263775488644
Gata2,EgrNab,0.010141840750793
Gata2,Eklf,0.012077728138943
Gata2,Fli1,0.01187713961213
Gata2,Fog1,0.008921529720659
Gata2,Gata1,0.0169692207323875
Gfi1,Cebpa,0.0444299464015
Gfi1,EgrNab,0.037654992284240005
Gfi1,Eklf,0.006719399683415
Gfi1,Fli1,0.010189710270405
Gfi1,Fog1,0.0075922116000850005
Gfi1,Gata1,0.01197529622147
Gfi1,Gata2,0.01355566408085
Pu1,Cebpa,0.018016599701530002
Pu1,EgrNab,0.017451016880609998
Pu1,Eklf,0.006508588405127
Pu1,Fli1,0.008241002500628
Pu1,Fog1,0.00482447406354
Pu1,Gata1,0.01500347451354
Pu1,Gata2,0.01709208906639
Pu1,Gfi1,0.017766402758289997
Scl,Cebpa,0.0053165977576139995
Scl,EgrNab,0.0054796428840365
Scl,Eklf,0.012707306811193
Scl,Fli1,0.010426557663683
Scl,Fog1,0.0141631699689615
Scl,Gata1,0.005178139986235
Scl,Gata2,0.0110231679410915
Scl,Gfi1,0.00633007363801
Scl,Pu1,0.00673712803975
cJun,Cebpa,0.03487761947081
cJun,EgrNab,0.052252357377645
cJun,Eklf,0.008505962231995
cJun,Fli1,0.0066523162899850006
cJun,Fog1,0.0057885297560875
cJun,Gata1,0.007826621171575
cJun,Gata2,0.01086532532427
cJun,Gfi1,0.03295596187933
cJun,Pu1,0.0186890926675875
cJun,Scl,0.0050383095320885
