TF	target	importance
Cebpa	Gfi1	0.4069312236155391
Gfi1	Cebpa	0.38583488400604515
EgrNab	cJun	0.38229187663435066
cJun	EgrNab	0.3751615826157033
Fog1	Scl	0.3538491351899896
Gata1	Pu1	0.3508800411113231
Scl	Fog1	0.3497085943977514
Fli1	Eklf	0.3475638001872834
Pu1	Gata1	0.338186493909829
Eklf	Fli1	0.33251028030027696
Pu1	Fog1	0.23178830668100323
Pu1	Scl	0.22940684417588622
Scl	Gata1	0.2204561332384078
Cebpa	Gata2	0.20751686978326983
Gfi1	EgrNab	0.2050567978031195
Fog1	Gata1	0.19749057550732504
Fog1	Pu1	0.19629136009549986
Gata1	Scl	0.19430149037968952
Gata1	Fog1	0.18059654821691468
Gata1	Gata2	0.17200208593690203
Scl	Fli1	0.17114813732761677
Fog1	Eklf	0.16647369434840342
Fog1	Fli1	0.16412174442057778
Scl	Eklf	0.15973646589791407
Pu1	Gata2	0.15684106883982205
Scl	Pu1	0.14387825474143523
Gfi1	cJun	0.1420493643885108
Fog1	Cebpa	0.14105797443258195
Cebpa	EgrNab	0.12699198210158577
Scl	Cebpa	0.12148440130815222
Fog1	Gfi1	0.10972397460844083
Cebpa	cJun	0.106580423198682
Gfi1	Gata2	0.1055090295407672
Gata1	cJun	0.10419744106150884
Pu1	EgrNab	0.09928260346132668
EgrNab	Gfi1	0.09742141837616106
Gata1	Fli1	0.09722333037740764
Scl	Gfi1	0.09502442198167903
Scl	Gata2	0.08941574701345475
Pu1	cJun	0.08734287553115073
Pu1	Eklf	0.08681511548178301
cJun	Gfi1	0.0832947981169889
Cebpa	Fog1	0.07924510776973762
Gata1	Eklf	0.07697703591930577
Pu1	Fli1	0.07683965560184704
Gata1	EgrNab	0.07680473440341683
Gata2	Pu1	0.07631971793290422
Pu1	Cebpa	0.07529696192320523
Cebpa	Scl	0.07476717969520466
EgrNab	Cebpa	0.07258501043622481
Fog1	Gata2	0.07129132771920638
Pu1	Gfi1	0.06931601381797783
Eklf	Gata2	0.06904201576156684
Fli1	Gata2	0.06620410003255646
cJun	Cebpa	0.06542491157642077
Fli1	Gata1	0.06365350029562475
Eklf	Gata1	0.06189945947184168
Fli1	Pu1	0.057878734823756293
Cebpa	Pu1	0.05630156075467926
Fli1	Fog1	0.0524920451058194
Gata1	Cebpa	0.050253840390499044
Eklf	Fog1	0.04971445850712426
Eklf	Pu1	0.04909887254936904
Cebpa	Eklf	0.048492937747053336
Gata2	cJun	0.048180627276192836
Eklf	Scl	0.04752238907168909
Gata1	Gfi1	0.047472095074485236
Cebpa	Fli1	0.04686706033942494
Fli1	Scl	0.046564055256180834
Gata2	Gfi1	0.04420726345566764
Gata2	Eklf	0.0438912958678434
Fog1	cJun	0.043782852843174645
Gata2	Fli1	0.04284990244820625
Scl	cJun	0.04261566418040241
Cebpa	Gata1	0.0416122863057376
Gata2	Cebpa	0.03997492263370953
Scl	EgrNab	0.03846231346795972
Gata2	Gata1	0.037585543933676906
cJun	Gata2	0.03754923764651674
Gfi1	Eklf	0.03562448671234011
Fog1	EgrNab	0.03526494918982537
Gfi1	Fli1	0.03388476023327163
cJun	Pu1	0.02769177384872097
Fli1	Cebpa	0.02465641268185927
EgrNab	Gata2	0.024628517725937688
Fli1	Gfi1	0.02427349492954992
Gfi1	Pu1	0.023517493579692073
Eklf	Cebpa	0.023430680611302095
Fli1	cJun	0.022694624968036165
Eklf	Gfi1	0.022335296023510427
Eklf	cJun	0.020264249917990845
cJun	Fli1	0.01937920375302301
cJun	Gata1	0.019161770993286968
Gfi1	Fog1	0.01862433261761251
cJun	Eklf	0.01844483468251989
EgrNab	Pu1	0.01814219056262004
cJun	Fog1	0.017844850519249437
Gata2	EgrNab	0.016438938911298544
cJun	Scl	0.01599968970739986
EgrNab	Eklf	0.015980333155553618
Gfi1	Scl	0.015685423761445723
EgrNab	Fli1	0.015175925198347897
Fli1	EgrNab	0.01495492739064459
Gata2	Scl	0.014220601919125546
Gfi1	Gata1	0.013354604117047251
Gata2	Fog1	0.013089775917611561
Eklf	EgrNab	0.011581170655119858
EgrNab	Scl	0.007683190843388851
EgrNab	Fog1	0.006895980267175902
EgrNab	Gata1	0.006599632227222911
