Gene1	Gene2	EdgeWeight
Fli1	Eklf	269.4312073630262
EgrNab	cJun	233.17557951777775
Eklf	Fli1	229.1974991022961
cJun	EgrNab	220.09633104892544
Cebpa	Gfi1	168.7189576668774
Pu1	Gata2	159.41313776879758
Fog1	Eklf	159.4028620116874
Gfi1	Cebpa	154.11043153382357
Fog1	Fli1	146.34905969667253
Scl	Fli1	144.46972710024156
Scl	Eklf	138.99315409832627
Pu1	Eklf	125.27881571889144
Cebpa	cJun	120.84545931140863
Pu1	Gata1	111.9452872250578
Scl	Fog1	111.33959247424751
Gata1	Gata2	108.6026553970325
Gfi1	EgrNab	107.56995851714932
Gata1	Eklf	104.79055528211228
Cebpa	EgrNab	102.94612861163952
Pu1	Fog1	102.60931079767836
Cebpa	Gata2	100.79810053828614
Pu1	Fli1	100.57813692587295
Gata1	Fli1	98.78748872304544
Scl	Gata1	98.00984584195818
Cebpa	Eklf	95.43735088636927
Gfi1	cJun	95.31407796281336
Gata1	Pu1	94.19539114222313
Fog1	Pu1	93.530455666772
Fog1	Scl	90.2606119713689
Fog1	Gata1	88.97890477613814
Scl	Pu1	86.41176241516335
Fog1	Gata2	84.41655207447036
Gata1	Scl	81.04132332807494
Scl	Gata2	79.5674185857861
Pu1	Cebpa	78.78812216670406
cJun	Gfi1	74.62527992882704
Pu1	Scl	72.5345130998902
Fli1	Gata2	70.67521204886765
Gfi1	Gata2	70.46994971766159
Gata1	Fog1	69.41485301310222
Gfi1	Eklf	69.398310879668
Scl	Cebpa	69.35149725408003
Cebpa	Scl	63.344685624155346
Cebpa	Fli1	62.9101580883582
Gata1	Gfi1	61.35601257794121
Cebpa	Fog1	58.974512140584096
Pu1	EgrNab	56.626508837988204
Fog1	Gfi1	55.57232000092618
Cebpa	Pu1	55.33033906162539
EgrNab	Gfi1	54.64875521645625
Fog1	Cebpa	54.62997629547758
Fli1	Scl	53.61243531410426
Fli1	Fog1	51.37639889564511
Eklf	Gata2	51.05308026745918
EgrNab	Cebpa	50.939376032675504
Eklf	Gata1	49.30373514574305
Gfi1	Pu1	48.197738252640704
Gata1	cJun	48.13717361672783
Eklf	Pu1	48.01501070634675
Eklf	Scl	47.8870932033005
Gfi1	Fog1	47.59298488476762
cJun	Cebpa	47.34392560121597
Gfi1	Fli1	46.71224146951976
Pu1	Gfi1	46.22990657374028
Fli1	Gata1	44.58818138953646
Gata2	Pu1	44.00815954507224
Cebpa	Gata1	43.273818796610406
Fli1	Pu1	41.628773760446265
Eklf	Fog1	41.44996069211325
Pu1	cJun	37.895762388612646
Scl	EgrNab	37.402978337506944
Gata1	Cebpa	36.94439345106376
Scl	Gfi1	36.79242988238531
Gfi1	Scl	31.806425345129966
Gata2	Eklf	31.180726624427603
Fog1	EgrNab	29.596817114835485
Gata2	Fli1	27.80774933375051
Eklf	Gfi1	27.70584040856915
EgrNab	Eklf	26.213987747406694
Fli1	Cebpa	25.898272343030072
cJun	Eklf	25.873029388085037
Fli1	Gfi1	25.26955820602
cJun	Fli1	24.579267256454862
cJun	Gata2	24.44504236018366
Scl	cJun	24.016964252555308
Fog1	cJun	23.583063975207487
Gfi1	Gata1	23.12459818551476
Eklf	Cebpa	23.08663746265531
Gata1	EgrNab	22.57181134566988
Fli1	cJun	21.53227831202653
EgrNab	Fli1	20.608672303788353
Gata2	cJun	20.293960965754557
EgrNab	Pu1	18.764691957344066
Gata2	Gata1	18.471698315501975
cJun	Fog1	17.709890624423572
Gata2	Gfi1	17.080939538257255
EgrNab	Gata2	16.558851241455194
cJun	Scl	16.08788224196583
Eklf	cJun	13.205679697115919
Eklf	EgrNab	13.12599513118502
cJun	Pu1	12.91767749236617
EgrNab	Fog1	12.5389458318732
Gata2	Cebpa	11.907367859274128
cJun	Gata1	10.002640368696856
EgrNab	Gata1	9.301289955242474
Fli1	EgrNab	7.804745568691997
Gata2	EgrNab	7.25872548640821
EgrNab	Scl	7.194081295650674
Gata2	Scl	5.230948576359368
Gata2	Fog1	3.9935506455650778
