Gene1	Gene2	EdgeWeight
cJun	EgrNab	1.0
Cebpa	Gfi1	0.9993682503700256
Fog1	Scl	0.9969835877418518
Gata1	Pu1	0.99688720703125
Scl	Fog1	0.9930657148361206
Fli1	Fog1	0.99089115858078
Pu1	Gata1	0.98966383934021
Gata2	Pu1	0.9885786771774292
Gfi1	Cebpa	0.9845864176750184
Gata1	Fog1	0.9668287634849548
Fli1	Scl	0.9601979851722716
EgrNab	cJun	0.9579545855522156
Gata1	Scl	0.9364786148071288
Eklf	Scl	0.9329165816307068
Fog1	Gata1	0.9322668313980104
Eklf	Fog1	0.9264583587646484
Gata2	Cebpa	0.912436544895172
Scl	Gata1	0.9074816703796388
Fli1	Eklf	0.8936633467674255
EgrNab	Gfi1	0.8712810277938843
Eklf	Gata1	0.8675000667572021
Eklf	Fli1	0.8644791841506958
Cebpa	Scl	0.855595588684082
Gata2	Gfi1	0.8483503460884094
cJun	Gfi1	0.8390086889266968
Gata2	Gata1	0.8181472420692444
cJun	Fog1	0.8099138736724854
Gata2	Scl	0.8085025548934937
Fli1	Gata1	0.8081188201904297
Gata2	Fog1	0.7897207736968994
EgrNab	Pu1	0.7878099679946899
cJun	Cebpa	0.7874999642372131
cJun	Scl	0.7867457270622253
Cebpa	Gata1	0.737364649772644
Fli1	Gata2	0.6952475905418396
cJun	Pu1	0.6917026042938232
cJun	Gata1	0.6875
Cebpa	Fog1	0.67409747838974
Cebpa	cJun	0.6669675707817078
Eklf	Gata2	0.6488541960716248
Fli1	Pu1	0.6294060349464417
Gata2	Fli1	0.6285532712936401
Gata2	Eklf	0.6219542622566223
Scl	Cebpa	0.619343101978302
Pu1	Gfi1	0.6186554431915283
Cebpa	EgrNab	0.6154330968856812
Pu1	Gata2	0.6109243631362915
EgrNab	Cebpa	0.6027892827987671
Fli1	Cebpa	0.59881192445755
Gata2	EgrNab	0.5925127267837524
Gfi1	cJun	0.5889098048210144
Scl	Pu1	0.5886861681938171
Fog1	Cebpa	0.5819012522697449
Gata2	cJun	0.5815989971160889
Pu1	Cebpa	0.5780671834945679
EgrNab	Gata1	0.5649793744087219
Eklf	Pu1	0.5582291483879089
Fli1	cJun	0.5568317174911499
cJun	Gata2	0.5488146543502808
Pu1	EgrNab	0.5473949909210205
Fli1	Gfi1	0.5470296740531921
Gfi1	Pu1	0.5469924807548523
Pu1	cJun	0.5454621911048889
Cebpa	Pu1	0.5351083278656006
Eklf	Gfi1	0.5299999713897705
Eklf	Cebpa	0.5287500023841858
Fli1	EgrNab	0.5242574214935303
Fog1	Fli1	0.5208409428596497
Cebpa	Gata2	0.517960250377655
Gfi1	EgrNab	0.5178570747375488
Pu1	Fog1	0.5121848583221436
Fog1	Pu1	0.5114259719848633
cJun	Fli1	0.5107758641242981
Pu1	Scl	0.5106722116470337
Scl	Eklf	0.5104014873504639
cJun	Eklf	0.5070043206214905
Gata1	Gata2	0.5024319291114807
Scl	Fli1	0.4968977868556976
EgrNab	Gata2	0.4950413107872009
Eklf	cJun	0.4950000047683716
Scl	cJun	0.4931569397449493
Fog1	Eklf	0.4900365471839905
Gata1	cJun	0.487937718629837
Eklf	EgrNab	0.4873957931995392
EgrNab	Fog1	0.4829545319080353
Scl	Gata2	0.4740875661373138
EgrNab	Fli1	0.4726239740848541
Fog1	Gata2	0.4705667197704315
EgrNab	Scl	0.4703512489795685
EgrNab	Eklf	0.4667355418205261
Pu1	Fli1	0.4604201912879944
Fog1	cJun	0.4565813839435578
Fog1	Gfi1	0.4504570364952088
Pu1	Eklf	0.4463865756988525
Gfi1	Fog1	0.4413533806800842
Gata1	Cebpa	0.4285992383956909
Cebpa	Eklf	0.4240072071552277
Cebpa	Fli1	0.4148014187812805
Gfi1	Gata2	0.41381576657295227
Scl	Gfi1	0.4133211672306061
Gfi1	Scl	0.4000000059604645
Fog1	EgrNab	0.399817168712616
Gfi1	Eklf	0.3993420600891113
Scl	EgrNab	0.3972627818584442
Gfi1	Gata1	0.3970864713191986
Gata1	Eklf	0.3914396762847901
Gfi1	Fli1	0.3906955122947693
Gata1	Fli1	0.38229572772979736
Gata1	Gfi1	0.3768482804298401
Gata1	EgrNab	0.3721790015697479
