,LRP,source_gene,target_gene
1,0.005834991,EgrNab,Cebpa
2,0.0007853118,Eklf,Cebpa
3,0.0025625,Fli1,Cebpa
4,0.0027437275,Fog1,Cebpa
5,0.0058621606,Gata1,Cebpa
6,0.0043576537,Gata2,Cebpa
7,0.0035383927,Gfi1,Cebpa
8,0.009183569,Pu1,Cebpa
9,0.0028569987,Scl,Cebpa
10,0.0028422503,cJun,Cebpa
13,0.0008082279,Eklf,EgrNab
14,0.0013266195,Fli1,EgrNab
15,0.00040204427,Fog1,EgrNab
16,0.0027318571,Gata1,EgrNab
17,0.00077194517,Gata2,EgrNab
18,0.0044795456,Gfi1,EgrNab
19,0.0027748686,Pu1,EgrNab
20,0.0009632255,Scl,EgrNab
21,0.0060908697,cJun,EgrNab
25,0.0018030533,Fli1,Eklf
26,0.0013654719,Fog1,Eklf
27,0.0009598565,Gata1,Eklf
28,0.0005285355,Gata2,Eklf
29,0.0028330698,Gfi1,Eklf
30,0.00047398778,Pu1,Eklf
31,0.0007807524,Scl,Eklf
32,0.0027334737,cJun,Eklf
37,0.0013690154,Fog1,Fli1
38,0.001174256,Gata1,Fli1
39,0.0005517294,Gata2,Fli1
40,0.0021881773,Gfi1,Fli1
41,0.00026930321,Pu1,Fli1
42,0.0013413241,Scl,Fli1
43,0.0034695514,cJun,Fli1
49,0.0010775061,Gata1,Fog1
50,0.0009406215,Gata2,Fog1
51,0.0032627988,Gfi1,Fog1
52,0.0014967761,Pu1,Fog1
53,0.0010637847,Scl,Fog1
54,0.0023166053,cJun,Fog1
61,0.004891611,Gata2,Gata1
62,0.0023455245,Gfi1,Gata1
63,0.009894207,Pu1,Gata1
64,0.0016618071,Scl,Gata1
65,0.006118525,cJun,Gata1
73,0.003050177,Gfi1,Gata2
74,0.0024136496,Pu1,Gata2
75,0.0010415127,Scl,Gata2
76,0.0014307547,cJun,Gata2
85,0.01181797,Pu1,Gfi1
86,0.0036842455,Scl,Gfi1
87,0.0049949456,cJun,Gfi1
97,0.00052303995,Scl,Pu1
98,0.010499251,cJun,Pu1
109,0.004540099,cJun,Scl
