Gene1	Gene2	EdgeWeight
Pax6	Nkx22	0.5374785578010013
Nkx22	Pax6	0.4968522724300938
Irx3	Olig2	0.4185823320107624
Nkx61	Dbx2	0.4123536597836637
Olig2	Irx3	0.41233653152614014
Dbx2	Nkx61	0.37329436696565743
Dbx2	Nkx62	0.3194652422458502
Dbx2	Dbx1	0.3135922573774646
Dbx1	Nkx62	0.24501423585229426
Pax6	Olig2	0.2305953815878529
Nkx62	Dbx1	0.2292312218607321
Nkx61	Nkx62	0.22892557962203286
Nkx61	Dbx1	0.2270052836918884
Nkx62	Dbx2	0.20350098384627685
Olig2	Pax6	0.2028403322311214
Pax6	Irx3	0.2009789534958301
Nkx22	Olig2	0.18553230939325024
Irx3	Pax6	0.18498341121637227
Dbx1	Dbx2	0.18210562541194125
Nkx62	Nkx61	0.17520440665493653
Olig2	Nkx22	0.17520284701109526
Nkx22	Irx3	0.16995643795235896
Dbx1	Nkx61	0.16937596729416646
Irx3	Nkx22	0.16842777464604006
Dbx2	Irx3	0.1002245455643434
Irx3	Dbx2	0.09974432227044606
Irx3	Nkx61	0.0900970421451076
Irx3	Dbx1	0.07649288357089634
Nkx22	Nkx61	0.06890440231120216
Olig2	Nkx61	0.06824574746272291
Irx3	Nkx62	0.0664696051739666
Dbx2	Olig2	0.058962753082780865
Pax6	Nkx61	0.054878067166206926
Pax6	Dbx1	0.05175981542689642
Olig2	Dbx1	0.05157710618022629
Nkx22	Dbx1	0.05034143189189589
Nkx61	Irx3	0.048726955629902736
Nkx22	Nkx62	0.04693937311813701
Pax6	Nkx62	0.046667101364741004
Olig2	Nkx62	0.046518862622978066
Olig2	Dbx2	0.04183929357537878
Dbx2	Pax6	0.03925278928949154
Nkx61	Olig2	0.03916618109802975
Dbx2	Nkx22	0.03886962560018123
Dbx1	Irx3	0.033984167306415375
Nkx62	Irx3	0.0337924085250094
Nkx62	Olig2	0.03359602766780801
Dbx1	Olig2	0.03356501515951593
Nkx22	Dbx2	0.03337751341610592
Nkx61	Nkx22	0.028160229461466187
Pax6	Dbx2	0.027078601696187445
Nkx61	Pax6	0.02643887050625344
Dbx1	Nkx22	0.026308703834654543
Dbx1	Pax6	0.025928699681819926
Nkx62	Nkx22	0.0255522616455614
Nkx62	Pax6	0.02370362464484761
