Gene1	Gene2	EdgeWeight
Olig2	Irx3	418.15140271435814
Irx3	Olig2	359.48729850076177
Nkx22	Pax6	337.96763499203615
Pax6	Nkx22	336.1290724337775
Pax6	Olig2	249.26574035539247
Nkx61	Dbx2	244.14588755298402
Dbx2	Nkx62	221.56600296958916
Nkx22	Irx3	206.78474498634853
Pax6	Irx3	188.70163592198716
Nkx22	Olig2	180.43454580796916
Nkx61	Nkx62	179.41251020161653
Dbx2	Dbx1	172.0001126572325
Olig2	Pax6	163.75986828654018
Dbx2	Nkx61	156.0994992010514
Dbx1	Nkx62	150.64272091402486
Olig2	Nkx22	126.75209230218512
Dbx1	Dbx2	126.44198814787508
Irx3	Pax6	123.52611544105814
Nkx61	Dbx1	120.45367583686466
Irx3	Nkx22	118.70017740819902
Nkx62	Dbx2	107.23083692725523
Nkx62	Dbx1	102.42313428584372
Nkx62	Nkx61	86.41672204675915
Dbx2	Irx3	82.12694841600138
Dbx1	Nkx61	80.75590223519673
Nkx61	Irx3	66.05626102345582
Irx3	Nkx62	51.86384216819889
Irx3	Dbx2	49.59299266124181
Dbx2	Olig2	40.62846441089263
Irx3	Nkx61	34.42287573948401
Dbx1	Irx3	29.56994507669159
Irx3	Dbx1	29.53204840777174
Nkx61	Olig2	29.472371388179564
Olig2	Nkx62	27.54534347643601
Nkx22	Nkx62	27.433719793136024
Olig2	Dbx2	25.992724588129548
Nkx22	Dbx2	25.814141843257786
Nkx62	Irx3	24.60906186115749
Pax6	Nkx62	23.535860476998725
Olig2	Nkx61	21.44125928573488
Nkx22	Nkx61	20.706948174814716
Nkx22	Dbx1	19.657296915203442
Nkx62	Olig2	19.219659113682567
Pax6	Dbx1	18.629845064964773
Dbx1	Olig2	18.491920423121787
Olig2	Dbx1	18.3038868321192
Pax6	Dbx2	17.781428279256538
Dbx2	Pax6	16.86135684766655
Dbx2	Nkx22	16.312719274957825
Nkx61	Nkx22	14.253544527883625
Pax6	Nkx61	12.15679331695914
Nkx61	Pax6	11.86814407021174
Nkx62	Nkx22	11.324069347983226
Nkx62	Pax6	10.612681552044931
Dbx1	Pax6	10.404198810442297
Dbx1	Nkx22	9.528324705013686
