Gene1	Gene2	EdgeWeight
Olig2	Irx3	0.12669855731360002
Pax6	Nkx22	0.07827582179525
Pax6	Olig2	0.07047007731636999
Pax6	Irx3	0.06872364390128999
Nkx22	Irx3	0.056212402602315005
Olig2	Nkx22	0.055373458711050004
Irx3	Dbx2	0.0365879273136
Nkx61	Dbx2	0.033919409024785
Nkx61	Irx3	0.033495613443194995
Irx3	Dbx1	0.02930421192174
Nkx62	Irx3	0.028201887619850007
Olig2	Nkx62	0.0251973922795
Pax6	Nkx61	0.02473232600675
Nkx62	Dbx2	0.02441356114732
Dbx2	Dbx1	0.024018061561700003
Nkx62	Nkx61	0.023523407129099998
Olig2	Dbx1	0.023342449667365
Olig2	Nkx61	0.0227360826205
Nkx61	Dbx1	0.022504958454375
Nkx62	Dbx1	0.022031263245544996
Nkx61	Nkx22	0.020615812422515
Pax6	Dbx2	0.02049207191365
Olig2	Dbx2	0.020220606553980003
Pax6	Nkx62	0.019570765890075
Pax6	Dbx1	0.0193990125477
Nkx22	Dbx1	0.019016708231975
Nkx22	Dbx2	0.018211988702580003
Nkx62	Nkx22	0.016426832974905003
