,LRP,source_gene,target_gene
1,0.040680982,Dbx2,Dbx1
2,0.058491588,Irx3,Dbx1
3,0.033144027,Nkx22,Dbx1
4,0.04119549,Nkx61,Dbx1
5,0.04274625,Nkx62,Dbx1
6,0.042560328,Olig2,Dbx1
7,0.038436834,Pax6,Dbx1
10,0.013165676,Irx3,Dbx2
11,0.008332509,Nkx22,Dbx2
12,0.034926835,Nkx61,Dbx2
13,0.0018823878,Nkx62,Dbx2
14,0.054674927,Olig2,Dbx2
15,0.0062778555,Pax6,Dbx2
19,0.030946065,Nkx22,Irx3
20,0.035848543,Nkx61,Irx3
21,0.024860175,Nkx62,Irx3
22,0.124558225,Olig2,Irx3
23,0.044269435,Pax6,Irx3
28,0.011534693,Nkx61,Nkx22
29,0.008473671,Nkx62,Nkx22
30,0.062295947,Olig2,Nkx22
31,0.06986932,Pax6,Nkx22
37,0.04058684,Nkx62,Nkx61
38,0.0726879,Olig2,Nkx61
39,0.010258193,Pax6,Nkx61
46,0.043107882,Olig2,Nkx62
47,0.018270113,Pax6,Nkx62
55,0.17627394,Pax6,Olig2
