Gene1	Gene2	EdgeWeight
Dbx1	Nkx61	0.9982195496559144
Olig2	Irx3	0.9978615045547484
Olig2	Pax6	0.9962322115898132
Pax6	Nkx22	0.9957504868507384
Nkx61	Dbx2	0.9953124523162842
Dbx2	Nkx61	0.9918660521507264
Irx3	Olig2	0.9898772835731506
Nkx62	Nkx61	0.9886685609817504
Nkx22	Pax6	0.987619936466217
Irx3	Pax6	0.9875255227088928
Dbx1	Dbx2	0.948516309261322
Olig2	Nkx22	0.9316699504852296
Nkx62	Dbx2	0.92025488615036
Irx3	Nkx22	0.9158486127853394
Dbx2	Irx3	0.9003588557243347
Nkx61	Nkx62	0.7819710969924927
Nkx62	Dbx1	0.7818697094917297
Dbx1	Nkx62	0.7816023826599121
Nkx61	Dbx1	0.7669470906257629
Pax6	Irx3	0.7124773859977722
Pax6	Olig2	0.7018986940383911
Dbx2	Nkx62	0.6950957179069519
Dbx2	Dbx1	0.6685405969619751
Nkx61	Nkx22	0.637620210647583
Dbx1	Pax6	0.6126112937927246
Dbx1	Irx3	0.6094955205917358
Dbx1	Nkx22	0.5961424112319946
Nkx62	Pax6	0.5957506895065308
Dbx1	Olig2	0.5885756611824036
Nkx61	Pax6	0.5780047774314879
Nkx62	Nkx22	0.5684136152267456
Nkx22	Nkx61	0.5678502917289734
Nkx62	Irx3	0.5655807256698608
Nkx62	Olig2	0.5583569407463074
Irx3	Dbx2	0.5225971341133118
Nkx61	Irx3	0.5194711089134216
Dbx2	Olig2	0.5193779468536377
Nkx61	Olig2	0.515625
Pax6	Nkx61	0.5110307335853577
Olig2	Nkx61	0.5088594555854797
Dbx2	Pax6	0.4840908944606781
Irx3	Nkx61	0.4749488830566406
Dbx2	Nkx22	0.4732056856155396
Nkx22	Olig2	0.4549903869628906
Pax6	Dbx2	0.4509945511817932
Nkx22	Irx3	0.4425143897533417
Olig2	Dbx2	0.4322810769081116
Irx3	Nkx62	0.42699384689331055
Pax6	Nkx62	0.4234177172183991
Irx3	Dbx1	0.4233128726482392
Pax6	Dbx1	0.4216094017028809
Olig2	Nkx62	0.4158858954906464
Olig2	Dbx1	0.4128309488296509
Nkx22	Nkx62	0.402687132358551
Nkx22	Dbx2	0.3847408890724182
Nkx22	Dbx1	0.3842610418796539
