Gene1,Gene2,EdgeWeight
Dbx1,Dbx2,0.948516309261322
Dbx1,Irx3,0.6094955205917358
Dbx1,Nkx22,0.5961424112319946
Dbx1,Nkx61,0.9982195496559143
Dbx1,Nkx62,0.7816023826599121
Dbx1,Olig2,0.5885756611824036
Dbx1,Pax6,0.6126112937927246
Dbx2,Dbx1,0.6685405969619751
Dbx2,Irx3,0.9003588557243347
Dbx2,Nkx22,0.47320568561553955
Dbx2,Nkx61,0.9918660521507263
Dbx2,Nkx62,0.6950957179069519
Dbx2,Olig2,0.5193779468536377
Dbx2,Pax6,0.4840908944606781
Irx3,Dbx1,0.42331287264823914
Irx3,Dbx2,0.5225971341133118
Irx3,Nkx22,0.9158486127853394
Irx3,Nkx61,0.4749488830566406
Irx3,Nkx62,0.42699384689331055
Irx3,Olig2,0.9898772835731506
Irx3,Pax6,0.9875255227088928
Nkx22,Dbx1,0.38426104187965393
Nkx22,Dbx2,0.3847408890724182
Nkx22,Irx3,0.4425143897533417
Nkx22,Nkx61,0.5678502917289734
Nkx22,Nkx62,0.402687132358551
Nkx22,Olig2,0.4549903869628906
Nkx22,Pax6,0.987619936466217
Nkx61,Dbx1,0.7669470906257629
Nkx61,Dbx2,0.9953124523162842
Nkx61,Irx3,0.5194711089134216
Nkx61,Nkx22,0.637620210647583
Nkx61,Nkx62,0.7819710969924927
Nkx61,Olig2,0.515625
Nkx61,Pax6,0.578004777431488
Nkx62,Dbx1,0.7818697094917297
Nkx62,Dbx2,0.9202548861503601
Nkx62,Irx3,0.5655807256698608
Nkx62,Nkx22,0.5684136152267456
Nkx62,Nkx61,0.9886685609817505
Nkx62,Olig2,0.5583569407463074
Nkx62,Pax6,0.5957506895065308
Olig2,Dbx1,0.4128309488296509
Olig2,Dbx2,0.4322810769081116
Olig2,Irx3,0.9978615045547485
Olig2,Nkx22,0.9316699504852295
Olig2,Nkx61,0.5088594555854797
Olig2,Nkx62,0.41588589549064636
Olig2,Pax6,0.9962322115898132
Pax6,Dbx1,0.42160940170288086
Pax6,Dbx2,0.4509945511817932
Pax6,Irx3,0.7124773859977722
Pax6,Nkx22,0.9957504868507385
Pax6,Nkx61,0.5110307335853577
Pax6,Nkx62,0.42341771721839905
Pax6,Olig2,0.7018986940383911
