Gene1,Gene2,EdgeWeight
Dbx2,Dbx1,0.027783533744570002
Irx3,Dbx1,0.019177030695475
Irx3,Dbx2,0.03235546840921
Nkx22,Dbx1,0.014036081922145
Nkx22,Dbx2,0.013123595544380001
Nkx22,Irx3,0.11599839989315
Nkx61,Dbx1,0.018488030459965
Nkx61,Dbx2,0.032715613037205
Nkx61,Irx3,0.0337417420585
Nkx61,Nkx22,0.036415677124844996
Nkx62,Dbx1,0.0137118306854
Nkx62,Dbx2,0.02816667635042
Nkx62,Irx3,0.0193805106611
Nkx62,Nkx22,0.019554908922715
Nkx62,Nkx61,0.01930289595308
Olig2,Dbx1,0.01816053182025
Olig2,Dbx2,0.018251609715004998
Olig2,Irx3,0.23629013350775
Olig2,Nkx22,0.12458848506802499
Olig2,Nkx61,0.031030582877794997
Olig2,Nkx62,0.01439513753776
Pax6,Dbx1,0.020249959993649997
Pax6,Dbx2,0.02374102474012
Pax6,Irx3,0.13264485352
Pax6,Nkx22,0.1947436712536
Pax6,Nkx61,0.033199419957080006
Pax6,Nkx62,0.022317416494335
Pax6,Olig2,0.13009144041175
