TF	target	importance
DKK1	DMRT1	0.33771496987318944
WT1pKTS	FOXL2	0.3235408882970284
DMRT1	DKK1	0.31773229607335
FOXL2	WT1pKTS	0.2972340866054358
FGF9	PGD2	0.259997524212829
PGD2	FGF9	0.2593218722227804
FGF9	DHH	0.24955875275794723
FGF9	AMH	0.2481889330606268
CTNNB1	RSPO1	0.24386042997465612
RSPO1	NR5A1	0.23525122057733797
DHH	FGF9	0.23333772312351225
RSPO1	WNT4	0.23073370722501166
DHH	PGD2	0.22386561950340453
PGD2	DHH	0.2233297621223403
FOXL2	CTNNB1	0.22266599512345048
UGR	CBX2	0.2174962839509818
PGD2	AMH	0.21365549001203937
DMRT1	SRY	0.20823737858133703
AMH	DHH	0.19323300013660274
RSPO1	CTNNB1	0.19204177418816304
AMH	FGF9	0.19135232266248955
CBX2	UGR	0.18983262605071335
DKK1	SRY	0.18712911635689744
NR5A1	RSPO1	0.18642814722114737
PGD2	SOX9	0.18337923319237476
CTNNB1	WT1pKTS	0.183146379453641
DHH	AMH	0.18136002467340773
AMH	PGD2	0.180929801656058
CTNNB1	FOXL2	0.1797848897143268
DHH	SOX9	0.1755506989751853
SRY	UGR	0.16740232375689557
WNT4	RSPO1	0.16614458897876955
SRY	DKK1	0.15943288542857048
SRY	DMRT1	0.15600351465872947
CTNNB1	WNT4	0.1543232069990409
FGF9	SOX9	0.14710567954165626
SOX9	DMRT1	0.14657634108995382
SOX9	DKK1	0.14527833819668146
NR5A1	FOXL2	0.1429104691181585
AMH	NR0B1	0.14069756724419163
NR5A1	CBX2	0.1380417479595832
WT1pKTS	CTNNB1	0.13504835187648412
NR5A1	WT1pKTS	0.12935870701598623
CTNNB1	NR5A1	0.12845039918859175
NR0B1	UGR	0.12376341823872937
DHH	NR0B1	0.11282404679433895
SOX9	WNT4	0.11270887431187539
AMH	SOX9	0.11259724035539512
FGF9	NR0B1	0.11210130359725037
FOXL2	RSPO1	0.11108167758986293
WNT4	UGR	0.11076366774557261
WNT4	NR0B1	0.11020962266409244
NR0B1	WNT4	0.10959160948979314
FOXL2	NR5A1	0.10871616866952663
NR5A1	CTNNB1	0.1078712095313751
SRY	WT1pKTS	0.10292122944393914
SOX9	DHH	0.10262435888150041
UGR	NR0B1	0.09831718409040191
SOX9	PGD2	0.09790128126140248
NR0B1	AMH	0.0974472512281057
GATA4	WT1mKTS	0.09705413797655882
SOX9	SRY	0.09623936553467723
SOX9	AMH	0.09494307213252887
WT1mKTS	GATA4	0.0941945669499832
