Gene1	Gene2	EdgeWeight
RSPO1	CTNNB1	1.0
RSPO1	NR5A1	1.0
RSPO1	WNT4	1.0
NR5A1	RSPO1	0.9992119073867798
FOXL2	WT1pKTS	0.9961320757865906
FGF9	DHH	0.9955734610557556
DKK1	DMRT1	0.995141327381134
DHH	FGF9	0.992750883102417
SOX9	DMRT1	0.9909793734550476
FGF9	PGD2	0.9908450841903688
DMRT1	DKK1	0.989404559135437
AMH	FGF9	0.989015817642212
WT1pKTS	FOXL2	0.9879791736602784
CBX2	DMRT1	0.9869524240493774
SRY	DMRT1	0.986672341823578
CTNNB1	RSPO1	0.985077142715454
SRY	DKK1	0.9836162328720092
PGD2	FGF9	0.9833987951278688
RSPO1	CBX2	0.9827957153320312
AMH	DHH	0.9811072349548341
WNT4	RSPO1	0.9808020591735841
FOXL2	CTNNB1	0.9796226620674132
SOX9	DKK1	0.9780929088592528
CBX2	UGR	0.9677142500877379
CBX2	DKK1	0.9676190614700316
NR0B1	WNT4	0.9675086736679076
CBX2	NR5A1	0.9668570756912231
AMH	PGD2	0.9655536413192748
DHH	PGD2	0.960316002368927
RSPO1	DMRT1	0.958781361579895
PGD2	DHH	0.9587426185607909
RSPO1	DKK1	0.9586021900177002
CTNNB1	FOXL2	0.942109763622284
UGR	SRY	0.9368478059768676
UGR	CBX2	0.936086893081665
UGR	NR0B1	0.926956593990326
WT1mKTS	GATA4	0.9250000119209291
GATA4	WT1mKTS	0.9249998927116394
WNT4	DMRT1	0.9200510382652284
WNT4	NR0B1	0.9198804497718812
NR0B1	AMH	0.9196864366531372
NR0B1	FGF9	0.916201949119568
NR0B1	DHH	0.910191535949707
CBX2	WT1pKTS	0.9075238108634948
WNT4	DKK1	0.9029009938240052
SOX9	FGF9	0.8943300247192383
SOX9	WNT4	0.892353892326355
GATA4	WNT4	0.8909676671028137
CBX2	SOX9	0.8814284801483154
SOX9	NR5A1	0.8772336840629578
NR0B1	PGD2	0.8692508339881897
SOX9	DHH	0.8633162975311279
CTNNB1	DMRT1	0.8628644943237305
RSPO1	SOX9	0.8616487383842468
UGR	WNT4	0.8592389822006226
CBX2	CTNNB1	0.8583808541297913
SRY	FOXL2	0.8559422492980957
WT1mKTS	DMRT1	0.8533783555030823
NR5A1	SOX9	0.8521891236305237
GATA4	UGR	0.8506451845169067
NR0B1	UGR	0.8486933708190918
DHH	AMH	0.8458177447319031
GATA4	SRY	0.8435483574867249
PGD2	AMH	0.836247444152832
WT1mKTS	WT1pKTS	0.8333332538604736
FGF9	AMH	0.830382227897644
RSPO1	WT1pKTS	0.8272401690483093
RSPO1	WT1mKTS	0.8259856700897217
RSPO1	FOXL2	0.8252688050270081
GATA4	FGF9	0.8238709568977356
RSPO1	NR0B1	0.8229390382766724
GATA4	DMRT1	0.8206451535224915
WT1mKTS	SOX9	0.8198198676109314
NR5A1	NR0B1	0.8184764385223389
WT1mKTS	NR0B1	0.8164414167404175
WT1mKTS	UGR	0.8144144415855408
CBX2	RSPO1	0.8140000700950623
GATA4	WT1pKTS	0.8137096762657166
GATA4	NR0B1	0.811935544013977
GATA4	FOXL2	0.8058064579963684
CTNNB1	WT1pKTS	0.8037737011909485
RSPO1	UGR	0.8037634491920471
RSPO1	GATA4	0.8014337420463562
WT1mKTS	FOXL2	0.7986485958099365
NR5A1	CBX2	0.7936077117919922
WT1mKTS	CTNNB1	0.7864864468574524
GATA4	RSPO1	0.7820967435836792
WT1mKTS	DHH	0.7786036133766174
GATA4	NR5A1	0.7785483598709106
GATA4	CBX2	0.7782257795333862
GATA4	DKK1	0.7774193286895752
WT1pKTS	SRY	0.7745645642280579
NR5A1	WT1pKTS	0.7745183706283569
WT1mKTS	DKK1	0.7743242979049683
SRY	UGR	0.7714771032333374
WNT4	SOX9	0.7690273523330688
SOX9	PGD2	0.7686426639556885
RSPO1	FGF9	0.7675626873970032
RSPO1	SRY	0.7663082480430603
NR5A1	FOXL2	0.7634851336479187
GATA4	CTNNB1	0.7625806331634521
GATA4	PGD2	0.7622580528259277
GATA4	SOX9	0.7620967626571655
GATA4	DHH	0.7611289620399475
WT1mKTS	SRY	0.7583333849906921
DKK1	SRY	0.7578621506690979
WT1mKTS	RSPO1	0.7563063502311707
GATA4	AMH	0.7558064460754395
WT1mKTS	NR5A1	0.7533783912658691
SRY	CTNNB1	0.7524617910385132
WT1mKTS	PGD2	0.7515766024589539
RSPO1	AMH	0.7510752677917479
WT1mKTS	AMH	0.7509008049964905
RSPO1	PGD2	0.7471325993537903
RSPO1	DHH	0.744085967540741
WT1mKTS	FGF9	0.7418918609619141
NR0B1	NR5A1	0.7416375875473022
SRY	WT1pKTS	0.7410866618156433
WT1mKTS	WNT4	0.7398648858070374
WT1mKTS	CBX2	0.7346847057342529
CTNNB1	DKK1	0.7302744388580322
DHH	SOX9	0.7295538783073425
NR0B1	CBX2	0.7151567935943604
WNT4	UGR	0.7091297507286072
AMH	NR0B1	0.7043058276176453
FGF9	SOX9	0.6898390054702759
DMRT1	SRY	0.6891419887542725
UGR	CTNNB1	0.6872826218605042
DKK1	SOX9	0.6746466159820557
SOX9	CBX2	0.6598796844482422
CBX2	FOXL2	0.6516190767288208
CTNNB1	SRY	0.6457117795944214
DMRT1	SOX9	0.6403677463531494
UGR	RSPO1	0.6281521916389465
SRY	NR5A1	0.6273343563079834
NR5A1	DMRT1	0.6197022795677185
WNT4	CBX2	0.6189420223236084
NR5A1	DKK1	0.6187390089035034
FOXL2	RSPO1	0.6166037917137146
PGD2	SOX9	0.6165030002593994
NR0B1	SRY	0.5917247533798218
UGR	GATA4	0.587826132774353
CBX2	SRY	0.5876190662384033
UGR	WT1mKTS	0.5830435156822205
CTNNB1	NR5A1	0.5819039344787598
CTNNB1	UGR	0.5712693333625793
NR5A1	CTNNB1	0.5685638785362244
WNT4	SRY	0.5651023983955383
WT1pKTS	NR5A1	0.5638502240180969
SRY	CBX2	0.5589982867240906
NR5A1	FGF9	0.5492994785308838
SRY	NR0B1	0.5474533438682556
DMRT1	WNT4	0.5473729968070984
CBX2	GATA4	0.5467618703842163
WT1pKTS	WT1mKTS	0.5413762927055359
UGR	DHH	0.5392391085624695
CTNNB1	CBX2	0.538765013217926
SOX9	RSPO1	0.5348796844482422
CBX2	WNT4	0.5347618460655212
CBX2	WT1mKTS	0.5345714092254639
UGR	FOXL2	0.529891312122345
CTNNB1	NR0B1	0.5269296169281006
