Gene1	Gene2	EdgeWeight
DKK1	DMRT1	0.3412869760005984
DMRT1	DKK1	0.3260324257931269
WT1pKTS	FOXL2	0.3241583277833867
FOXL2	WT1pKTS	0.2885188572495355
DHH	PGD2	0.2764770495325655
PGD2	DHH	0.2629811804094148
DHH	FGF9	0.25479010636680377
UGR	CBX2	0.24656448459431216
CTNNB1	RSPO1	0.23714819876798665
FGF9	PGD2	0.2303742626528515
DHH	AMH	0.23032280608042555
PGD2	AMH	0.22641834346750897
PGD2	FGF9	0.2244386166532097
FOXL2	CTNNB1	0.22145669310792815
RSPO1	CTNNB1	0.21848417138497028
RSPO1	WNT4	0.21731878337437466
RSPO1	NR5A1	0.2162171599599208
FGF9	SOX9	0.20602660559642344
FGF9	DHH	0.20392164177711772
CTNNB1	FOXL2	0.20139137040840632
DMRT1	SRY	0.1936330284081534
AMH	FGF9	0.19232904380173707
AMH	DHH	0.19210315727750704
CBX2	UGR	0.1883227747380873
DKK1	SRY	0.1796884825351636
CTNNB1	WNT4	0.17649568890354786
NR5A1	RSPO1	0.17544203799905253
FGF9	AMH	0.17468622313409082
SOX9	DKK1	0.17179203749899075
CTNNB1	WT1pKTS	0.1647799054440363
SOX9	DMRT1	0.16265098427083194
WNT4	RSPO1	0.16068888182491148
SRY	UGR	0.16047551534666876
AMH	PGD2	0.1583749156000741
PGD2	SOX9	0.1555894071017215
DHH	SOX9	0.14776381326255222
WNT4	NR0B1	0.14084409593858022
NR5A1	CBX2	0.14020747089113458
NR0B1	UGR	0.13622843033484416
AMH	NR0B1	0.13494472557019346
SRY	DKK1	0.134447790066174
SRY	DMRT1	0.1334319769512263
FOXL2	NR5A1	0.13015087150688712
WT1pKTS	CTNNB1	0.1294065813549045
NR5A1	WT1pKTS	0.12896926185719434
FOXL2	RSPO1	0.1278640398264569
NR5A1	FOXL2	0.12727702754011194
NR0B1	WNT4	0.12134905529164455
SOX9	AMH	0.1157467833814284
SOX9	SRY	0.11297036870597806
SOX9	FGF9	0.11143342075417824
WNT4	UGR	0.11034495174154302
SOX9	PGD2	0.106014055115683
CTNNB1	NR5A1	0.10406834650380087
SRY	WT1pKTS	0.1032204009380597
SOX9	DHH	0.10278821945640347
NR5A1	CTNNB1	0.10218280567260687
NR0B1	AMH	0.1009262812212042
UGR	NR0B1	0.10037490349341407
DHH	NR0B1	0.09866370152888736
DKK1	SOX9	0.09715094050471144
AMH	SOX9	0.09471222795469017
WT1pKTS	NR5A1	0.09286528302789056
WT1mKTS	GATA4	0.09174342762908104
RSPO1	FOXL2	0.08993077326249932
SOX9	WNT4	0.08955387521086586
DMRT1	CBX2	0.08919540816991303
DKK1	CBX2	0.08665646407610479
SRY	FOXL2	0.08660821428464359
GATA4	WT1mKTS	0.0860875084046708
FGF9	NR0B1	0.08533948546607552
PGD2	NR0B1	0.08464485768413975
RSPO1	WT1pKTS	0.07998683223262393
NR0B1	DHH	0.07880926282621263
RSPO1	NR0B1	0.07804503572276973
WT1pKTS	RSPO1	0.0751198325425819
RSPO1	CBX2	0.07500301293011262
RSPO1	UGR	0.07423745907072131
WT1pKTS	WT1mKTS	0.07297454158892339
UGR	SRY	0.07265712141777339
FOXL2	SRY	0.07234901148731918
WT1pKTS	SRY	0.07071667790276176
NR0B1	PGD2	0.07047082300764856
WNT4	CTNNB1	0.0686250894416284
DMRT1	SOX9	0.06795453240886391
CTNNB1	SRY	0.06556726078052462
CBX2	NR5A1	0.06490634113142248
CTNNB1	UGR	0.06456151069853185
NR0B1	NR5A1	0.06447564993725
SOX9	NR5A1	0.062413224984306966
CTNNB1	CBX2	0.06208601331690335
CBX2	WT1mKTS	0.06195235445666586
FGF9	DKK1	0.061915009930466586
NR0B1	WT1mKTS	0.061393200823673284
NR0B1	FGF9	0.06052494694338085
UGR	GATA4	0.05989494810997489
CBX2	GATA4	0.05916577082325604
NR5A1	GATA4	0.058462976871019916
NR5A1	WT1mKTS	0.05837229570664215
FGF9	DMRT1	0.05815451475561504
DKK1	WNT4	0.058138863144795425
SRY	CTNNB1	0.05791817187638285
UGR	WT1mKTS	0.057429782213847376
WT1pKTS	GATA4	0.05725309411331564
PGD2	GATA4	0.05651102936087915
NR0B1	GATA4	0.055610710991568855
DKK1	CTNNB1	0.0550298971682228
WNT4	GATA4	0.05480370978610715
DHH	DKK1	0.0542215673038042
WNT4	WT1mKTS	0.05387140638135927
FGF9	GATA4	0.05366618485373295
SRY	NR0B1	0.0536490139567704
DKK1	UGR	0.05291003941325095
SOX9	GATA4	0.052489348260424194
AMH	GATA4	0.05239647638611522
WNT4	SOX9	0.05226045502047857
DMRT1	GATA4	0.05214282928076853
DKK1	GATA4	0.05142308839501118
FOXL2	WT1mKTS	0.05119531535219856
RSPO1	WT1mKTS	0.050902805921427915
PGD2	DKK1	0.05067450314068059
CTNNB1	GATA4	0.05027704322862089
CTNNB1	WT1mKTS	0.05024929901786067
FOXL2	GATA4	0.05019051204452757
SRY	WT1mKTS	0.050125029120576495
DHH	WT1mKTS	0.05009950910945248
DMRT1	WT1mKTS	0.05008170953414778
DKK1	WT1mKTS	0.04992521449469566
AMH	WT1mKTS	0.04984303756860234
SOX9	WT1mKTS	0.04901393053677406
DMRT1	UGR	0.04870270655180189
DHH	GATA4	0.048614218355069336
PGD2	WT1mKTS	0.048601457983712966
WNT4	NR5A1	0.04846951113395179
SRY	GATA4	0.0478950530221578
FGF9	WT1mKTS	0.047881601784768975
RSPO1	GATA4	0.04745957848836972
FOXL2	CBX2	0.04725646083153635
PGD2	DMRT1	0.04636425515853386
DMRT1	CTNNB1	0.04571445342769262
NR0B1	RSPO1	0.045707424195584066
UGR	WNT4	0.04532935989225975
NR5A1	SOX9	0.044877304193562895
FGF9	WNT4	0.04461750590463237
SOX9	CBX2	0.04369704917835483
CBX2	DMRT1	0.043444688722930745
DHH	DMRT1	0.042355923701946574
CBX2	NR0B1	0.04203571532759326
DMRT1	WNT4	0.04194450660251202
CBX2	DKK1	0.04014168241820601
DKK1	FGF9	0.039228823484874414
NR5A1	NR0B1	0.03664339681819168
DKK1	WT1pKTS	0.03653458146841893
DMRT1	AMH	0.03651355762219611
WNT4	FOXL2	0.03647990233403537
