TF	target	importance
UGR	CBX2	174.11240839516682
CTNNB1	RSPO1	151.86030866904525
WT1pKTS	FOXL2	146.4154934827985
DKK1	DMRT1	142.6093034403998
CBX2	UGR	130.88040668594843
FOXL2	CTNNB1	129.70507665499454
DMRT1	DKK1	126.76546397960772
AMH	DHH	113.76020396273148
PGD2	AMH	113.66499004134994
PGD2	FGF9	109.36000350878425
DHH	AMH	109.20402741319316
FGF9	DHH	106.42641273850494
WNT4	RSPO1	105.62055426744386
RSPO1	NR5A1	105.60328112196409
FGF9	AMH	104.37887979242417
SRY	DMRT1	100.41379985071656
FOXL2	WT1pKTS	99.19785137625377
RSPO1	WNT4	99.13005591420355
NR5A1	WT1pKTS	98.17118425765253
SRY	UGR	96.0993287036852
CTNNB1	NR5A1	95.92972080450895
WT1pKTS	CTNNB1	91.67944718037536
AMH	SOX9	90.89707441884167
AMH	NR0B1	89.10313544943583
DMRT1	SRY	87.80744261970086
NR5A1	RSPO1	86.80994024257687
NR0B1	UGR	86.72931069189352
SOX9	AMH	86.70408146801522
CTNNB1	FOXL2	85.24464302011566
CTNNB1	WT1pKTS	84.16494352124053
DHH	FGF9	83.81580786433832
CTNNB1	WNT4	83.50978741089301
SRY	WT1pKTS	81.46291827835515
WT1pKTS	RSPO1	81.44414211939433
DKK1	SRY	80.82852997849938
WNT4	NR5A1	79.34684245160103
PGD2	NR0B1	78.33093630442637
DKK1	CBX2	77.69474253766904
DHH	PGD2	77.2713911435478
NR0B1	AMH	76.61930352142234
SRY	DKK1	74.77315452413806
WNT4	NR0B1	74.76959460698124
FGF9	PGD2	74.60874748564774
SOX9	DKK1	74.43029412657958
DHH	NR0B1	73.01912642319895
AMH	FGF9	72.4567902870658
DMRT1	CBX2	72.25646893844682
RSPO1	WT1pKTS	71.57340766935273
NR0B1	DHH	70.7797888131903
DMRT1	SOX9	70.47634557734828
RSPO1	CTNNB1	69.91142806826976
NR0B1	NR5A1	69.80207818377998
CBX2	NR5A1	68.99525114573152
SOX9	DMRT1	68.63210926667689
SOX9	PGD2	67.43138830467048
WT1pKTS	NR5A1	66.21367895390432
FGF9	NR0B1	65.15257011639429
SRY	FOXL2	64.38089692106412
NR0B1	PGD2	63.53955569804204
CTNNB1	DKK1	63.46539850702186
CBX2	DMRT1	62.72310642417744
NR5A1	CBX2	61.5256402039349
RSPO1	FOXL2	60.889301218795204
NR5A1	FOXL2	59.94781481991676
DKK1	SOX9	59.67031358221675
RSPO1	CBX2	58.95397227075224
DKK1	WNT4	58.94662211938742
SOX9	CBX2	58.61796070221423
FGF9	SOX9	58.578349744453504
RSPO1	NR0B1	56.92240689116316
GATA4	WT1mKTS	56.257701732937555
NR0B1	WNT4	56.02479842057255
WNT4	CTNNB1	55.78618630728153
SOX9	FGF9	55.72129082041004
UGR	NR0B1	55.1101731522584
DMRT1	WNT4	54.82806705890688
WNT4	SOX9	54.513010684272054
DKK1	UGR	52.607132031877725
PGD2	DHH	52.55560072859302
FGF9	DKK1	51.96905907020529
WNT4	DKK1	51.851124245018326
DHH	WNT4	51.828772429460976
NR5A1	CTNNB1	51.79721296495675
FOXL2	SRY	51.686015757874515
DHH	SOX9	51.622541439663856
SOX9	SRY	51.288502970895124
WT1mKTS	GATA4	50.368947416893725
NR0B1	RSPO1	50.17367908854413
UGR	SRY	49.55229646741094
FOXL2	NR5A1	48.973307619967656
SOX9	DHH	48.88255054238422
NR0B1	FGF9	48.265422121113126
DMRT1	AMH	48.16489913753435
CBX2	DKK1	47.16254565329425
PGD2	DKK1	45.996880068961175
NR5A1	WNT4	45.72533563325974
AMH	DKK1	45.18667120554862
NR5A1	AMH	45.09491774055587
WT1pKTS	SRY	44.79992320191397
AMH	PGD2	44.779593261672915
DMRT1	UGR	44.573195814183684
NR5A1	NR0B1	44.57182524320589
SRY	RSPO1	44.469036405666806
DMRT1	CTNNB1	44.446206791251804
CTNNB1	SRY	44.31916720461184
NR5A1	SRY	43.92189892737133
FOXL2	RSPO1	43.73020236204838
FGF9	NR5A1	43.66380401812602
WNT4	UGR	43.36892632139134
NR0B1	CTNNB1	43.27474247290896
UGR	DKK1	43.058264297921504
CTNNB1	NR0B1	42.833016607499154
AMH	DMRT1	42.26011721058939
FOXL2	WNT4	42.15479351192295
FGF9	CBX2	41.736003951907485
CTNNB1	CBX2	41.030722468631815
SOX9	NR5A1	40.68914084528148
DHH	DMRT1	40.50553462724295
AMH	NR5A1	40.15820908691552
SRY	CTNNB1	40.087444980983086
PGD2	WNT4	40.0724660595892
RSPO1	SRY	39.87991440916589
WNT4	PGD2	39.83396734560731
RSPO1	UGR	39.71832220985481
CBX2	SOX9	39.71548857504811
DHH	NR5A1	39.23134919008737
WNT4	WT1pKTS	39.008867171937865
PGD2	DMRT1	38.99360258871157
NR5A1	SOX9	38.88444539345499
SRY	WNT4	38.717629379801984
DKK1	PGD2	38.47986819941968
WNT4	DMRT1	37.88922498426884
FGF9	DMRT1	36.92146668094087
WNT4	FOXL2	36.58258109131041
SOX9	WNT4	36.514562012890806
PGD2	SOX9	36.028787102555334
DKK1	WT1pKTS	35.976176803435614
FOXL2	CBX2	35.857978674520126
SOX9	RSPO1	35.500581700826466
SOX9	UGR	35.43257845883545
NR0B1	CBX2	35.21913749291338
NR5A1	UGR	34.971737588207645
CTNNB1	DMRT1	34.78695828187613
DMRT1	DHH	34.65296778949563
DKK1	CTNNB1	34.57706872884477
NR5A1	PGD2	34.52992730533822
DMRT1	WT1pKTS	34.37913513492957
UGR	WNT4	34.255345477944324
DMRT1	PGD2	34.20964559912205
AMH	UGR	34.17804408668656
SRY	DHH	33.88383653230146
SRY	AMH	33.5339999193467
SRY	NR5A1	33.49419722158684
CTNNB1	UGR	33.205620664482616
FGF9	SRY	32.6944769553173
FGF9	WNT4	32.54533568464318
DKK1	FOXL2	32.10052400302998
SRY	SOX9	32.0118637393386
WNT4	AMH	31.9711299531017
WT1pKTS	DMRT1	31.66123110708293
RSPO1	AMH	30.79358720196196
DMRT1	FGF9	30.606140402993816
SRY	CBX2	30.39342400568907
PGD2	NR5A1	29.701128739661097
WT1pKTS	UGR	29.360618187608342
UGR	RSPO1	28.88058602501262
AMH	SRY	28.514877109400498
AMH	WNT4	28.469066434405537
NR0B1	SOX9	27.940721706785617
WT1pKTS	DKK1	27.890742348106322
DKK1	DHH	27.540115183972294
RSPO1	DMRT1	27.46395965154483
CBX2	NR0B1	27.462694009426315
NR5A1	DHH	27.346056111163275
SRY	PGD2	27.314123094076308
DKK1	RSPO1	27.147932764003407
SRY	NR0B1	27.126258359999294
WT1pKTS	CBX2	26.854583770209285
CBX2	RSPO1	26.395116001623627
CBX2	WT1pKTS	26.26907384070789
WT1pKTS	WNT4	26.25217919261984
PGD2	CBX2	25.88982933037944
DMRT1	FOXL2	25.671148942830396
RSPO1	SOX9	25.664111294113784
