Gene1,Gene2,EdgeWeight
AMH,CBX2,0.4649171233177185
AMH,CTNNB1,0.3796500861644745
AMH,DHH,0.9526703357696533
AMH,DKK1,0.4313075542449951
AMH,DMRT1,0.48351746797561646
AMH,FGF9,0.9743093848228455
AMH,FOXL2,0.38038673996925354
AMH,GATA4,0.40616941452026367
AMH,NR0B1,0.6256905794143677
AMH,NR5A1,0.38499078154563904
AMH,PGD2,0.9479740858078003
AMH,RSPO1,0.3744015097618103
AMH,SOX9,0.4389502704143524
AMH,SRY,0.4070902466773987
AMH,UGR,0.4857274293899536
AMH,WNT4,0.3713628053665161
AMH,WT1mKTS,0.40736648440361023
AMH,WT1pKTS,0.4106813967227936
CBX2,AMH,0.47209736704826355
CBX2,CTNNB1,0.9058052897453308
CBX2,DHH,0.506367027759552
CBX2,DKK1,0.9829588532447815
CBX2,DMRT1,0.9948501586914062
CBX2,FGF9,0.5548688769340515
CBX2,FOXL2,0.558801531791687
CBX2,GATA4,0.5579588413238525
CBX2,NR0B1,0.4981273412704468
CBX2,NR5A1,0.962734043598175
CBX2,PGD2,0.48689138889312744
CBX2,RSPO1,0.4721910357475281
CBX2,SOX9,0.907490611076355
CBX2,SRY,0.5885767340660095
CBX2,UGR,0.984175980091095
CBX2,WNT4,0.5650749206542969
CBX2,WT1mKTS,0.534925103187561
CBX2,WT1pKTS,0.8802434802055359
CTNNB1,AMH,0.4270506203174591
CTNNB1,CBX2,0.6557591557502747
CTNNB1,DHH,0.4337696135044098
CTNNB1,DKK1,0.7190226912498474
CTNNB1,DMRT1,0.8571553826332092
CTNNB1,FGF9,0.4273124039173126
CTNNB1,FOXL2,0.9531412720680237
CTNNB1,GATA4,0.45732980966567993
CTNNB1,NR0B1,0.47111690044403076
CTNNB1,NR5A1,0.6154450178146362
CTNNB1,PGD2,0.4293194115161896
CTNNB1,RSPO1,0.9892669916152954
CTNNB1,SOX9,0.4286212921142578
CTNNB1,SRY,0.5090750455856323
CTNNB1,UGR,0.5833333134651184
CTNNB1,WNT4,0.4731239676475525
CTNNB1,WT1mKTS,0.45410117506980896
CTNNB1,WT1pKTS,0.6688481569290161
DHH,AMH,0.914349377155304
DHH,CBX2,0.4540998339653015
DHH,CTNNB1,0.4232620596885681
DHH,DKK1,0.4744206666946411
DHH,DMRT1,0.4545454680919647
DHH,FGF9,0.9950980544090271
DHH,FOXL2,0.43012478947639465
DHH,GATA4,0.4625668525695801
DHH,NR0B1,0.564349353313446
DHH,NR5A1,0.46016040444374084
DHH,PGD2,1.0
DHH,RSPO1,0.42504459619522095
DHH,SOX9,0.7552585005760193
DHH,SRY,0.4967023730278015
DHH,UGR,0.4386809170246124
DHH,WNT4,0.4160427749156952
DHH,WT1mKTS,0.45998215675354004
DHH,WT1pKTS,0.44607841968536377
DKK1,AMH,0.39784562587738037
DKK1,CBX2,0.5261220932006836
DKK1,CTNNB1,0.45745059847831726
DKK1,DHH,0.36732497811317444
DKK1,DMRT1,0.9999102354049683
DKK1,FGF9,0.4039497375488281
DKK1,FOXL2,0.3751346170902252
DKK1,GATA4,0.4280969202518463
DKK1,NR0B1,0.39084383845329285
DKK1,NR5A1,0.41310590505599976
DKK1,PGD2,0.37324953079223633
DKK1,RSPO1,0.37666067481040955
DKK1,SOX9,0.7883303761482239
DKK1,SRY,0.7571812272071838
DKK1,UGR,0.3985637426376343
DKK1,WNT4,0.5696588754653931
DKK1,WT1mKTS,0.42010772228240967
