TF	target	importance
Cebpa	Gfi1	0.5167248233284066
Gfi1	Cebpa	0.5093650493435967
Scl	Fog1	0.4033913772951484
cJun	EgrNab	0.3826000298325519
Fog1	Scl	0.3812763259695943
EgrNab	cJun	0.37616452814949386
Pu1	Gata1	0.365849388030697
Gata1	Pu1	0.3244006457605908
Fli1	Eklf	0.2844497628953602
Eklf	Fli1	0.253304973806651
Gata1	Scl	0.21789887735302915
Fog1	Gata1	0.21493832068052965
Fog1	Fli1	0.21071673847875566
Scl	Gata1	0.1997417323114357
Scl	Fli1	0.19450594103027394
Gata1	Fog1	0.1909604902462646
Fog1	Pu1	0.18842801157098202
Pu1	Fog1	0.18691179320314827
Fog1	Eklf	0.186753661526598
Gfi1	EgrNab	0.18579767565410293
Pu1	Scl	0.17899833971867676
Scl	Pu1	0.17418499218801162
Scl	Eklf	0.17017840066800072
Gata1	Gata2	0.1687388358711676
Pu1	Gata2	0.16483267649139804
Cebpa	cJun	0.1509126055129429
Cebpa	EgrNab	0.14606454225426152
Gfi1	cJun	0.14301242550277576
Fog1	Gata2	0.14116413199667918
cJun	Cebpa	0.13038844969587052
cJun	Gfi1	0.12697713436802655
EgrNab	Gfi1	0.12306481390643846
Eklf	Gata2	0.11919157826239218
Fli1	Gata2	0.11120080162946319
Pu1	cJun	0.10862701420413716
EgrNab	Cebpa	0.10411164491890382
Gata1	Eklf	0.10149696993151558
Pu1	EgrNab	0.09872573346955071
Scl	Gata2	0.09782186636141929
Gata1	Fli1	0.09702905154531419
Pu1	Eklf	0.08973058166709316
Gata1	cJun	0.08632075760517322
Gata2	Pu1	0.084345663912788
Pu1	Gfi1	0.08418954683906338
Pu1	Cebpa	0.08379652990872122
Pu1	Fli1	0.08104373871891658
Fli1	Scl	0.08074583880377459
Gata2	Eklf	0.07775416460185676
Fli1	Gata1	0.07598875467208023
Fli1	Pu1	0.07397495631005387
Fli1	Fog1	0.07228714231689076
Eklf	Fog1	0.07114314936215992
Eklf	Scl	0.07109911257903204
Cebpa	Gata2	0.06741328405288188
Gata2	Fli1	0.06596968172991766
Gata1	EgrNab	0.0599776628702624
Eklf	Pu1	0.05900394276785127
Eklf	Gata1	0.057773294286690466
Gfi1	Gata2	0.05177204183837628
Gata1	Cebpa	0.04788010222837015
cJun	Gata2	0.04557621478843877
Gata1	Gfi1	0.04323281807050317
Scl	Cebpa	0.03999505976121557
Fog1	Cebpa	0.03940741923374892
Scl	cJun	0.0378868472651821
Fog1	EgrNab	0.037348296047824775
Fog1	cJun	0.0372035326813913
Gata2	Gata1	0.035716395096727846
Scl	EgrNab	0.035264155247420874
EgrNab	Gata2	0.03228856870778351
cJun	Fli1	0.0317347398695112
Fog1	Gfi1	0.031537401838314494
Scl	Gfi1	0.030775403991451417
cJun	Pu1	0.030185287165958388
Cebpa	Fli1	0.02770256095018214
cJun	Eklf	0.026462984621244946
Cebpa	Eklf	0.02600547410485414
Gfi1	Pu1	0.024661062517229042
cJun	Fog1	0.02422351750349687
Cebpa	Pu1	0.022686275980052812
Gata2	cJun	0.022428045869610704
Gfi1	Fli1	0.022255274487113934
cJun	Gata1	0.02203056732311189
Gfi1	Eklf	0.021774443272233233
Fli1	cJun	0.02104571352588144
cJun	Scl	0.019971201736263114
Cebpa	Fog1	0.019026812634805344
Gata2	Cebpa	0.018862512496720867
Fli1	EgrNab	0.018778869028829307
Eklf	EgrNab	0.01818877172577785
EgrNab	Pu1	0.01812916182648225
Cebpa	Scl	0.018086901259434858
Gata2	Gfi1	0.017803766374489008
Gata2	EgrNab	0.017254263869417634
Gata2	Fog1	0.01721519246263799
Eklf	cJun	0.016398529683411472
Gata2	Scl	0.01604813512275691
EgrNab	Fli1	0.015737299383363792
EgrNab	Eklf	0.015393556711243251
Fli1	Cebpa	0.014215987367793266
Fli1	Gfi1	0.013654028230935396
Eklf	Gfi1	0.012040263052371415
Eklf	Cebpa	0.011977245045059018
Cebpa	Gata1	0.011194790007588192
Gfi1	Gata1	0.009607409428947807
Gfi1	Fog1	0.00909042486495866
Gfi1	Scl	0.008474146436467071
EgrNab	Scl	0.007401121020971138
EgrNab	Gata1	0.007159348162191111
EgrNab	Fog1	0.0057501001104892785
