Gene1	Gene2	EdgeWeight
Gfi1	Cebpa	226.5886097638405
Cebpa	Gfi1	206.63769364184444
EgrNab	cJun	184.19660486559985
Fli1	Eklf	183.99558755877845
Fog1	Eklf	161.6287681760781
Scl	Fog1	141.71499491503562
Gfi1	cJun	129.65311676154215
Cebpa	EgrNab	129.52657932400643
Eklf	Fli1	124.76622170449396
Gata1	Gata2	123.316302211008
Fog1	Scl	120.47433816463536
Scl	Eklf	118.54686637363936
Fog1	Fli1	114.06615953972648
cJun	EgrNab	113.66249506684532
Gata1	Fog1	110.85302774848091
Gfi1	EgrNab	110.79339936821205
EgrNab	Gfi1	108.15512970549814
EgrNab	Cebpa	107.71492807240831
cJun	Cebpa	106.10283392910094
Cebpa	cJun	105.93141969940348
cJun	Gfi1	103.60143173474155
Gata1	Eklf	102.45753318793028
Gata1	Pu1	100.31271453562464
Pu1	Eklf	99.1724055282291
Pu1	Gata2	99.1051158527497
Fog1	Gata2	98.66786759493229
Pu1	Fli1	94.78267275101679
Scl	Fli1	94.72423173127085
Gata1	Scl	93.28141016568364
Fog1	Gata1	91.16442030665941
Scl	Pu1	87.58020019582926
Fli1	Fog1	87.46794063352242
Pu1	Scl	87.28926822675993
Pu1	Gata1	86.14068615725559
Fli1	Gata2	84.88180308610447
Scl	Gata1	83.92774772898959
Gata1	Fli1	78.37060207459034
Eklf	Gata2	76.23375368290871
Pu1	Fog1	76.0942274093694
Fog1	Pu1	69.55249924772076
Fli1	Scl	66.12418126638512
Eklf	Fog1	64.84961370595346
Scl	Gata2	63.74581499524293
cJun	Fog1	62.40380318077747
Gata2	Eklf	60.39312885737496
Eklf	Scl	56.850180784702694
Cebpa	Gata2	48.60916765382265
Eklf	Pu1	48.42438547146988
Eklf	Gata1	47.563268880467994
Gata1	Cebpa	45.10559846141447
Fli1	Pu1	44.957237583995116
Gata2	Pu1	42.920677991661
cJun	Eklf	42.42232820273376
Scl	cJun	40.994540617986864
Pu1	cJun	40.338387790213645
Fli1	Gata1	40.04197375449174
cJun	Fli1	38.56179470097155
Scl	Cebpa	37.37967118393794
Fog1	cJun	36.89633341495872
Cebpa	Pu1	35.708780261027634
cJun	Scl	35.29589104011467
Pu1	EgrNab	33.11121419169712
Scl	Gfi1	32.68331109725333
Cebpa	Eklf	31.96103163024118
Gfi1	Gata2	31.883460870214524
Pu1	Gfi1	31.748808929451044
Gata2	Fli1	31.11727476709646
Gata1	EgrNab	31.037494511050628
Gfi1	Fli1	30.6342670344749
Cebpa	Gata1	29.654516432846037
cJun	Gata2	29.439931276331983
Cebpa	Fog1	29.41496836304717
EgrNab	Gata1	29.39004084509911
EgrNab	Eklf	28.74429971403973
Gfi1	Eklf	28.67805077095512
Gfi1	Scl	28.4927224561749
Gata1	cJun	28.35818751410418
Cebpa	Scl	28.29936680769073
Fog1	EgrNab	27.44412224251401
Gfi1	Pu1	27.407484366758844
Gfi1	Gata1	27.2783855124338
cJun	Gata1	26.31508743751007
Pu1	Cebpa	26.252551415800934
Gata1	Gfi1	25.71881055337111
Gata2	Gata1	25.52387294424662
EgrNab	Scl	25.251969119339453
EgrNab	Gata2	25.11678277668467
Fog1	Cebpa	24.977067381018877
EgrNab	Pu1	24.035056536298914
EgrNab	Fog1	23.827550436899728
EgrNab	Fli1	22.8213086486843
Cebpa	Fli1	22.1554670476744
cJun	Pu1	22.10096380961391
Gfi1	Fog1	17.256130698275403
Eklf	Cebpa	16.401807049941322
Eklf	Gfi1	16.328528511498273
Scl	EgrNab	15.990772209853187
Fli1	cJun	15.297331636878159
Fli1	Gfi1	13.698794155517795
Eklf	cJun	13.68074667286599
Fog1	Gfi1	13.466531431630974
Gata2	cJun	12.653331026446965
Eklf	EgrNab	11.847864779863654
Gata2	EgrNab	11.786715768654439
Fli1	Cebpa	11.453252946731498
Fli1	EgrNab	10.799342537303138
Gata2	Fog1	10.117742908638373
Gata2	Gfi1	9.960960239193422
Gata2	Scl	7.640671968513504
Gata2	Cebpa	6.023679795805178
