TF	target	importance
Gfi1	Cebpa	226.58860976384054
Cebpa	Gfi1	206.63769364184444
EgrNab	cJun	184.19660486559982
Fli1	Eklf	183.99558755877848
Fog1	Eklf	161.6287681760781
Scl	Fog1	141.71499491503565
Gfi1	cJun	129.65311676154215
Cebpa	EgrNab	129.52657932400643
Eklf	Fli1	124.76622170449396
Gata1	Gata2	123.31630221100801
Fog1	Scl	120.47433816463534
Scl	Eklf	118.54686637363935
Fog1	Fli1	114.06615953972647
cJun	EgrNab	113.66249506684532
Gata1	Fog1	110.8530277484809
Gfi1	EgrNab	110.79339936821205
EgrNab	Gfi1	108.15512970549814
EgrNab	Cebpa	107.71492807240833
cJun	Cebpa	106.10283392910094
Cebpa	cJun	105.93141969940348
cJun	Gfi1	103.60143173474157
Gata1	Eklf	102.45753318793028
Gata1	Pu1	100.31271453562465
Pu1	Eklf	99.1724055282291
Pu1	Gata2	99.10511585274972
Fog1	Gata2	98.6678675949323
Pu1	Fli1	94.78267275101678
Scl	Fli1	94.72423173127085
Gata1	Scl	93.28141016568362
Fog1	Gata1	91.16442030665942
Scl	Pu1	87.58020019582926
Fli1	Fog1	87.4679406335224
Pu1	Scl	87.28926822675993
Pu1	Gata1	86.14068615725559
Fli1	Gata2	84.88180308610447
Scl	Gata1	83.92774772898959
Gata1	Fli1	78.37060207459035
Eklf	Gata2	76.23375368290871
Pu1	Fog1	76.09422740936941
Fog1	Pu1	69.55249924772076
Fli1	Scl	66.12418126638512
Eklf	Fog1	64.84961370595347
Scl	Gata2	63.74581499524293
cJun	Fog1	62.40380318077747
Gata2	Eklf	60.393128857374954
Eklf	Scl	56.850180784702694
Cebpa	Gata2	48.609167653822645
Eklf	Pu1	48.42438547146988
Eklf	Gata1	47.56326888046799
Gata1	Cebpa	45.10559846141447
Fli1	Pu1	44.95723758399512
Gata2	Pu1	42.920677991661
cJun	Eklf	42.42232820273376
Scl	cJun	40.99454061798687
Pu1	cJun	40.338387790213645
Fli1	Gata1	40.04197375449174
cJun	Fli1	38.561794700971554
Scl	Cebpa	37.37967118393794
Fog1	cJun	36.89633341495872
Cebpa	Pu1	35.708780261027634
cJun	Scl	35.295891040114675
Pu1	EgrNab	33.11121419169712
Scl	Gfi1	32.68331109725333
Cebpa	Eklf	31.96103163024118
Gfi1	Gata2	31.883460870214524
Pu1	Gfi1	31.748808929451044
Gata2	Fli1	31.11727476709646
Gata1	EgrNab	31.03749451105063
Gfi1	Fli1	30.6342670344749
Cebpa	Gata1	29.654516432846034
cJun	Gata2	29.43993127633198
Cebpa	Fog1	29.414968363047173
EgrNab	Gata1	29.390040845099108
EgrNab	Eklf	28.744299714039727
Gfi1	Eklf	28.678050770955117
Gfi1	Scl	28.4927224561749
Gata1	cJun	28.35818751410418
Cebpa	Scl	28.299366807690728
Fog1	EgrNab	27.444122242514013
Gfi1	Pu1	27.407484366758844
Gfi1	Gata1	27.2783855124338
cJun	Gata1	26.31508743751007
Pu1	Cebpa	26.252551415800937
Gata1	Gfi1	25.71881055337111
Gata2	Gata1	25.52387294424662
EgrNab	Scl	25.251969119339456
EgrNab	Gata2	25.11678277668467
Fog1	Cebpa	24.977067381018873
EgrNab	Pu1	24.035056536298914
EgrNab	Fog1	23.827550436899724
EgrNab	Fli1	22.8213086486843
Cebpa	Fli1	22.1554670476744
cJun	Pu1	22.10096380961391
Gfi1	Fog1	17.256130698275406
Eklf	Cebpa	16.401807049941322
Eklf	Gfi1	16.328528511498273
Scl	EgrNab	15.990772209853183
Fli1	cJun	15.29733163687816
Fli1	Gfi1	13.698794155517794
Eklf	cJun	13.680746672865988
Fog1	Gfi1	13.466531431630974
Gata2	cJun	12.653331026446963
Eklf	EgrNab	11.847864779863656
Gata2	EgrNab	11.78671576865444
Fli1	Cebpa	11.453252946731498
Fli1	EgrNab	10.799342537303138
Gata2	Fog1	10.117742908638371
Gata2	Gfi1	9.960960239193422
Gata2	Scl	7.640671968513504
Gata2	Cebpa	6.023679795805178
