Gene1,Gene2,EdgeWeight
Cebpa,EgrNab,0.4338078200817108
Cebpa,Eklf,0.39572951197624207
Cebpa,Fli1,0.3975088894367218
Cebpa,Fog1,0.47001785039901733
Cebpa,Gata1,0.5128113627433777
Cebpa,Gata2,0.40578293800354004
Cebpa,Gfi1,0.9917259216308594
Cebpa,Pu1,0.46485763788223267
Cebpa,Scl,0.43505337834358215
Cebpa,cJun,0.520907461643219
EgrNab,Cebpa,0.6077133417129517
EgrNab,Eklf,0.47704175114631653
EgrNab,Fli1,0.47686025500297546
EgrNab,Fog1,0.48539015650749207
EgrNab,Gata1,0.5246824026107788
EgrNab,Gata2,0.5118874311447144
EgrNab,Gfi1,0.8308530449867249
EgrNab,Pu1,0.7314881682395935
EgrNab,Scl,0.48112523555755615
EgrNab,cJun,1.0
Eklf,Cebpa,0.5150901079177856
Eklf,EgrNab,0.5069819688796997
Eklf,Fli1,0.8548423051834106
Eklf,Fog1,0.986261248588562
Eklf,Gata1,0.8118242621421814
Eklf,Gata2,0.7532657980918884
Eklf,Gfi1,0.5084459185600281
Eklf,Pu1,0.5590090155601501
Eklf,Scl,0.9208333492279053
Eklf,cJun,0.5237612724304199
Fli1,Cebpa,0.5323647260665894
Fli1,EgrNab,0.5223446488380432
Fli1,Eklf,0.8277555108070374
Fli1,Fog1,0.936873733997345
Fli1,Gata1,0.8600200414657593
Fli1,Gata2,0.7120240926742554
Fli1,Gfi1,0.5337674617767334
Fli1,Pu1,0.563827633857727
Fli1,Scl,0.9571142196655273
Fli1,cJun,0.527655303478241
Fog1,Cebpa,0.42897728085517883
Fog1,EgrNab,0.41477271914482117
Fog1,Eklf,0.4949810206890106
Fog1,Fli1,0.4901515543460846
Fog1,Gata1,0.8718750476837158
Fog1,Gata2,0.48039770126342773
Fog1,Gfi1,0.4123106002807617
Fog1,Pu1,0.5611742734909058
Fog1,Scl,0.9889205098152161
Fog1,cJun,0.42907196283340454
Gata1,Cebpa,0.38211381435394287
Gata1,EgrNab,0.3741869628429413
Gata1,Eklf,0.417073130607605
Gata1,Fli1,0.4132113754749298
Gata1,Fog1,0.9189023971557617
Gata1,Gata2,0.5077235698699951
Gata1,Gfi1,0.37804877758026123
Gata1,Pu1,0.9986788630485535
Gata1,Scl,0.9107723832130432
Gata1,cJun,0.40264227986335754
Gata2,Cebpa,0.6148525476455688
Gata2,EgrNab,0.6124716401100159
Gata2,Eklf,0.7834466695785522
Gata2,Fli1,0.7532880306243896
Gata2,Fog1,0.847845733165741
Gata2,Gata1,0.8304988741874695
Gata2,Gfi1,0.6100906729698181
Gata2,Pu1,0.9951246380805969
Gata2,Scl,0.7807255983352661
Gata2,cJun,0.6655328869819641
Gfi1,Cebpa,0.9882075190544128
Gfi1,EgrNab,0.444245308637619
Gfi1,Eklf,0.35886791348457336
Gfi1,Fli1,0.35424527525901794
Gfi1,Fog1,0.36264151334762573
Gfi1,Gata1,0.37198111414909363
Gfi1,Gata2,0.3789622187614441
Gfi1,Pu1,0.4871698319911957
Gfi1,Scl,0.3522641360759735
Gfi1,cJun,0.49301889538764954
Pu1,Cebpa,0.4574446678161621
Pu1,EgrNab,0.6488932967185974
Pu1,Eklf,0.38722333312034607
Pu1,Fli1,0.38430583477020264
Pu1,Fog1,0.4462776780128479
Pu1,Gata1,0.9965795278549194
Pu1,Gata2,0.5601609349250793
Pu1,Gfi1,0.6393359303474426
Pu1,Scl,0.4534205496311188
Pu1,cJun,0.445774644613266
Scl,Cebpa,0.3730848431587219
Scl,EgrNab,0.3660455346107483
Scl,Eklf,0.43778467178344727
Scl,Fli1,0.45962733030319214
Scl,Fog1,0.9968944191932678
Scl,Gata1,0.9386127591133118
Scl,Gata2,0.42163559794425964
Scl,Gfi1,0.37318840622901917
Scl,Pu1,0.44565218687057495
Scl,cJun,0.37722569704055786
cJun,Cebpa,0.7797619104385376
cJun,EgrNab,0.9952381253242493
cJun,Eklf,0.41895607113838196
cJun,Fli1,0.4185897409915924
cJun,Fog1,0.6373626589775085
cJun,Gata1,0.7985348105430603
cJun,Gata2,0.4714285731315613
cJun,Gfi1,0.7869963645935059
cJun,Pu1,0.6003663539886475
cJun,Scl,0.5283883213996887
