TF	target	importance
Pax6	Nkx22	0.5482570285480582
Nkx22	Pax6	0.49320781427817983
Irx3	Olig2	0.4175923406059958
Olig2	Irx3	0.4161639553488403
Nkx61	Dbx2	0.40769021784048376
Dbx2	Nkx61	0.3764817068631484
Dbx2	Nkx62	0.3258760764139459
Dbx2	Dbx1	0.3197261560333183
Dbx1	Nkx62	0.2402648198244439
Nkx62	Dbx1	0.23155843113331112
Pax6	Olig2	0.22948695940124803
Nkx61	Nkx62	0.22251539668364675
Nkx61	Dbx1	0.21719711851135665
Olig2	Pax6	0.21022860734145804
Pax6	Irx3	0.20355849114538638
Nkx62	Dbx2	0.20013887909505013
Dbx1	Dbx2	0.18685147997479992
Nkx22	Olig2	0.1860753630200698
Irx3	Pax6	0.18288835363620676
Nkx62	Nkx61	0.17726928656161042
Irx3	Nkx22	0.16795268352933973
Nkx22	Irx3	0.16759744553689335
Dbx1	Nkx61	0.16482599913403131
Olig2	Nkx22	0.16374516946899642
Irx3	Dbx2	0.10265393534534395
Dbx2	Irx3	0.09761437459138424
Irx3	Nkx61	0.08885325030025243
Irx3	Dbx1	0.07895210832743102
Nkx22	Nkx61	0.0705098938306
Irx3	Nkx62	0.06951917840368016
Olig2	Nkx61	0.06729257059514823
Dbx2	Olig2	0.0597522690535894
Pax6	Nkx61	0.05476729271520918
Olig2	Dbx1	0.05287775143774168
Pax6	Dbx1	0.04996596739421158
Nkx22	Dbx1	0.04972246716262966
Nkx61	Irx3	0.04897038104270092
Olig2	Nkx62	0.04815024951147564
Nkx22	Nkx62	0.04795274787295489
Pax6	Nkx62	0.045721531289852804
Olig2	Dbx2	0.04081896719421271
Nkx61	Olig2	0.03980967783646753
Dbx2	Pax6	0.03949170713663669
Dbx2	Nkx22	0.039365142938519115
Dbx1	Olig2	0.03391501378382809
Nkx22	Dbx2	0.03357361168845959
Nkx62	Olig2	0.03336837629880146
Nkx62	Irx3	0.0331516629771257
Dbx1	Irx3	0.03294368935766913
Pax6	Dbx2	0.028272908861649876
Nkx61	Nkx22	0.028003956090838795
Dbx1	Nkx22	0.026876171689567865
Nkx62	Nkx22	0.025799847734679804
Nkx61	Pax6	0.025251133986331362
Dbx1	Pax6	0.025017519600054744
Nkx62	Pax6	0.023914864021132482
