Gene1	Gene2	EdgeWeight
Olig2	Irx3	429.9221416515878
Irx3	Olig2	407.7839074463324
Pax6	Nkx22	337.96813306366334
Nkx22	Pax6	304.3451970977912
Pax6	Olig2	261.63706698370817
Dbx2	Nkx62	247.91499106161712
Nkx22	Olig2	223.53608801902416
Nkx61	Dbx2	216.47103589141255
Pax6	Irx3	213.55462954492643
Nkx22	Irx3	180.11355917512697
Dbx2	Dbx1	167.926759606774
Dbx2	Nkx61	167.61271768639682
Olig2	Pax6	157.56356863258938
Nkx61	Nkx62	155.62172447663053
Dbx1	Nkx62	147.1302317050647
Nkx62	Dbx2	143.1361229509031
Nkx61	Dbx1	133.2974260479245
Nkx62	Dbx1	126.32629997560501
Irx3	Pax6	117.24814083495748
Dbx1	Dbx2	112.72803091455269
Irx3	Nkx22	111.72749355838152
Olig2	Nkx22	110.3133934724668
Dbx2	Irx3	106.9377690581711
Nkx62	Nkx61	90.23289424576478
Dbx1	Nkx61	75.73126686030129
Nkx61	Irx3	70.47557256058053
Irx3	Dbx2	47.994653613999354
Irx3	Nkx62	45.280827801102106
Irx3	Dbx1	44.71208392925149
Dbx2	Olig2	38.798119924618135
Nkx61	Olig2	36.14121941832114
Irx3	Nkx61	35.74024226055034
Olig2	Dbx2	29.257238943352622
Dbx1	Irx3	28.406420972354002
Nkx62	Irx3	27.589907037253155
Nkx22	Nkx62	24.82304968070186
Dbx1	Olig2	23.57618115136098
Pax6	Nkx62	23.028272946785222
Dbx2	Pax6	22.583108963282108
Nkx22	Dbx1	22.44304797720233
Nkx22	Dbx2	22.294069331261397
Olig2	Dbx1	21.939663082754656
Nkx62	Olig2	21.527417056634974
Pax6	Dbx2	21.118848354518267
Nkx22	Nkx61	20.441932468730585
Olig2	Nkx62	20.200902328098586
Olig2	Nkx61	19.724162379306676
Pax6	Dbx1	19.354719380488017
Dbx2	Nkx22	19.24442076077636
Nkx61	Nkx22	14.328613046993091
Pax6	Nkx61	13.51678409894944
Nkx62	Nkx22	11.611021487202832
Nkx61	Pax6	11.255051640383344
Nkx62	Pax6	10.802581784351585
Dbx1	Nkx22	9.806924610516113
Dbx1	Pax6	9.202351046644996
