TF	target	importance
Olig2	Irx3	429.9221416515878
Irx3	Olig2	407.7839074463324
Pax6	Nkx22	337.9681330636633
Nkx22	Pax6	304.34519709779113
Pax6	Olig2	261.63706698370817
Dbx2	Nkx62	247.91499106161712
Nkx22	Olig2	223.53608801902416
Nkx61	Dbx2	216.47103589141258
Pax6	Irx3	213.55462954492637
Nkx22	Irx3	180.11355917512697
Dbx2	Dbx1	167.926759606774
Dbx2	Nkx61	167.6127176863968
Olig2	Pax6	157.56356863258938
Nkx61	Nkx62	155.62172447663053
Dbx1	Nkx62	147.1302317050647
Nkx62	Dbx2	143.1361229509031
Nkx61	Dbx1	133.2974260479245
Nkx62	Dbx1	126.32629997560502
Irx3	Pax6	117.24814083495748
Dbx1	Dbx2	112.72803091455269
Irx3	Nkx22	111.72749355838152
Olig2	Nkx22	110.31339347246681
Dbx2	Irx3	106.9377690581711
Nkx62	Nkx61	90.2328942457648
Dbx1	Nkx61	75.73126686030129
Nkx61	Irx3	70.47557256058053
Irx3	Dbx2	47.994653613999354
Irx3	Nkx62	45.2808278011021
Irx3	Dbx1	44.71208392925149
Dbx2	Olig2	38.798119924618135
Nkx61	Olig2	36.14121941832114
Irx3	Nkx61	35.74024226055034
Olig2	Dbx2	29.25723894335262
Dbx1	Irx3	28.406420972354002
Nkx62	Irx3	27.589907037253155
Nkx22	Nkx62	24.82304968070186
Dbx1	Olig2	23.57618115136098
Pax6	Nkx62	23.02827294678522
Dbx2	Pax6	22.58310896328211
Nkx22	Dbx1	22.443047977202326
Nkx22	Dbx2	22.294069331261397
Olig2	Dbx1	21.939663082754656
Nkx62	Olig2	21.527417056634974
Pax6	Dbx2	21.118848354518263
Nkx22	Nkx61	20.441932468730585
Olig2	Nkx62	20.200902328098582
Olig2	Nkx61	19.724162379306673
Pax6	Dbx1	19.354719380488017
Dbx2	Nkx22	19.244420760776357
Nkx61	Nkx22	14.328613046993091
Pax6	Nkx61	13.51678409894944
Nkx62	Nkx22	11.611021487202832
Nkx61	Pax6	11.255051640383344
Nkx62	Pax6	10.802581784351583
Dbx1	Nkx22	9.806924610516111
Dbx1	Pax6	9.202351046644997
