Gene1	Gene2	EdgeWeight
Dbx2	Nkx61	0.9983567595481871
Pax6	Nkx22	0.9954361319541932
Irx3	Pax6	0.9932637810707092
Irx3	Olig2	0.9888994693756104
Nkx22	Pax6	0.9865491390228271
Nkx62	Dbx2	0.9819095134735109
Irx3	Nkx22	0.974952518939972
Nkx61	Dbx2	0.9727505445480348
Olig2	Pax6	0.9630302190780641
Olig2	Irx3	0.952020227909088
Dbx2	Irx3	0.9473004341125488
Nkx62	Nkx61	0.9340452551841736
Olig2	Nkx22	0.9270706176757812
Dbx1	Dbx2	0.925461769104004
Dbx1	Nkx61	0.8641160726547241
Nkx62	Dbx1	0.837060272693634
Dbx2	Dbx1	0.8254694938659668
Dbx2	Nkx62	0.8211267590522766
Irx3	Dbx2	0.7464894652366638
Dbx1	Nkx62	0.7156991958618164
Nkx62	Pax6	0.7028894424438477
Nkx62	Nkx22	0.6844220757484436
Pax6	Olig2	0.6803245544433594
Nkx62	Irx3	0.6791456937789917
Nkx62	Olig2	0.6709798574447632
Pax6	Irx3	0.6461459994316101
Nkx61	Dbx1	0.6377891898155212
Nkx61	Nkx62	0.636760950088501
Irx3	Nkx61	0.6362428665161133
Dbx2	Pax6	0.5859154462814331
Dbx1	Pax6	0.5624010562896729
Nkx22	Irx3	0.5610389709472656
Dbx1	Irx3	0.5597625374794006
Dbx2	Olig2	0.5576291084289551
Dbx1	Nkx22	0.5444591045379639
Nkx61	Irx3	0.5420308709144592
Dbx2	Nkx22	0.5375586748123169
Irx3	Nkx62	0.5354838967323303
Nkx61	Pax6	0.5348328948020935
Dbx1	Olig2	0.5327176451683044
Nkx61	Nkx22	0.5289202928543091
Irx3	Dbx1	0.5250474810600281
Nkx61	Olig2	0.5219793915748596
Olig2	Nkx61	0.5177777409553528
Nkx22	Olig2	0.5158627033233643
Olig2	Nkx62	0.4904040098190308
Olig2	Dbx1	0.4903030097484589
Nkx22	Nkx61	0.4835807085037232
Olig2	Dbx2	0.482828289270401
Pax6	Nkx61	0.4405679404735565
Nkx22	Dbx2	0.4403524994850159
Nkx22	Nkx62	0.4369202256202698
Nkx22	Dbx1	0.4257884919643402
Pax6	Dbx2	0.4059838056564331
Pax6	Dbx1	0.4049696028232575
Pax6	Nkx62	0.3982758820056915
