Gene1	Gene2	EdgeWeight
Pax6	Nkx22	0.5987890789661411
Nkx22	Pax6	0.5080795967905746
Nkx61	Dbx2	0.4847350775129312
Irx3	Olig2	0.4693849670044272
Olig2	Irx3	0.4633114168254618
Dbx2	Nkx61	0.3689211186931381
Dbx2	Nkx62	0.2988200757397066
Dbx2	Dbx1	0.2911657308322799
Nkx62	Dbx1	0.2571278037226916
Nkx61	Nkx62	0.24236759493903384
Dbx1	Nkx62	0.2398644979053494
Nkx61	Dbx1	0.23720759504042804
Pax6	Olig2	0.22577403303401955
Pax6	Irx3	0.2034968430235433
Olig2	Pax6	0.19414190636403586
Irx3	Pax6	0.1879226104720804
Dbx1	Nkx61	0.18555429526033754
Nkx62	Nkx61	0.1851891988867852
Nkx62	Dbx2	0.18411622404331152
Dbx1	Dbx2	0.1807171915340793
Nkx22	Olig2	0.17540492639588826
Nkx22	Irx3	0.16885299419109606
Olig2	Nkx22	0.1614476267405424
Irx3	Nkx22	0.1530386375700654
Irx3	Nkx61	0.0814340551508093
Irx3	Dbx2	0.07692628891772799
Irx3	Nkx62	0.06767919907498372
Nkx22	Nkx61	0.06685980550335922
Irx3	Dbx1	0.06661787472000961
Dbx2	Irx3	0.06556697979349307
Olig2	Nkx61	0.058800072022073976
Olig2	Dbx1	0.05432510341880265
Pax6	Nkx61	0.0532414544834967
Olig2	Nkx62	0.05293892881903888
Pax6	Nkx62	0.049703610274145035
Nkx22	Nkx62	0.04862609324774268
Nkx22	Dbx1	0.04849826587880781
Nkx61	Irx3	0.045142095706402346
Pax6	Dbx1	0.04505762638698036
Dbx2	Olig2	0.044483379220293
Olig2	Dbx2	0.038376619058676086
Nkx61	Olig2	0.03359051611263692
Dbx2	Pax6	0.0303597733830698
Nkx61	Pax6	0.02932538108064463
Nkx61	Nkx22	0.028693189311175708
Nkx62	Irx3	0.028275330489537356
Dbx1	Olig2	0.026213597176887548
Dbx1	Irx3	0.025354339970466044
Nkx62	Pax6	0.02521727617780253
Nkx62	Olig2	0.02514858105584751
Dbx1	Pax6	0.024953455731792282
Dbx2	Nkx22	0.0223323149826546
Dbx1	Nkx22	0.018617897369338682
Nkx22	Dbx2	0.017577404553891354
Pax6	Dbx2	0.017551194379382632
Nkx62	Nkx22	0.01708125506008219
