Gene1,Gene2,EdgeWeight
Dbx1,Dbx2,0.9495689868927002
Dbx1,Irx3,0.5896551609039307
Dbx1,Nkx22,0.584770143032074
Dbx1,Nkx61,0.9761493802070618
Dbx1,Nkx62,0.7859195470809937
Dbx1,Olig2,0.5701149106025696
Dbx1,Pax6,0.6089080572128296
Dbx2,Dbx1,0.6729268431663513
Dbx2,Irx3,0.912804901599884
Dbx2,Nkx22,0.4951219856739044
Dbx2,Nkx61,0.9935365319252014
Dbx2,Nkx62,0.6865853667259216
Dbx2,Olig2,0.5109755992889404
Dbx2,Pax6,0.5126829743385315
Irx3,Dbx1,0.455233633518219
Irx3,Dbx2,0.5353270769119263
Irx3,Nkx22,0.867102861404419
Irx3,Nkx61,0.49130842089653015
Irx3,Nkx62,0.45906543731689453
Irx3,Olig2,0.9604671597480774
Irx3,Pax6,0.9557009339332581
Nkx22,Dbx1,0.39015597105026245
Nkx22,Dbx2,0.3980506360530853
Nkx22,Irx3,0.4696881175041199
Nkx22,Nkx61,0.5812864899635315
Nkx22,Nkx62,0.41091617941856384
Nkx22,Olig2,0.48810914158821106
Nkx22,Pax6,0.9952241778373718
Nkx61,Dbx1,0.7217090129852295
Nkx61,Dbx2,0.9818706512451172
Nkx61,Irx3,0.4976905584335327
Nkx61,Nkx22,0.6575058102607727
Nkx61,Nkx62,0.749076247215271
Nkx61,Olig2,0.48129329085350037
Nkx61,Pax6,0.5561200976371765
Nkx62,Dbx1,0.7939587831497192
Nkx62,Dbx2,0.9377891421318054
Nkx62,Irx3,0.6340616345405579
Nkx62,Nkx22,0.6336761116981506
Nkx62,Nkx61,0.9925450086593628
Nkx62,Olig2,0.6167094707489014
Nkx62,Pax6,0.6514138579368591
Olig2,Dbx1,0.41134539246559143
Olig2,Dbx2,0.42259031534194946
Olig2,Irx3,0.9855421185493469
Olig2,Nkx22,0.9342369437217712
Olig2,Nkx61,0.5002008080482483
Olig2,Nkx62,0.40140560269355774
Olig2,Pax6,0.9813253283500671
Pax6,Dbx1,0.38339728116989136
Pax6,Dbx2,0.4080614149570465
Pax6,Irx3,0.6888675093650818
Pax6,Nkx22,0.9689059257507324
Pax6,Nkx61,0.4673704504966736
Pax6,Nkx62,0.38915547728538513
Pax6,Olig2,0.6707293391227722
