Gene1	Gene2	EdgeWeight
G32	G84	0.005601423792540999
G94	G84	0.0055883489549159995
G14	G90	0.0055822567082941
G38	G90	0.0055771078914403
G5	G59	0.0055699422955513
G84	G32	0.0055546602234244
G30	G84	0.0055534355342388
G1	G90	0.0055445055477321
G70	G72	0.0055408771149814
G27	G35	0.0055368673056364
G59	G5	0.0055348523892462
G67	G90	0.005534728989005
G78	G84	0.0055313352495431
G78	G34	0.005529299378395
G28	G34	0.005525944288819999
G32	G99	0.0055229207500815
G2	G34	0.0055228141136467
G22	G90	0.0055192578583955
G43	G90	0.0055164038203656
G7	G34	0.0055146948434412
G69	G34	0.005513846874237
G69	G90	0.0055117118172347
G80	G34	0.0055104168131947
G14	G37	0.0055080917663872
G43	G92	0.0055073229596018
G45	G34	0.0055072014220058
G44	G35	0.0055068568326532
G40	G90	0.0055066361092031
G58	G90	0.0055063772015273
G8	G35	0.0055045024491846
G51	G34	0.0055043101310729
G47	G44	0.0055039324797689
G63	G92	0.0055035138502717
G52	G35	0.0055034174583852
G28	G64	0.0055024670436978
G82	G34	0.0055020186118781
G67	G37	0.0055018826387822
G28	G37	0.0055007501505315
G6	G57	0.005500447936356
G85	G32	0.0055000963620841
G72	G70	0.0054997503757476
G82	G16	0.0054993545636534
G20	G92	0.0054987417533993
G4	G34	0.0054986258037388
G28	G90	0.0054984027519822
G4	G90	0.0054979408159852
G23	G34	0.0054973596706986
G11	G90	0.0054971384815871
G45	G37	0.0054953997023403
G82	G63	0.0054945889860391
G24	G37	0.0054918015375733
G23	G50	0.0054916488006711
G62	G84	0.0054910792969167
G36	G84	0.0054903766140341
G39	G34	0.0054891421459615
G71	G92	0.005488998722284999
G15	G34	0.0054889810271561
G100	G90	0.0054884161800146
G88	G99	0.0054882583208382
G29	G84	0.0054881400428712
G26	G90	0.0054877111688256
G68	G34	0.0054870531894266
G18	G90	0.0054863821715116
G49	G84	0.005485575646161999
G11	G34	0.0054855155758559
G19	G37	0.0054853111505508
G15	G90	0.0054850731976329985
G33	G84	0.0054848953150212
G76	G50	0.0054848436266183
G67	G1	0.0054848380386829
G27	G84	0.0054844357073307
G76	G90	0.0054844282567501
G72	G37	0.0054844031110405
G97	G84	0.0054810037836432
G30	G90	0.0054807551205158
G12	G34	0.0054804445244371
G63	G10	0.0054804203100502
G17	G2	0.0054792179726064
G8	G99	0.0054788654670119
G40	G34	0.0054788589477539
G6	G34	0.0054778610356152
G76	G34	0.0054778330959379
G8	G90	0.005477593280375
G98	G22	0.0054771294817328
G6	G55	0.0054765949025749995
G97	G34	0.0054762475192546
G97	G90	0.0054753669537603
G63	G82	0.0054751769639551
G46	G26	0.0054751597344875
G54	G37	0.0054737934842705
G96	G90	0.0054735913872718
G60	G84	0.00547338090837
