TF	Target	EdgeWeight
G32	G84	0.005601423792541027
G94	G84	0.005588348954916
G14	G90	0.005582256708294153
G38	G90	0.0055771078914403915
G5	G59	0.0055699422955513
G84	G32	0.005554660223424435
G30	G84	0.005553435534238815
G1	G90	0.005544505547732115
G70	G72	0.005540877114981413
G27	G35	0.005536867305636406
G59	G5	0.005534852389246225
G67	G90	0.005534728989005089
G78	G84	0.00553133524954319
G78	G34	0.005529299378395081
G28	G34	0.005525944288820028
G32	G99	0.005522920750081539
G2	G34	0.005522814113646746
G22	G90	0.0055192578583955765
G43	G90	0.005516403820365667
G7	G34	0.005514694843441248
G69	G34	0.0055138468742370605
G69	G90	0.0055117118172347546
G80	G34	0.005510416813194752
G14	G37	0.005508091766387224
G43	G92	0.005507322959601879
G45	G34	0.005507201422005892
G44	G35	0.005506856832653284
G40	G90	0.0055066361092031
G58	G90	0.005506377201527357
G8	G35	0.005504502449184656
G51	G34	0.005504310131072998
G47	G44	0.0055039324797689915
G63	G92	0.005503513850271702
G52	G35	0.005503417458385229
G28	G64	0.005502467043697834
G82	G34	0.005502018611878157
G67	G37	0.005501882638782263
G28	G37	0.00550075015053153
G6	G57	0.005500447936356068
G85	G32	0.00550009636208415
G72	G70	0.005499750375747681
G82	G16	0.005499354563653469
G20	G92	0.005498741753399372
G4	G34	0.0054986258037388325
G28	G90	0.005498402751982212
G4	G90	0.005497940815985203
G23	G34	0.005497359670698643
G11	G90	0.0054971384815871716
G45	G37	0.0054953997023403645
G82	G63	0.005494588986039162
G24	G37	0.0054918015375733376
G23	G50	0.005491648800671101
G62	G84	0.005491079296916723
G36	G84	0.005490376614034176
G39	G34	0.005489142145961523
G71	G92	0.005488998722285032
G15	G34	0.005488981027156115
G100	G90	0.00548841618001461
G88	G99	0.005488258320838213
G29	G84	0.005488140042871237
G26	G90	0.005487711168825626
G68	G34	0.0054870531894266605
G18	G90	0.00548638217151165
G49	G84	0.005485575646162033
G11	G34	0.00548551557585597
G19	G37	0.005485311150550842
G15	G90	0.005485073197633028
G33	G84	0.0054848953150212765
G76	G50	0.005484843626618385
G67	G1	0.005484838038682938
G27	G84	0.005484435707330704
G76	G90	0.005484428256750107
G72	G37	0.005484403111040592
G97	G84	0.005481003783643246
G30	G90	0.005480755120515823
G12	G34	0.005480444524437189
G63	G10	0.005480420310050249
G17	G2	0.0054792179726064205
G8	G99	0.0054788654670119286
G40	G34	0.005478858947753906
G6	G34	0.005477861035615206
G76	G34	0.005477833095937967
G8	G90	0.005477593280375004
G98	G22	0.005477129481732845
G6	G55	0.005476594902575016
G97	G34	0.0054762475192546844
G97	G90	0.0054753669537603855
G63	G82	0.005475176963955164
G46	G26	0.005475159734487534
G54	G37	0.005473793484270573
G96	G90	0.005473591387271881
G60	G84	0.005473380908370018
G30	G72	0.005473271012306213
G73	G34	0.005473210942000151
G24	G26	0.005472653545439243
G55	G92	0.005472365766763687
G65	G90	0.005472093820571899
G60	G32	0.0054717599414289
G82	G84	0.005471490323543549
G95	G34	0.0054709468968212605
G38	G92	0.005470495205372572
G84	G99	0.005469839088618755
G22	G34	0.005469838157296181
G99	G84	0.0054697091691195965
G55	G83	0.005469253286719322
G65	G86	0.005469136405736208
G9	G92	0.005468017887324095
G69	G84	0.0054674600251019
G9	G90	0.005466992035508156
