Gene1	Gene2	EdgeWeight
G12	G8	0.17582004512416013
G8	G12	0.15197202947570676
G33	G77	0.1299730111568231
G79	G3	0.12300508489220704
G3	G79	0.11999202668754047
G59	G5	0.11404667031813467
G7	G70	0.1122057588145835
G80	G28	0.1092082041580766
G5	G59	0.10805677622503168
G2	G22	0.10715327248970027
G22	G2	0.10693365940954487
G4	G18	0.10629097863507317
G33	G65	0.10603133864438843
G65	G33	0.105651515635452
G28	G80	0.10360404240845204
G32	G85	0.10221406641053236
G92	G84	0.09888060641064546
G84	G32	0.09847158153728476
G82	G63	0.0979048321641681
G72	G70	0.09742104406714328
G84	G92	0.0966976753964148
G69	G59	0.096627745886026
G30	G84	0.09567512968871764
G77	G33	0.0954933753823794
G94	G92	0.0946338456756035
G59	G23	0.09421923171697774
G92	G85	0.09324321578631893
G70	G7	0.09323128998366348
G23	G59	0.09217952066835064
G72	G7	0.09197896477674522
G84	G94	0.09083144103916696
G30	G32	0.08866885718012495
G7	G72	0.08824804808668671
G32	G84	0.08694564133368744
G5	G23	0.08588120251498851
G44	G47	0.08538392644465036
G59	G69	0.08519456294117941
G85	G94	0.08444401936396066
G23	G5	0.08312832452182196
G92	G32	0.08302599734704225
G63	G82	0.0827952005726382
G23	G69	0.08254318957968497
G47	G44	0.08220441157053905
G85	G92	0.07800335086183217
G65	G77	0.07789320063269045
G70	G72	0.0777045022583388
G5	G57	0.07763428567607078
G92	G94	0.07687751692272135
G69	G23	0.07684935000577534
G57	G23	0.07548461579311906
G69	G5	0.07482176578977966
G77	G65	0.07423285510890015
G99	G32	0.07416505339218253
G15	G22	0.07357875670786232
G57	G59	0.07047524194054255
G57	G5	0.07044707688980396
G55	G6	0.06920061896120151
G84	G85	0.06787459514170588
G2	G91	0.06782818606722994
G98	G26	0.06774755801164098
G22	G15	0.0676239303727728
G94	G85	0.06683454107885549
G30	G85	0.06612227224705182
G2	G15	0.06522491978312674
G32	G92	0.06438605148194204
G85	G32	0.06282772100793317
G32	G99	0.06279822857674114
G92	G99	0.06234115496203655
G59	G57	0.062135876019170526
G94	G84	0.06157664619575015
G95	G21	0.06111313030673773
G5	G69	0.060334005528352434
G23	G57	0.060152141938286385
G69	G50	0.0598537221091515
G92	G97	0.05930854018753268
G99	G84	0.05874947024430671
G6	G55	0.058260004247004726
G50	G69	0.05788614543524705
G56	G62	0.05786264597174414
G15	G2	0.056973719064069665
G84	G99	0.05651038330609413
G2	G36	0.0563201939720315
G32	G94	0.05576213314993205
G85	G84	0.05568828696897225
G30	G94	0.05447750656388986
G30	G99	0.053420039209704326
G84	G97	0.05292773960369115
G18	G4	0.052694834217201315
G27	G82	0.05164057802739623
G26	G98	0.050974517851988456
G36	G2	0.04971289874440045
G64	G50	0.04958399894443579
G22	G98	0.049118181955270436
G82	G27	0.04866322942137803
G90	G82	0.04808024356870748
G69	G57	0.047890098187195966
G60	G99	0.047764443980550436
G84	G30	0.04760830562152798
G94	G32	0.04663213033328639
G41	G50	0.046382624044616086
G32	G30	0.04633063212279461
G46	G75	0.04594891322204196
G98	G22	0.04524582602068547
G35	G99	0.045184082422047606
G23	G50	0.044774978503823684
G84	G78	0.044765364122773016
G97	G92	0.043938470635315564
G59	G50	0.04340654408235434
G26	G50	0.04293687278695932
G99	G30	0.04248271860319451
G60	G85	0.04245199624700678
G94	G97	0.0421449759295912
G42	G99	0.041155322171038664
G82	G90	0.0405375340874788
G15	G38	0.04052170803051676
G78	G93	0.04047992167625075
G57	G69	0.040404470972488116
G52	G14	0.04015117498919154
G30	G18	0.03992934113887183
G90	G10	0.03951050716647025
G62	G56	0.03944197501544983
G60	G94	0.039437110130237096
G92	G78	0.03937588874965587
G99	G85	0.0392130627713458
G85	G97	0.039047949997179116
G76	G14	0.039012577796540285
G67	G43	0.03900863586064263
G19	G99	0.038713305908493936
G30	G92	0.038122057354939086
G39	G34	0.03805469630751513
G27	G10	0.03767452229581578
G17	G99	0.0376103204616892
G97	G94	0.037548121887945984
G32	G78	0.03743027976791135
G14	G52	0.03719489595837969
G41	G55	0.03699240117757578
G55	G75	0.03659855155876892
G36	G22	0.03638500334088444
G94	G30	0.03614636300330945
G95	G38	0.036118232582143486
G31	G18	0.036002950113084915
G99	G92	0.035933068487252626
G74	G50	0.03574788751151
G24	G37	0.035730157674158804
G14	G15	0.03560132352709675
G28	G53	0.03542118260132552
G77	G80	0.03532501242432928
G8	G93	0.035126186822712624
G16	G43	0.034906273329346864
G53	G90	0.034775242537820834
G6	G16	0.03466006307241723
G90	G16	0.034335350933689036
G60	G32	0.03432281469991205
G9	G40	0.034070191968820725
G96	G6	0.034018912808335314
G56	G14	0.03375797413194323
G38	G95	0.033636074580997016
G85	G60	0.033434186326417106
G91	G2	0.03340667613128595
G19	G32	0.03303156575834279
G17	G81	0.032822963886243096
G66	G74	0.032817632377516004
G62	G16	0.03269540785442115
G76	G24	0.03264771636151175
G73	G96	0.03248012862206927
G85	G25	0.032215438384258915
G54	G66	0.032148615269811144
G98	G2	0.032078162203437406
G92	G30	0.03196154170714259
G49	G37	0.0319196818263578
G49	G89	0.03190527583004918
G47	G13	0.03182193155305268
G65	G80	0.03171797651879934
G24	G76	0.03169566475826517
G50	G23	0.03155725555351758
G10	G27	0.03139291270120872
G95	G24	0.03137814398572352
G25	G78	0.0313240446208505
G57	G14	0.031323865689588434
G40	G51	0.03131272135887609
G48	G75	0.03126579684932924
G39	G44	0.031151896526325225
G22	G14	0.030602453040582362
G32	G60	0.030574966154572364
G14	G22	0.030529753488472467
G24	G56	0.03047803374703165
G98	G11	0.03044602738003848
G8	G14	0.03038467149451164
G90	G3	0.030343846814881125
G20	G33	0.030264428397781682
G61	G64	0.030260027473410382
G40	G9	0.03022722400848289
G28	G93	0.0301768815998104
G46	G26	0.030165322270632282
G96	G73	0.029910801201941888
G94	G78	0.029857400040628142
G75	G55	0.029778051890294886
G14	G76	0.029744164257903164
G54	G14	0.029713176563180586
G28	G40	0.029595585407678576
G66	G70	0.029575420507730755
G37	G24	0.029396908147326376
G78	G22	0.029346925399886713
G83	G54	0.02927040198263125
G19	G85	0.029221241480508506
G26	G46	0.029180598962279918
G10	G90	0.029053821347130006
G3	G90	0.029053164108950258
G36	G15	0.029041326434257705
G40	G14	0.029004252384892126
G90	G27	0.028979808627380782
G62	G42	0.028946635372420638
G96	G14	0.02888355574592455
G64	G58	0.02882917311939512
G90	G87	0.028784822355141782
G44	G34	0.028756541923547863
G74	G42	0.0286775845913654
G64	G61	0.02866290073623757
G76	G96	0.028654320178045176
G86	G26	0.028580173816502158
G99	G94	0.028461745709816026
G64	G69	0.0284429263426764
G23	G79	0.028432919058487313
G99	G18	0.028400079791121507
G78	G14	0.02836834026891922
G32	G97	0.028360767538280214
G27	G63	0.02830263412496625
G12	G73	0.028299571220128137
G94	G29	0.02827044270540938
G13	G87	0.028267159480971218
G53	G80	0.028182199748309014
G82	G81	0.028097100233675627
G88	G16	0.028063434585256272
G77	G87	0.02802194250525515
G66	G72	0.028021008473659563
G50	G16	0.027963711778125875
G3	G51	0.0278472835693471
G22	G36	0.02779448979324821
G67	G31	0.027745591249674868
G21	G95	0.027683537808096282
G22	G9	0.02761487181427105
G83	G37	0.02759999432440121
G50	G59	0.027512385818540024
G82	G53	0.02727704174461737
G95	G76	0.027167066401068685
G1	G45	0.02710789653808927
G40	G85	0.02696047182489015
G19	G71	0.026959663457183283
