Gene1	Gene2	EdgeWeight
G22	G11	0.9951360821723938
G22	G9	0.9938329458236694
G22	G36	0.9936145544052124
G22	G43	0.9924127459526062
G22	G81	0.9909974336624146
G22	G47	0.9893059134483336
G22	G14	0.9873113632202148
G22	G49	0.9870540499687196
G22	G1	0.9869891405105592
G22	G73	0.986683428287506
G22	G15	0.9841703176498412
G22	G98	0.9840059280395508
G22	G40	0.9839780926704408
G22	G24	0.9839649200439452
G22	G54	0.9836223721504213
G22	G13	0.9835919141769408
G22	G2	0.9835782051086426
G22	G91	0.9835034608840942
G22	G46	0.9832381010055542
G22	G68	0.9808659553527832
G25	G11	0.9752427339553832
G22	G20	0.974693477153778
G22	G4	0.971763789653778
G22	G17	0.9714180827140808
G92	G70	0.9713828563690186
G25	G43	0.9705223441123962
G92	G30	0.9704957604408264
G92	G99	0.968676209449768
G92	G94	0.96821266412735
G22	G38	0.9676408171653748
G22	G52	0.9659996032714844
G25	G24	0.965769350528717
G52	G11	0.9651107788085938
G25	G46	0.96494859457016
G92	G20	0.9640135765075684
G25	G9	0.9636465907096864
G25	G36	0.9625316858291626
G22	G29	0.9617719650268556
G52	G9	0.9616160988807678
G52	G36	0.9613595604896544
G92	G6	0.9608863592147828
G71	G11	0.960331916809082
G25	G81	0.9602947831153871
G52	G43	0.9599003195762634
G92	G85	0.9598350524902344
G22	G45	0.9583114385604858
G92	G88	0.9564692378044128
G25	G1	0.9555188417434692
G92	G24	0.9544674158096312
G92	G96	0.9544488787651062
G22	G87	0.9542323350906372
G26	G11	0.953477680683136
G22	G56	0.9533352851867676
G92	G46	0.9528821110725404
G52	G49	0.9526938199996948
G22	G39	0.9522532224655152
G52	G14	0.9515968561172484
G22	G95	0.9514045119285583
G25	G68	0.9512794613838196
G22	G85	0.9509317278862
G22	G6	0.9501082301139832
G52	G73	0.9500279426574708
G92	G67	0.9495095014572144
G71	G43	0.9487823843955994
G71	G20	0.9485376477241516
G52	G1	0.947882354259491
G25	G49	0.9468707442283629
G22	G97	0.946700155735016
G71	G81	0.9458615779876708
G26	G43	0.9457502365112304
G26	G9	0.9455716609954834
G25	G14	0.9454996585845948
G71	G24	0.94489324092865
G25	G73	0.9448634386062622
G26	G36	0.9444288611412048
G71	G46	0.9430135488510132
G71	G9	0.9425467848777772
G22	G60	0.9417002201080322
G71	G36	0.9408071041107178
G92	G21	0.9390380382537842
G22	G23	0.9378957152366638
G25	G20	0.9372029900550842
G92	G17	0.9354833960533142
G25	G40	0.9331288337707521
G52	G47	0.932380437850952
G25	G47	0.9319740533828736
G25	G13	0.9314961433410645
G25	G2	0.931304395198822
G25	G15	0.9308198690414428
G71	G29	0.930693745613098
G92	G93	0.92999666929245
G25	G54	0.9290266633033752
G52	G81	0.9279761910438538
G26	G14	0.9277356266975404
G25	G91	0.9275878071784972
G25	G45	0.9274246692657472
G26	G1	0.927348792552948
G26	G49	0.9271351099014282
G71	G68	0.926914632320404
G26	G73	0.9261030554771424
G92	G68	0.9254190325737
G25	G4	0.9250493049621582
G22	G42	0.9233362078666688
G52	G24	0.9232011437416076
G26	G81	0.923172891139984
G22	G53	0.9226183891296388
G52	G56	0.9224608540534972
G26	G54	0.9219989180564879
G25	G29	0.9218215346336364
G55	G96	0.921468198299408
G22	G51	0.921336829662323
G92	G19	0.9206198453903198
G52	G46	0.9205604195594788
G92	G100	0.9192756414413452
G71	G40	0.9189081788063048
G25	G98	0.918000102043152
G22	G100	0.9176498651504515
G26	G47	0.91758531332016
G92	G32	0.9175797104835509
G22	G31	0.9175679683685304
G71	G1	0.9173106551170348
