Gene1,Gene2
G31,G39
G52,G31
G71,G20
G22,G98
G71,G88
G52,G43
G83,G96
G92,G42
G80,G34
G22,G44
G22,G9
G59,G5
G52,G54
G52,G14
G22,G52
G92,G6
G92,G94
G59,G90
G52,G6
G92,G70
G95,G38
G92,G18
G82,G10
G25,G11
G7,G83
G4,G18
G52,G11
G71,G93
G71,G4
G92,G93
G25,G46
G22,G11
G59,G64
G10,G27
G71,G21
G22,G40
G16,G6
G66,G21
G34,G33
G52,G49
G8,G12
G52,G56
G25,G68
G92,G60
G52,G81
G80,G33
G71,G30
G92,G17
G52,G47
G75,G55
G51,G44
G25,G24
G52,G51
G82,G27
G55,G6
G37,G52
G52,G53
G71,G97
G84,G42
G25,G43
G56,G100
G59,G23
G55,G96
G52,G38
G52,G73
G65,G34
G92,G84
G22,G91
G71,G29
G92,G20
G74,G38
G92,G97
G92,G19
G52,G95
G55,G25
G26,G98
G22,G33
G71,G99
G26,G71
G52,G9
G6,G55
G52,G36
G31,G87
G55,G41
G79,G70
G10,G90
G83,G55
G22,G15
G71,G66
G56,G20
G82,G63
G31,G47
G71,G13
G6,G52
G35,G90
G61,G67
G25,G51
G26,G60
G71,G67
G47,G44
G92,G30
G33,G65
G59,G57
G22,G17
G22,G13
G56,G45
G25,G60
G25,G81
G3,G90
G28,G80
G92,G99
G7,G70
G62,G56
G12,G8
G22,G29
G48,G55
G92,G85
G83,G6
G22,G36
G6,G96
G22,G20
G22,G97
G74,G95
G59,G41
G54,G76
G52,G1
G71,G94
G25,G85
G95,G74
G92,G100
G22,G2
G52,G83
G86,G58
G22,G81
G66,G93
G26,G89
G52,G4
G7,G6
G52,G74
G92,G32
G25,G58
