TF	target	importance
G12	G8	90.80854071006033
G30	G84	65.01676482165297
G92	G84	62.58920215000173
G32	G84	57.659350977089524
G32	G85	46.00023675223003
G84	G32	45.059046007872396
G3	G79	42.683330247392476
G92	G85	42.075624143815105
G92	G94	42.05951833657718
G65	G33	41.015054229313726
G59	G5	37.7895838575632
G22	G2	37.08916385692662
G59	G23	37.054800361502096
G84	G94	37.03358772105275
G94	G92	35.83330358005219
G30	G32	34.44054606500613
G33	G65	33.73749894122449
G69	G59	33.698501842694576
G5	G59	33.00403584275666
G84	G92	32.39341637848631
G2	G22	32.07213891646341
G33	G77	31.92047647049407
G59	G69	30.84299047282859
G30	G94	30.392035529808684
G5	G23	29.269887419264524
G63	G82	28.70115448284037
G32	G92	28.454682505857402
G77	G33	28.197219843652157
G94	G32	27.775847977923558
G99	G84	27.57130146584
G23	G59	27.035842801399124
G99	G32	26.025236744203415
G85	G94	26.0210038183234
G72	G70	25.729161449228666
G32	G94	25.72021860202576
G85	G92	25.688544315035173
G15	G22	25.185297017739295
G47	G44	25.073825444783896
G90	G82	23.837311547478958
G94	G85	23.720310750021444
G57	G23	22.606409108147005
G97	G92	21.905416774089634
G94	G84	21.8519358824929
G82	G63	21.829671600454567
G27	G82	21.686260727302223
G65	G77	21.615088789781794
G92	G32	21.248068569468913
G23	G5	21.034435166536397
G84	G85	20.535062814324696
G7	G70	20.361146795631647
G99	G92	20.068880635444245
G98	G26	19.706498378904794
G77	G65	19.171251913125573
G69	G23	19.133279000784082
G30	G85	18.83059834514225
G85	G84	18.796078085961664
G85	G32	18.471153209202367
G59	G57	17.37105032168279
G79	G3	17.370023469795793
G57	G59	17.21091931960051
G97	G85	16.806925499605715
G69	G5	15.73167328358972
G4	G18	14.878904137411666
G57	G5	14.544722481488138
G86	G84	14.460191908704926
G23	G69	14.320863029331562
G50	G69	14.125250438327667
G30	G92	14.118728172922605
G36	G22	14.089745524064883
G97	G94	13.851160998939672
G36	G2	13.68304840446768
G5	G69	13.589390927609156
G60	G85	13.483791479494643
G99	G85	13.33307841994705
G60	G32	12.99712464813829
G5	G57	12.898579380475255
G39	G23	12.780256510397413
G44	G47	12.666061686979864
G17	G84	12.61714460125703
G23	G57	12.548429866599696
G19	G85	12.447023976905626
G31	G84	12.391970430171614
G11	G8	12.250921141093546
G71	G85	11.911558093610696
G72	G7	11.463033290324939
G17	G99	10.94526707818526
G78	G22	10.88517607751567
G83	G14	10.880661189839474
G35	G84	10.78042982437489
G15	G2	10.593894828962199
G50	G59	10.476113171294685
G78	G8	10.391398772137322
G40	G85	10.318791572829142
G84	G30	10.170338817745447
G94	G30	10.097806961729011
G99	G30	9.996598222120662
G20	G33	9.913458843897269
G26	G98	9.896984944988489
G46	G8	9.886567911878682
G69	G57	9.56186643968402
G60	G94	9.553962842890451
G89	G8	9.530914677118512
G78	G92	9.382926465111371
G52	G14	8.94502776230557
G42	G99	8.877007946384472
G76	G24	8.827745493984432
