Gene1	Gene2	EdgeWeight
G12	G8	98.74964904785156
G8	G12	69.14049530029297
G92	G84	47.46278381347656
G92	G94	42.98850631713867
G28	G80	36.690277099609375
G7	G70	36.68824768066406
G5	G59	30.700780868530273
G5	G23	29.50863265991211
G22	G2	27.80510711669922
G44	G47	27.25990867614746
G77	G33	26.725400924682614
G18	G4	25.183942794799805
G78	G92	23.26735496520996
G70	G72	23.266069412231445
G88	G82	22.809873580932614
G70	G7	22.809873580932614
G74	G66	22.809873580932614
G7	G72	22.809873580932614
G82	G63	22.362621307373047
G2	G22	22.362621307373047
G89	G83	21.92534828186035
G18	G99	21.494253158569336
G19	G32	21.072795867919922
G33	G77	21.072795867919922
G10	G27	20.66074562072754
G88	G19	20.254514694213867
G15	G22	19.85736656188965
G37	G83	19.468006134033203
G22	G15	19.468006134033203
G10	G90	19.08733558654785
G57	G5	19.086280822753906
G37	G24	18.712039947509766
G88	G6	18.712039947509766
G89	G88	18.34615135192871
G62	G56	18.345138549804688
G33	G65	18.345138549804688
G82	G27	17.985429763793945
G57	G23	17.985429763793945
G79	G3	17.985429763793945
G89	G33	17.287986755371097
G58	G25	17.287033081054688
G88	G43	16.61575698852539
G74	G76	16.61575698852539
G75	G55	16.290857315063473
G5	G69	16.290857315063473
G88	G60	16.28995704650879
G58	G30	16.28995704650879
G74	G4	16.28995704650879
G22	G98	15.97054672241211
G38	G26	15.97054672241211
G74	G41	15.97054672241211
G16	G82	15.97054672241211
G98	G22	15.97054672241211
G20	G31	15.657398223876953
G88	G13	15.657398223876953
G38	G95	15.350390434265135
G88	G64	15.350390434265135
G62	G42	15.350390434265135
G58	G64	15.350390434265135
G16	G43	15.049402236938475
G12	G27	15.049402236938475
G38	G15	15.049402236938475
G74	G6	15.049402236938475
G18	G57	15.049402236938475
G80	G28	14.755130767822266
G92	G97	14.755130767822266
G47	G44	14.755130767822266
G76	G14	14.754316329956055
G74	G37	14.754316329956055
G23	G59	14.754316329956055
G5	G57	14.465814590454102
G58	G43	14.465015411376953
G78	G34	14.182170867919922
G74	G63	14.181387901306152
G37	G74	14.181387901306152
G89	G72	13.90408992767334
G87	G13	13.903321266174315
G20	G44	13.903321266174315
G74	G54	13.903321266174315
G37	G31	13.903321266174315
G19	G29	13.363438606262207
G98	G26	13.363438606262207
G87	G98	13.363438606262207
G78	G32	13.102133750915527
G10	G57	13.102133750915527
G10	G70	13.102133750915527
G18	G32	13.101410865783693
G88	G79	13.101410865783693
G10	G19	12.593361854553224
G3	G79	12.592666625976562
G87	G81	12.592666625976562
G38	G86	12.592666625976562
G19	G99	12.592666625976562
G63	G82	12.346433639526367
G88	G18	12.345751762390135
G88	G78	12.345751762390135
G82	G90	12.345751762390135
G86	G45	12.345751762390135
G44	G40	12.103677749633787
G58	G21	12.103677749633787
G88	G38	12.103677749633787
G19	G4	11.866351127624512
G20	G41	11.866351127624512
G58	G8	11.866351127624512
G58	G86	11.866351127624512
G89	G39	11.634320259094238
G16	G51	11.63367748260498
G6	G55	11.63367748260498
G37	G9	11.63367748260498
G19	G84	11.63367748260498
G89	G42	11.40619659423828
G92	G85	11.40619659423828
G89	G18	11.40619659423828
G35	G44	11.405566215515135
G88	G58	11.405566215515135
G91	G47	11.405566215515135
G90	G3	11.18254566192627
G89	G50	11.18254566192627
G39	G34	11.181927680969238
G87	G47	11.181927680969238
G17	G2	11.181927680969238
G13	G87	11.181927680969238
G74	G47	10.962674140930176
G74	G91	10.962674140930176
G16	G1	10.962674140930176
G86	G38	10.962674140930176
G18	G83	10.962674140930176
G78	G49	10.748312950134276
G23	G5	10.747719764709473
G44	G39	10.747719764709473
G10	G58	10.537562370300293
G38	G57	10.536980628967283
G82	G48	10.536980628967283
G90	G10	10.33094310760498
G39	G44	10.33037281036377
G69	G23	10.33037281036377
G58	G88	10.33037281036377
G23	G69	10.33037281036377
G10	G46	10.128376007080078
G15	G2	10.127816200256348
G62	G55	10.127816200256348
G55	G6	10.127816200256348
G88	G89	10.127816200256348
G90	G82	9.929780006408693
