Gene1,Gene2,EdgeWeight
G1,G2,1.919116735458374
G1,G3,3.4762144088745117
G1,G4,1.7041207551956177
G1,G5,2.2044618129730225
G1,G6,1.919116735458374
G1,G7,2.2935221195220947
G1,G8,1.7729672193527222
G1,G9,2.0365819931030273
G1,G10,1.9966490268707275
G1,G11,3.6166534423828125
G1,G12,2.0365819931030273
G1,G13,3.0867788791656494
G1,G14,1.8814870119094849
G1,G15,1.9966490268707275
G1,G16,2.1612372398376465
G1,G17,2.532233715057373
G1,G18,2.2485511302948
G1,G19,1.8814870119094849
G1,G20,1.8445950746536255
G1,G21,2.1188600063323975
G1,G22,6.815730094909668
G1,G23,2.2935221195220947
G1,G24,1.6707066297531128
G1,G25,2.2044618129730225
G1,G26,4.678526878356934
G1,G27,2.4339041709899902
G1,G28,2.3861804008483887
G1,G29,2.2935221195220947
G1,G30,2.2935221195220947
G1,G31,2.0365819931030273
G1,G32,2.1188600063323975
G1,G33,2.795790672302246
G1,G34,1.919116735458374
G1,G35,1.919116735458374
G1,G36,1.919116735458374
G1,G37,2.0773136615753174
G1,G38,7.675619125366211
G1,G39,1.9574990272521973
G1,G40,1.8814870119094849
G1,G41,3.341228723526001
G1,G42,2.33939266204834
G1,G43,2.2485511302948
G1,G44,2.1188600063323975
G1,G45,2.4825820922851562
G1,G46,3.6166534423828125
G1,G47,3.0867788791656494
G1,G48,2.2044618129730225
G1,G49,2.0365819931030273
G1,G50,2.2485511302948
G1,G51,2.1612372398376465
G1,G52,1.5743441581726074
G1,G53,1.8084266185760498
G1,G54,2.0773136615753174
G1,G55,1.5743441581726074
G1,G56,2.1612372398376465
G1,G57,2.740971326828003
G1,G58,4.154397964477539
G1,G59,12.345751762390137
G1,G60,2.2044618129730225
G1,G61,2.2935221195220947
G1,G62,3.0867788791656494
G1,G63,2.2485511302948
G1,G64,2.33939266204834
G1,G65,1.8814870119094849
G1,G66,2.0773136615753174
G1,G67,2.0365819931030273
G1,G68,2.2485511302948
G1,G69,2.0773136615753174
G1,G70,6.422614574432373
G1,G71,3.6166534423828125
G1,G72,2.2485511302948
G1,G73,3.8380215167999268
G1,G74,7.091085433959961
G1,G75,2.634536027908325
G1,G76,3.0867788791656494
G1,G77,2.2044618129730225
G1,G78,1.7729672193527222
G1,G79,3.762766122817993
G1,G80,1.9966490268707275
G1,G81,2.2044618129730225
G1,G82,8.308337211608887
G1,G83,4.586791038513184
G1,G84,2.2044618129730225
G1,G85,2.0365819931030273
G1,G86,2.2044618129730225
G1,G87,10.33037281036377
G1,G88,1.9966490268707275
G1,G89,2.2485511302948
G1,G90,13.363438606262207
G1,G91,2.2935221195220947
G1,G92,1.9574990272521973
G1,G93,2.2044618129730225
G1,G94,2.0773136615753174
G1,G95,2.1188600063323975
G1,G96,2.2485511302948
G1,G97,2.2935221195220947
G1,G98,1.8445950746536255
G1,G99,2.2044618129730225
G1,G100,8.474503517150879
G2,G1,2.0773136615753174
G2,G3,1.7041207551956177
G2,G4,1.7729672193527222
G2,G5,1.7729672193527222
G2,G6,1.7041207551956177
G2,G7,1.4544506072998047
G2,G8,1.6058310270309448
G2,G9,1.7729672193527222
G2,G10,1.637947678565979
G2,G11,1.637947678565979
G2,G12,1.8084266185760498
G2,G13,2.2044618129730225
G2,G14,1.8084266185760498
G2,G15,2.1612372398376465
G2,G16,1.7729672193527222
G2,G17,1.6707066297531128
G2,G18,1.6058310270309448
G2,G19,1.4835397005081177
G2,G20,1.4835397005081177
G2,G21,1.6058310270309448
G2,G22,22.362621307373047
G2,G23,1.8814870119094849
G2,G24,6.052173137664795
G2,G25,3.408053159713745
G2,G26,1.8445950746536255
G2,G27,1.8445950746536255
G2,G28,1.8814870119094849
G2,G29,2.908740758895874
G2,G30,1.7729672193527222
G2,G31,1.637947678565979
G2,G32,1.7382031679153442
G2,G33,1.7382031679153442
G2,G34,1.8084266185760498
G2,G35,1.9574990272521973
G2,G36,1.6058310270309448
G2,G37,1.4259320497512817
G2,G38,2.1188600063323975
G2,G39,1.513210415840149
G2,G40,1.5434746742248535
G2,G41,2.532233715057373
G2,G42,1.9966490268707275
G2,G43,1.513210415840149
G2,G44,1.8814870119094849
G2,G45,1.6707066297531128
G2,G46,1.637947678565979
G2,G47,1.8445950746536255
G2,G48,1.5743441581726074
G2,G49,1.6058310270309448
G2,G50,1.5743441581726074
G2,G51,1.6707066297531128
G2,G52,1.9966490268707275
G2,G53,1.8445950746536255
G2,G54,1.9966490268707275
G2,G55,2.33939266204834
G2,G56,1.7382031679153442
G2,G57,1.7729672193527222
G2,G58,1.8084266185760498
G2,G59,1.6707066297531128
G2,G60,2.2935221195220947
G2,G61,1.6707066297531128
G2,G62,1.7041207551956177
G2,G63,2.0365819931030273
G2,G64,1.9574990272521973
G2,G65,1.919116735458374
G2,G66,1.513210415840149
G2,G67,2.3861804008483887
G2,G68,3.0867788791656494
G2,G69,2.0365819931030273
G2,G70,1.7729672193527222
G2,G71,1.6058310270309448
G2,G72,1.9966490268707275
G2,G73,2.0365819931030273
G2,G74,1.9966490268707275
G2,G75,1.8814870119094849
G2,G76,1.7041207551956177
G2,G77,1.4259320497512817
G2,G78,1.7729672193527222
G2,G79,1.919116735458374
G2,G80,1.8084266185760498
G2,G81,1.7729672193527222
G2,G82,1.7382031679153442
G2,G83,2.0365819931030273
G2,G84,1.8445950746536255
G2,G85,1.513210415840149
G2,G86,1.8084266185760498
G2,G87,1.8084266185760498
G2,G88,1.637947678565979
G2,G89,1.8084266185760498
G2,G90,1.6707066297531128
G2,G91,4.408680438995361
G2,G92,1.919116735458374
G2,G93,1.9966490268707275
G2,G94,1.8084266185760498
G2,G95,1.9966490268707275
G2,G96,1.8445950746536255
G2,G97,1.8084266185760498
G2,G98,2.0365819931030273
G2,G99,1.8445950746536255
G2,G100,1.8445950746536255
G3,G1,1.9966490268707275
G3,G2,2.3861804008483887
G3,G4,1.9966490268707275
G3,G5,1.8445950746536255
G3,G6,1.7729672193527222
G3,G7,2.1612372398376465
G3,G8,1.8445950746536255
G3,G9,1.513210415840149
G3,G10,1.7729672193527222
G3,G11,2.0773136615753174
G3,G12,2.2935221195220947
G3,G13,2.0773136615753174
G3,G14,1.397972583770752
G3,G15,1.8084266185760498
G3,G16,1.8084266185760498
G3,G17,2.9669153690338135
G3,G18,1.7729672193527222
G3,G19,1.7041207551956177
G3,G20,2.0773136615753174
G3,G21,2.1612372398376465
G3,G22,2.1612372398376465
G3,G23,1.7729672193527222
G3,G24,2.0773136615753174
G3,G25,1.9574990272521973
G3,G26,2.0773136615753174
G3,G27,1.8445950746536255
G3,G28,2.2485511302948
G3,G29,1.9574990272521973
G3,G30,2.0365819931030273
G3,G31,1.637947678565979
G3,G32,2.0365819931030273
G3,G33,2.2935221195220947
G3,G34,1.9966490268707275
G3,G35,2.2935221195220947
G3,G36,1.8445950746536255
G3,G37,1.9966490268707275
G3,G38,1.9574990272521973
G3,G39,1.8445950746536255
G3,G40,1.9574990272521973
G3,G41,2.1612372398376465
G3,G42,1.7382031679153442
G3,G43,1.9574990272521973
G3,G44,1.9966490268707275
G3,G45,1.7729672193527222
G3,G46,1.9574990272521973
G3,G47,1.919116735458374
G3,G48,2.1188600063323975
G3,G49,1.8084266185760498
G3,G50,1.6707066297531128
G3,G51,3.762766122817993
G3,G52,1.7729672193527222
G3,G53,2.2044618129730225
G3,G54,2.0773136615753174
