Gene1,Gene2,EdgeWeight
G1,G3,0.010470408014953136
G1,G4,0.011069142259657383
G1,G5,0.011060206219553947
G1,G6,0.009722735732793808
G1,G7,0.00941591989248991
G1,G8,0.009475496597588062
G1,G9,0.009505284018814564
G1,G10,0.00986869540065527
G1,G11,0.010518068447709084
G1,G12,0.009311663918197155
G1,G13,0.010515091009438038
G1,G14,0.011998521164059639
G1,G15,0.009645288810133934
G1,G16,0.011325318366289139
G1,G17,0.01134914718568325
G1,G18,0.009812098927795887
G1,G19,0.009615499526262283
G1,G20,0.010571686550974846
G1,G21,0.011143612675368786
G1,G22,0.011661919765174389
G1,G23,0.00918357539921999
G1,G24,0.010068271309137344
G1,G25,0.010029547847807407
G1,G26,0.010398917831480503
G1,G27,0.01018444448709488
G1,G28,0.010494239628314972
G1,G29,0.0093295369297266
G1,G30,0.009582731872797012
G1,G31,0.009573795832693577
G1,G32,0.009272940456867218
G1,G33,0.009651245549321175
G1,G34,0.009514220990240574
G1,G35,0.010264872573316097
G1,G36,0.009523156099021435
G1,G37,0.010044443421065807
G1,G38,0.010279765352606773
G1,G39,0.009901461191475391
G1,G40,0.011146592907607555
G1,G41,0.009981890209019184
G1,G42,0.009919335134327412
G1,G43,0.009386134333908558
G1,G44,0.009826992638409138
G1,G45,0.011647025123238564
G1,G46,0.009526136331260204
G1,G47,0.009862737730145454
G1,G48,0.009692946448922157
G1,G49,0.010577644221484661
G1,G50,0.009529114700853825
G1,G51,0.009585712105035782
G1,G52,0.00953507237136364
G1,G53,0.010145722888410091
G1,G54,0.009681032039225101
G1,G55,0.009883590042591095
G1,G56,0.009943164885044098
G1,G57,0.009436771273612976
G1,G58,0.009472516365349293
G1,G59,0.011462341994047165
G1,G60,0.009672097861766815
G1,G61,0.009299748577177525
G1,G62,0.009380175732076168
G1,G63,0.009978909976780415
G1,G64,0.011629153974354267
G1,G65,0.009681032039225101
G1,G66,0.0092848539352417
G1,G67,0.011227017268538475
G1,G68,0.009657202288508415
G1,G69,0.009624435566365719
G1,G70,0.011757241562008858
G1,G71,0.010148700326681137
G1,G72,0.009701883420348167
G1,G73,0.009582731872797012
G1,G74,0.010607430711388588
G1,G75,0.011140633374452591
G1,G76,0.009055486880242825
G1,G77,0.009269961155951023
G1,G78,0.011206166818737984
G1,G79,0.009585711173713207
G1,G80,0.00954102911055088
G1,G81,0.009258044883608818
G1,G82,0.010089123621582985
G1,G83,0.010515090078115463
G1,G84,0.0094218784943223
G1,G85,0.008915484882891178
G1,G86,0.009764435701072216
G1,G87,0.012165333144366741
G1,G88,0.009812097996473312
G1,G89,0.010461472906172276
G1,G90,0.010756371542811394
G1,G91,0.011900222860276699
G1,G92,0.009841885417699814
G1,G93,0.00997593067586422
G1,G94,0.010059337131679058
G1,G95,0.009824013337492943
G1,G96,0.009621456265449524
G1,G97,0.009949121624231339
G1,G98,0.009582731872797012
G1,G99,0.009377196431159973
G1,G100,0.01181681640446186
G2,G1,0.009916898794472218
G2,G4,0.00965129118412733
G2,G5,0.009609214961528778
G2,G6,0.00995897501707077
G2,G7,0.009782779961824417
G2,G8,0.00973544456064701
G2,G9,0.011084521189332008
G2,G10,0.0101956557482481
G2,G11,0.009885340929031372
G2,G12,0.009801187552511692
G2,G13,0.010143060237169266
G2,G14,0.011121337302029133
G2,G15,0.011886603198945522
G2,G16,0.010195654816925526
G2,G17,0.0111476369202137
G2,G18,0.009690738283097744
G2,G19,0.009885341860353947
G2,G20,0.009953715838491917
G2,G21,0.010185136459767818
G2,G22,0.01479513943195343
G2,G23,0.009730184450745583
G2,G24,0.010374479927122593
G2,G25,0.009935307316482067
G2,G26,0.009714406915009022
G2,G27,0.010043127462267876
G2,G28,0.009593436494469643
G2,G29,0.011699889786541462
G2,G30,0.01035081222653389
G2,G31,0.009777520783245564
G2,G32,0.009911640547215939
G2,G33,0.009640770964324474
G2,G34,0.009998422116041183
G2,G35,0.009782779961824417
G2,G36,0.01142113283276558
G2,G37,0.009814337827265263
G2,G38,0.009930048137903214
G2,G39,0.010805764235556126
G2,G40,0.009527690708637238
G2,G41,0.00976963248103857
G2,G42,0.010135170072317123
G2,G43,0.0101956557482481
G2,G44,0.009861675091087818
G2,G45,0.009848523885011673
G2,G46,0.009948456659913063
G2,G47,0.009790669195353985
G2,G48,0.009995792992413044
G2,G49,0.00997738353908062
G2,G50,0.009719666093587875
G2,G51,0.010169357992708683
G2,G52,0.00990638043731451
G2,G53,0.009717035107314587
G2,G54,0.009751222096383572
G2,G55,0.010216692462563515
G2,G56,0.00965392217040062
G2,G57,0.01033503282815218
G2,G58,0.009538210928440094
G2,G59,0.009964234195649624
G2,G60,0.009864302352070808
G2,G61,0.011123967356979847
G2,G62,0.0096223633736372
G2,G63,0.009493504650890827
G2,G64,0.0100615369156003
G2,G65,0.009898490272462368
G2,G66,0.00967232882976532
G2,G67,0.011037185788154602
G2,G68,0.0111292265355587
G2,G69,0.009640771895647049
G2,G70,0.009759113192558289
G2,G71,0.009869563393294811
G2,G72,0.009627622552216053
G2,G73,0.009835375472903252
G2,G74,0.010295587591826916
G2,G75,0.009493504650890827
G2,G76,0.009717035107314587
G2,G77,0.010548044927418232
G2,G78,0.009648661129176617
G2,G79,0.00995634589344263
G2,G80,0.00977226160466671
G2,G81,0.010014200583100319
G2,G82,0.010250880382955074
G2,G83,0.009893231093883514
G2,G84,0.009632881730794907
G2,G85,0.010640089400112629
G2,G86,0.009895861148834229
G2,G87,0.01016146782785654
G2,G88,0.009606584906578064
G2,G89,0.009617104195058346
G2,G90,0.009735443629324436
G2,G91,0.01152106560766697
G2,G92,0.009664439596235752
G2,G93,0.01028243824839592
G2,G94,0.009966865181922913
G2,G95,0.009609214961528778
G2,G96,0.010135169140994549
G2,G97,0.010153580456972122
G2,G98,0.01077157724648714
G2,G99,0.009632882662117481
G2,G100,0.009590805508196354
G3,G1,0.010514369234442711
G3,G2,0.010327423922717571
G3,G5,0.009811985306441784
G3,G6,0.010012284852564335
G3,G7,0.010089733637869358
G3,G8,0.010241962969303131
G3,G9,0.009787950664758682
G3,G10,0.010207243263721466
G3,G11,0.0099722258746624
G3,G12,0.010127123445272446
G3,G13,0.009894777089357376
G3,G14,0.009910800494253635
G3,G15,0.009771925397217274
G3,G16,0.01034878846257925
G3,G17,0.009964213706552982
G3,G18,0.009932165965437889
G3,G19,0.009838692843914032
G3,G20,0.010172523558139801
G3,G21,0.010444930754601955
G3,G22,0.009779938496649265
G3,G23,0.010068370029330254
G3,G24,0.009900118224322796
G3,G25,0.010156501084566116
G3,G26,0.00996688473969698
G3,G27,0.009769255295395851
G3,G28,0.009766585193574429
G3,G29,0.010284691117703915
G3,G30,0.009806644171476364
G3,G31,0.009828009642660618
G3,G32,0.009702488780021667
G3,G33,0.009737207554280758
G3,G34,0.010391517542302608
G3,G35,0.009953531436622143
G3,G36,0.0099455201998353
G3,G37,0.010517039336264133
G3,G38,0.010095074772834778
G3,G39,0.010271337814629078
G3,G40,0.009755902923643589
G3,G41,0.009769256226718426
G3,G42,0.009932165965437889
G3,G43,0.010191219858825207
G3,G44,0.010119111277163029
G3,G45,0.009894777089357376
G3,G46,0.010225938633084297
G3,G47,0.010036321356892586
G3,G48,0.010460956022143364
G3,G49,0.010193890891969204
G3,G50,0.010287363082170486
G3,G51,0.011302211321890354
G3,G52,0.009795961901545525
G3,G53,0.009921482764184475
G3,G54,0.009817327372729778
G3,G55,0.009961542673408985
G3,G56,0.010244632139801979
G3,G57,0.010244631208479404
G3,G58,0.009934836067259312
G3,G59,0.010145817883312702
G3,G60,0.010100415907800198
G3,G61,0.01028469204902649
G3,G62,0.00996688473969698
G3,G63,0.010728021152317524
G3,G64,0.010175194591283798
G3,G65,0.0100977448746562
G3,G66,0.009929495863616467
G3,G67,0.01078677549958229
G3,G68,0.009892106056213379
G3,G69,0.010057685896754265
G3,G70,0.010092404671013355
G3,G71,0.009846705012023449
G3,G72,0.00978527870029211
G3,G73,0.009761243127286434
G3,G74,0.010092404671013355
G3,G75,0.010303385555744171
G3,G76,0.009819998405873775
G3,G77,0.009761243127286434
G3,G78,0.009996260516345501
G3,G79,0.013922123238444328
G3,G80,0.009830680675804615
G3,G81,0.010121781378984451
G3,G82,0.009985578246414661
G3,G83,0.0102232675999403
G3,G84,0.009638393297791481
G3,G85,0.009670441970229149
G3,G86,0.009897447191178799
G3,G87,0.009814656339585781
G3,G88,0.009753231890499592
G3,G89,0.009996261447668076
G3,G90,0.012346438132226467
G3,G91,0.009918813593685627
G3,G92,0.00984136387705803
G3,G93,0.009811986237764359
G3,G94,0.009713171981275082
G3,G95,0.009937507100403309
G3,G96,0.010645231232047081
G3,G97,0.009755901992321014
G3,G98,0.010036321356892586
G3,G99,0.009777267463505268
G3,G100,0.009844033978879452
G4,G1,0.010105403140187263
G4,G2,0.010125046595931053
G4,G3,0.010214848443865776
G4,G6,0.009959476999938488
G4,G7,0.010046470910310745
G4,G8,0.010057696141302586
G4,G9,0.010141884908080101
G4,G10,0.010091371834278107
G4,G11,0.010228879749774933
G4,G12,0.010038051754236221
G4,G13,0.010237297974526882
G4,G14,0.010282198898494244
G4,G15,0.010049277916550636
G4,G16,0.010021215304732323
G4,G17,0.010060503147542477
G4,G18,0.010691914707422256
G4,G19,0.010164335370063782
G4,G20,0.010147497057914734
G4,G21,0.010071727447211742
G4,G22,0.01026536151766777
G4,G23,0.010122240521013737
G4,G24,0.01010820921510458
G4,G25,0.010228878818452358
G4,G26,0.010122240521013737
G4,G27,0.010085759684443474
G4,G28,0.01006611529737711
G4,G29,0.010043664835393429
G4,G30,0.010136272758245468
G4,G31,0.010015602223575115
G4,G32,0.009998764842748642
G4,G33,0.010161529295146465
G4,G34,0.010091371834278107
G4,G35,0.010102596133947372
G4,G36,0.009998762980103493
G4,G37,0.010082953609526157
G4,G38,0.010172753594815731
G4,G39,0.010147497057914734
G4,G40,0.009951057843863964
G4,G41,0.010049277916550636
G4,G42,0.010026827454566956
G4,G43,0.010082953609526157
G4,G44,0.01011662743985653
G4,G45,0.010043664835393429
G4,G46,0.009976314380764961
G4,G47,0.010007183067500591
G4,G48,0.01020081527531147
G4,G49,0.010015602223575115
G4,G50,0.010183979757130146
G4,G51,0.010004376992583275
G4,G52,0.009967896156013012
G4,G53,0.010113821364939213
G4,G54,0.010074533522129059
G4,G55,0.010094178840517998
G4,G56,0.009984733536839485
G4,G57,0.010200816206634045
G4,G58,0.009990345686674118
G4,G59,0.010153109207749367
G4,G60,0.010046470910310745
G4,G61,0.010038051754236221
G4,G62,0.010015602223575115
G4,G63,0.010133465752005577
G4,G64,0.010116628371179104
G4,G65,0.010169947519898415
G4,G66,0.010144691914319992
G4,G67,0.010186783969402313
G4,G68,0.010091371834278107
G4,G69,0.010021214373409748
G4,G70,0.009774262085556984
G4,G71,0.010116628371179104
G4,G72,0.010144690982997417
G4,G73,0.010082952678203583
G4,G74,0.010248522274196148
G4,G75,0.010161529295146465
G4,G76,0.010183978825807571
G4,G77,0.009993151761591434
G4,G78,0.010015602223575115
G4,G79,0.010082953609526157
G4,G80,0.010136272758245468
G4,G81,0.010001569986343384
G4,G82,0.010015602223575115
G4,G83,0.010125047527253628
G4,G84,0.010012795217335224
G4,G85,0.010063309222459793
G4,G86,0.010147497057914734
G4,G87,0.01011662743985653
G4,G88,0.010172754526138306
G4,G89,0.010074534453451633
G4,G90,0.01021204050630331
G4,G91,0.010063309222459793
G4,G92,0.010172753594815731
G4,G93,0.010113821364939213
G4,G94,0.010024020448327065
G4,G95,0.010116628371179104
G4,G96,0.01012785267084837
G4,G97,0.010094176977872849
G4,G98,0.010150304064154625
G4,G99,0.010183978825807571
G4,G100,0.010147497057914734
