Gene1	Gene2	EdgeWeight
G22	G2	0.9974819421768188
G12	G8	0.9958689212799072
G59	G5	0.9868420958518982
G80	G28	0.986006796360016
G33	G77	0.9859375357627868
G47	G44	0.981225311756134
G28	G80	0.978191375732422
G98	G26	0.9737429618835448
G99	G85	0.9735293984413148
G7	G70	0.9732792377471924
G99	G32	0.9728758335113524
G99	G84	0.9715685844421388
G8	G12	0.9713432788848876
G98	G22	0.9703911542892456
G99	G30	0.9696077704429626
G24	G82	0.9693548679351808
G24	G81	0.9693548679351808
G24	G71	0.9685483574867249
G24	G39	0.9682796001434326
G24	G67	0.9682795405387878
G24	G87	0.9680106639862059
G24	G38	0.9677419066429138
G56	G14	0.9676921963691713
G99	G19	0.9673202633857728
G24	G61	0.9672043323516846
G99	G60	0.9666666388511658
G24	G45	0.9663978219032288
G24	G86	0.9661290049552916
G24	G21	0.9661290049552916
G5	G59	0.966065526008606
G24	G63	0.9658602476119996
G24	G11	0.9655913710594176
G70	G7	0.9655228257179259
G24	G79	0.9653226137161256
G24	G36	0.9653226137161256
G24	G31	0.9653226137161256
G92	G84	0.9651125073432922
G24	G51	0.9650537371635436
G24	G74	0.9650537371635436
G99	G42	0.9650326371192932
G24	G49	0.9647849202156068
G24	G41	0.9645161628723145
G4	G18	0.964322865009308
G24	G90	0.9642473459243774
G44	G47	0.9641643166542052
G24	G9	0.9639785289764404
G24	G65	0.9639785289764404
G24	G50	0.9637096524238586
G24	G19	0.9637096524238586
G60	G99	0.9634920358657836
G24	G94	0.9634408354759216
G24	G1	0.9631720781326294
G24	G78	0.9631720185279846
G24	G58	0.9631720185279846
G24	G35	0.9629032611846924
G24	G12	0.9623655676841736
G24	G98	0.9620968103408812
G24	G99	0.9620968103408812
G14	G52	0.9616129398345948
G24	G30	0.9615591764450072
G98	G11	0.961173176765442
G99	G88	0.9611111283302308
G24	G22	0.9610214829444884
G33	G65	0.9607638120651244
G24	G28	0.9607527256011964
G46	G91	0.9605262875556946
G24	G91	0.9604839086532592
G24	G5	0.9604839086532592
G24	G17	0.9604838490486144
G24	G57	0.9604838490486144
G24	G62	0.9604838490486144
G99	G45	0.9604575037956238
G84	G92	0.9601449370384216
G24	G93	0.9599462747573853
G24	G56	0.9599462747573853
G24	G6	0.9599462747573853
G24	G43	0.9599462747573853
G24	G42	0.9599461555480956
G99	G37	0.9598038792610168
G24	G96	0.9596773982048036
G24	G53	0.9596773982048036
G46	G80	0.959473729133606
G60	G67	0.959259271621704
G60	G34	0.959259271621704
G24	G3	0.9591398239135742
G24	G59	0.9591397643089294
G24	G85	0.9591397643089294
G46	G89	0.9589473605155944
G24	G18	0.9588710069656372
G46	G2	0.958684265613556
G46	G33	0.9586842060089112
G24	G37	0.9586021900177002
G24	G44	0.9586021900177002
G60	G52	0.9584656357765198
G24	G10	0.9583333134651184
G24	G70	0.9583333134651184
G24	G80	0.9583333134651184
G24	G32	0.9577957391738892
G24	G14	0.9577956795692444
G46	G18	0.9576315879821776
G24	G66	0.957526922225952
G24	G95	0.957526922225952
G24	G15	0.9575268030166626
G99	G76	0.957516312599182
G60	G11	0.9574074149131776
G60	G23	0.9574074149131776
G24	G55	0.9572581052780152
G24	G88	0.9572579860687256
G24	G8	0.9569892287254332
G24	G20	0.9567204713821412
G24	G72	0.9567204117774964
G99	G36	0.9565359950065612
G24	G84	0.956451654434204
G24	G13	0.956451654434204
G24	G29	0.9564515948295592
G24	G16	0.9564515948295592
G24	G75	0.9561828374862672
G24	G54	0.9556451439857484
G46	G20	0.9555263519287108
G24	G40	0.9553763270378112
G24	G77	0.9553763270378112
G60	G100	0.955290913581848
G99	G27	0.9552288055419922
G99	G66	0.9549019932746888
G99	G14	0.9549019932746888
G99	G96	0.9549019932746888
G24	G64	0.954838752746582
G24	G52	0.954838752746582
G24	G68	0.954838752746582
G60	G5	0.9547619819641112
G5	G23	0.9545902609825134
G99	G81	0.9545751810073853
G60	G17	0.9544973969459534
G46	G82	0.954473614692688
G46	G26	0.954473614692688
G4	G60	0.9544270634651184
G84	G32	0.954347848892212
G24	G23	0.9543010592460632
G24	G26	0.9543010592460632
G99	G92	0.9542483687400818
G99	G57	0.9542483687400818
G60	G93	0.9542327523231506
G24	G89	0.9540322422981262
G99	G56	0.9539215564727784
G46	G34	0.9536842107772828
G46	G85	0.9536842107772828
G99	G94	0.9535948038101196
G60	G70	0.9534391164779664
G24	G7	0.95322585105896
