Gene1,Gene2,EdgeWeight
G1,G2,0.6111986637115479
G1,G3,0.6856467127799988
G1,G4,0.6984226703643799
G1,G5,0.6736593246459961
G1,G6,0.6283911466598511
G1,G7,0.6446371674537659
G1,G8,0.6255519986152649
G1,G9,0.6255519986152649
G1,G10,0.6121451258659363
G1,G11,0.647633969783783
G1,G12,0.6340693831443787
G1,G13,0.6881703734397888
G1,G14,0.6981072425842285
G1,G15,0.5897476077079773
G1,G16,0.7449526190757751
G1,G17,0.7280756235122681
G1,G18,0.603469967842102
G1,G19,0.6070978045463562
G1,G20,0.6455835103988647
G1,G21,0.6733438372612
G1,G22,0.6864354014396667
G1,G23,0.605047345161438
G1,G24,0.652996838092804
G1,G25,0.6594637036323547
G1,G26,0.697476327419281
G1,G27,0.6468454003334045
G1,G28,0.6768139004707336
G1,G29,0.6203470230102539
G1,G30,0.6255521178245544
G1,G31,0.6427445411682129
G1,G32,0.5845425724983215
G1,G33,0.6326497793197632
G1,G34,0.6230283975601196
G1,G35,0.611514151096344
G1,G36,0.6194006204605103
G1,G37,0.6223974823951721
G1,G38,0.7367507219314575
G1,G39,0.6454258561134338
G1,G40,0.6858044266700745
G1,G41,0.6255519390106201
G1,G42,0.6536278128623962
G1,G43,0.6156151294708252
G1,G44,0.6029968857765198
G1,G45,0.7130915522575378
G1,G46,0.6154574155807495
G1,G47,0.60425865650177
G1,G48,0.6283912062644958
G1,G49,0.6665615439414978
G1,G50,0.620189368724823
G1,G51,0.6370661854743958
G1,G52,0.5979495644569397
G1,G53,0.6083595752716064
G1,G54,0.6197161078453064
G1,G55,0.6290220022201538
G1,G56,0.6321766972541809
G1,G57,0.590694010257721
G1,G58,0.6529967784881592
G1,G59,0.694952666759491
G1,G60,0.6134069561958313
G1,G61,0.6119874119758606
G1,G62,0.6242902278900146
G1,G63,0.6406940221786499
G1,G64,0.7253943085670471
G1,G65,0.6260252594947815
G1,G66,0.6130914688110352
G1,G67,0.7227128744125366
G1,G68,0.6455836296081543
G1,G69,0.6015772819519043
G1,G70,0.6957413554191589
G1,G71,0.6178233027458191
G1,G72,0.6104100942611694
G1,G73,0.6323344111442566
G1,G74,0.644163966178894
G1,G75,0.6670346856117249
G1,G76,0.6332807540893555
G1,G77,0.6342272162437439
G1,G78,0.7615141272544861
G1,G79,0.6556782126426697
G1,G80,0.6036278009414673
G1,G81,0.6152997612953186
G1,G82,0.6664037704467773
G1,G83,0.6856467127799988
G1,G84,0.6750789284706116
G1,G85,0.5903785824775696
G1,G86,0.6198738217353821
G1,G87,0.7514195442199707
G1,G88,0.6488958597183228
G1,G89,0.6988958716392517
G1,G90,0.7585172653198242
G1,G91,0.7078864574432373
G1,G92,0.641167163848877
G1,G93,0.6212933659553528
G1,G94,0.6427445411682129
G1,G95,0.6746057271957397
G1,G96,0.6216087937355042
G1,G97,0.6100946068763733
G1,G98,0.6159306168556213
G1,G99,0.6361198425292969
G1,G100,0.7014195322990417
G2,G1,0.5996763706207275
G2,G3,0.6322005987167358
G2,G4,0.5935274958610535
G2,G5,0.6035598516464233
G2,G6,0.6035598516464233
G2,G7,0.6025890111923218
G2,G8,0.6347896456718445
G2,G9,0.6048542857170105
G2,G10,0.6275081038475037
G2,G11,0.6017799377441406
G2,G12,0.6313915848731995
G2,G13,0.6681230068206787
G2,G14,0.6286407113075256
G2,G15,0.7533980011940002
G2,G16,0.5999999642372131
G2,G17,0.6571197509765625
G2,G18,0.6105177998542786
G2,G19,0.6124595403671265
G2,G20,0.6302589774131775
G2,G21,0.6103560328483582
G2,G22,0.9483818411827087
G2,G23,0.6037216782569885
G2,G24,0.7014563083648682
G2,G25,0.6493527889251709
G2,G26,0.5983818769454956
G2,G27,0.6077669858932495
G2,G28,0.5977346897125244
G2,G29,0.6825242638587952
G2,G30,0.6270226240158081
G2,G31,0.6000000238418579
G2,G32,0.5993527173995972
G2,G33,0.6033980250358582
G2,G34,0.614239513874054
G2,G35,0.6037216782569885
G2,G36,0.6833333373069763
G2,G37,0.6040453314781189
G2,G38,0.6186084151268005
G2,G39,0.6433656811714172
G2,G40,0.5914239287376404
G2,G41,0.5915857553482056
G2,G42,0.6056634783744812
G2,G43,0.6364076733589172
G2,G44,0.6266990303993225
G2,G45,0.6025890111923218
G2,G46,0.6407766342163086
G2,G47,0.6367314457893372
G2,G48,0.6173139214515686
G2,G49,0.6106796264648438
G2,G50,0.598705530166626
G2,G51,0.6033980250358582
G2,G52,0.6122977137565613
G2,G53,0.602750837802887
G2,G54,0.6021035313606262
G2,G55,0.6796116232872009
G2,G56,0.6105177998542786
G2,G57,0.6360841989517212
G2,G58,0.5912621021270752
G2,G59,0.5982201099395752
G2,G60,0.6064724922180176
G2,G61,0.7491909265518188
G2,G62,0.6124595999717712
G2,G63,0.6008090376853943
G2,G64,0.6346278786659241
G2,G65,0.6079287528991699
G2,G66,0.5925565958023071
G2,G67,0.6558252573013306
G2,G68,0.6199029684066772
G2,G69,0.6072815656661987
G2,G70,0.6113268733024597
G2,G71,0.6114886999130249
G2,G72,0.5953074097633362
G2,G73,0.5927184224128723
G2,G74,0.6158576011657715
G2,G75,0.6221683025360107
G2,G76,0.5990291237831116
G2,G77,0.6559870839118958
G2,G78,0.6037217378616333
G2,G79,0.610194206237793
G2,G80,0.6127831339836121
G2,G81,0.6030744314193726
G2,G82,0.6048544049263
G2,G83,0.6056634187698364
G2,G84,0.5932038426399231
G2,G85,0.6373786926269531
G2,G86,0.6093851923942566
G2,G87,0.6176375150680542
G2,G88,0.6076051592826843
G2,G89,0.6195792555809021
G2,G90,0.6165048480033875
G2,G91,0.6669902801513672
G2,G92,0.6037216782569885
G2,G93,0.6283170580863953
G2,G94,0.5938511490821838
G2,G95,0.6292880773544312
G2,G96,0.6126213669776917
G2,G97,0.6108413934707642
G2,G98,0.6684466004371643
G2,G99,0.6161811947822571
G2,G100,0.6043689250946045
G3,G1,0.63273024559021
G3,G2,0.6220394372940063
G3,G4,0.6527959704399109
G3,G5,0.6103618144989014
G3,G6,0.5985197424888611
G3,G7,0.6559211015701294
G3,G8,0.621052622795105
G3,G9,0.5993421077728271
G3,G10,0.6009868383407593
G3,G11,0.6108552813529968
G3,G12,0.6233552694320679
G3,G13,0.6159539222717285
G3,G14,0.6098684072494507
G3,G15,0.6052631735801697
G3,G16,0.6131578683853149
G3,G17,0.6039474010467529
G3,G18,0.5960526466369629
G3,G19,0.6046051979064941
G3,G20,0.6097039580345154
G3,G21,0.6567434668540955
G3,G22,0.5981907844543457
G3,G23,0.6333881616592407
G3,G24,0.6103618741035461
G3,G25,0.6277960538864136
G3,G26,0.6085526347160339
G3,G27,0.6136513352394104
G3,G28,0.5975329279899597
G3,G29,0.6421052813529968
G3,G30,0.6009868383407593
G3,G31,0.6036183834075928
G3,G32,0.6057565808296204
G3,G33,0.602302610874176
G3,G34,0.6273026466369629
G3,G35,0.6182565689086914
G3,G36,0.6018092036247253
G3,G37,0.6200658082962036
G3,G38,0.621874988079071
G3,G39,0.6381579637527466
G3,G40,0.6129934191703796
G3,G41,0.5991775989532471
G3,G42,0.6161184310913086
G3,G43,0.6113486886024475
G3,G44,0.6215460300445557
G3,G45,0.610032856464386
G3,G46,0.6120066046714783
