Gene1	Gene2	EdgeWeight
G8	G12	0.0194027479737997
G12	G8	0.0190661009401083
G33	G77	0.0166751556098461
G7	G70	0.016547804698348
G80	G28	0.0163305904716253
G33	G65	0.0162491220980882
G28	G80	0.0162255950272083
G70	G7	0.0159821640700101
G44	G47	0.0159093607217073
G5	G59	0.0157383419573307
G77	G33	0.015699477866292
G7	G72	0.0156841985881328
G22	G2	0.0156315620988607
G79	G3	0.015611751936376
G18	G4	0.0154320383444428
G70	G72	0.0153759522363543
G92	G94	0.0152746178209781
G82	G63	0.0151217794045805
G98	G22	0.0150828408077359
G84	G32	0.0149182491004467
G63	G82	0.0147249698638916
G26	G98	0.0145999826490879
G92	G84	0.0145868491381406
G5	G69	0.0145813729614019
G59	G5	0.0144955040886998
G38	G15	0.0144701497629284
G5	G57	0.0144646596163511
G59	G23	0.0144252656027674
G74	G66	0.0140681685879826
G13	G87	0.0140150338411331
G47	G44	0.0140003245323896
G30	G84	0.0139569146558642
G77	G65	0.0139568010345101
G97	G92	0.0139345349743962
G13	G44	0.0139010911807417
G84	G99	0.0138860214501619
G5	G23	0.0138557292520999
G10	G27	0.0137884495779871
G15	G22	0.0137512125074863
G12	G27	0.0137433903291821
G57	G5	0.0137332025915384
G82	G27	0.0137139102444052
G72	G7	0.0136541286483407
G59	G69	0.0136448182165622
G55	G6	0.0135696167126297
G57	G23	0.0135603109374642
G90	G3	0.0135453669354319
G92	G32	0.0135321021080017
G80	G65	0.0134663004428148
G10	G90	0.01346574164927
G92	G97	0.013408918865025
G27	G82	0.0133848506957292
G76	G24	0.0133627597242593
G13	G47	0.0133553622290492
G15	G38	0.0133275147527456
G6	G55	0.0133010856807231
G44	G40	0.0132917957380414
G72	G70	0.0132886655628681
G23	G59	0.0132853416725993
G57	G59	0.0132687203586101
G62	G56	0.0132653191685676
G98	G26	0.013225813396275
G90	G10	0.0132149895653128
G75	G55	0.013201767578721
G98	G11	0.0132006332278251
G65	G33	0.0131254410371184
G37	G83	0.0131092788651585
G84	G94	0.0131076192483305
G26	G50	0.0131058422848582
G16	G43	0.0130887534469366
G43	G16	0.0130776911973953
G17	G2	0.0130685186013579
G22	G15	0.013056487776339
G26	G46	0.0130525911226868
G10	G57	0.0130462190136313
G23	G69	0.01301203481853
G38	G95	0.0130024561658501
G97	G94	0.012996632605791
G58	G30	0.0129793686792254
G22	G98	0.0129619892686605
G84	G92	0.0129485549405217
G44	G35	0.0129202865064144
G26	G38	0.0128677804023027
G38	G87	0.0128617174923419
G37	G24	0.0128318602219223
G15	G54	0.0128310937434434
G38	G26	0.0128042725846171
G23	G5	0.0127906594425439
G90	G82	0.0127861388027668
G30	G32	0.0127834770828485
G96	G73	0.0127583760768175
G65	G77	0.012741214595735
G82	G41	0.0127069968730211
G89	G83	0.0127045642584562
G51	G40	0.0126920975744724
G2	G22	0.0126839950680732
G59	G57	0.012674462981522
G58	G21	0.0126718785613775
G69	G59	0.0126695819199085
G69	G23	0.012664096429944
G41	G20	0.012631713412702
G10	G63	0.0126208318397402
G55	G75	0.0126130124554038
G44	G39	0.0126021951436996
G82	G90	0.012595453299582
G98	G50	0.0125679858028888
G82	G48	0.012544204480946
G76	G14	0.0125239118933677
G18	G99	0.0124923707917332
G58	G25	0.0124893076717853
G90	G16	0.0124875325709581
G87	G81	0.0124859567731618
G97	G45	0.0124733299016952
G78	G94	0.0124601917341351
G98	G87	0.0124357910826802
G74	G37	0.0124249486252665
G17	G81	0.0124132018536329
G74	G63	0.0124083803966641
G20	G41	0.0124050015583634
G11	G98	0.0123669309541583
G97	G47	0.0123570393770933
G37	G74	0.0123501624912023
G38	G31	0.0123332329094409
G77	G87	0.0123320100829005
G84	G85	0.0123292170464992
G89	G46	0.0123288659378886
G39	G34	0.0123131275177001
G96	G14	0.0123122157528996
G30	G58	0.0123051702976226
G78	G92	0.0122911389917135
G22	G9	0.0122847529128193
G16	G82	0.0122612603008747
G18	G26	0.0122599098831415
G20	G29	0.0122575275599956
G20	G31	0.0122550688683986
G8	G83	0.0122532602399587
G69	G5	0.0122526567429304
G45	G97	0.0122429747134447
G91	G47	0.0122324433177709
G44	G20	0.012223401106894
G70	G10	0.0122206108644604
G1	G22	0.0122119951993227
G19	G71	0.0122089767828583
G96	G16	0.0122083155438303
G52	G14	0.0122082801535725
G75	G46	0.0122011676430702
G7	G97	0.0121689941734075
G74	G76	0.0121515393257141
G19	G10	0.0121352979913353
G17	G63	0.0121296513825654
G1	G90	0.0121277747675776
G88	G43	0.0120967635884881
G88	G6	0.0120919561013579
G3	G79	0.0120858941227197
G27	G10	0.0120760854333639
G30	G9	0.0120755843818187
G42	G62	0.0120607670396566
G20	G24	0.0120461471378803
G30	G35	0.0120309442281723
G16	G1	0.0120209399610757
G73	G96	0.0120151694864034
G26	G86	0.0120126428082585
G8	G46	0.0120009249076247
G26	G24	0.0119875837117433
G15	G83	0.0119868582114577
G81	G87	0.0119791850447654
G30	G94	0.0119735458865761
G39	G44	0.0119715183973312
G15	G2	0.0119678862392902
G62	G42	0.0119590377435088
G51	G66	0.0119532849639654
G87	G38	0.011948405764997
G18	G31	0.0119426967576146
G98	G4	0.0119321895763278
G17	G11	0.0119311669841408
G86	G38	0.0119297569617629
G13	G22	0.0119250724092125
G51	G16	0.0119208367541432
G87	G75	0.0119203813374042
G90	G1	0.0119189051911234
G13	G2	0.0119130806997418
G10	G42	0.0119020715355873
G5	G25	0.0118817742913961
G39	G100	0.0118804220110178
G30	G99	0.0118778860196471
G57	G6	0.0118726920336484
G74	G47	0.011872605420649
G35	G44	0.0118725774809718
G87	G98	0.0118694296106696
G73	G13	0.0118694175034761
G1	G78	0.0118690971285104
G19	G87	0.0118667352944612
G20	G8	0.0118593480437994
G18	G57	0.0118579473346471
G88	G48	0.0118539640679955
G94	G85	0.0118474178016185
G12	G79	0.0118364719673991
G1	G100	0.0118299946188926
G3	G90	0.0118264714255929
G89	G4	0.0118122780695557
G90	G53	0.0118045434355735
G90	G83	0.0117981908842921
G26	G71	0.0117933768779039
G73	G12	0.0117806969210505
G12	G72	0.0117778461426496
G86	G26	0.0117675308138132
G63	G10	0.0117621170356869
G15	G49	0.0117560364305973
G73	G9	0.0117553491145372
G23	G57	0.0117466356605291
G87	G77	0.0117394998669624
G19	G41	0.0117360185831785
G51	G3	0.0117336381226778
G38	G96	0.0117300692945718
G27	G12	0.0117267351597547
G74	G4	0.0117262369021773
G42	G99	0.0117207337170839
G74	G41	0.0117179509252309
G51	G42	0.0117036858573555
G22	G14	0.011696764267981
G92	G78	0.01169462967664
G17	G4	0.0116885751485824
G98	G40	0.0116866854950785
G10	G61	0.0116585725918412
G62	G9	0.0116577865555882
G82	G16	0.0116548640653491
G76	G95	0.0116541106253862
G1	G14	0.0116525283083319
G96	G57	0.0116521408781409
G87	G13	0.0116452369838953
G88	G58	0.0116424141451716
G88	G79	0.0116424141451716
G33	G99	0.0116393249481916
G32	G84	0.0116385342553257
G62	G55	0.0116350017488002
G86	G45	0.0116302631795406
G19	G88	0.0116266915574669
G41	G55	0.0116251511499285
G8	G91	0.0116194197908043
G42	G89	0.0116187231615185
G34	G39	0.011617224663496
G96	G39	0.0116154700517654
G63	G48	0.011615409515798
G6	G57	0.0116120157763361
G1	G40	0.0116104204207658
G38	G24	0.0116094378754496
G38	G42	0.0116008212789893
G13	G97	0.011598234064877
G97	G7	0.0115961013361811
G13	G100	0.011592237278819
G92	G85	0.0115919783711433
G18	G75	0.0115891629830002
G1	G87	0.0115863559767603
G80	G43	0.01158432289958
G43	G61	0.0115812569856643
G11	G17	0.0115756578743457
G41	G72	0.0115665420889854
G79	G24	0.0115609997883439
G7	G35	0.0115510458126664
G87	G95	0.0115484278649091
G15	G5	0.0115473503246903
G23	G50	0.0115471221506595
G42	G4	0.0115454820916056
G93	G28	0.0115419793874025
G13	G25	0.0115412632003426
G37	G10	0.0115406056866049
G76	G41	0.011533391661942
G78	G49	0.0115254297852516
G75	G71	0.0115238362923264
G8	G68	0.0115232896059751
G38	G57	0.0115203987807035
G18	G83	0.0115116760134696
G75	G47	0.0115115214139223
G78	G84	0.0115080270916223
G70	G31	0.011507867835462
G91	G15	0.0115065099671483
G76	G31	0.0115055302157998
G6	G88	0.0114930672571063
G84	G30	0.0114898951724171
G88	G44	0.0114885615184903
G20	G44	0.0114857489243149
G10	G6	0.0114854862913489
G91	G74	0.011485424824059
G86	G84	0.0114836376160383
G74	G18	0.0114832073450088
G65	G80	0.011482186615467
G13	G38	0.0114812925457954
G58	G29	0.011477961204946
G89	G72	0.0114761274307966
G15	G14	0.0114746270701289
G28	G69	0.0114714512601494
G10	G22	0.011470815166831
G91	G70	0.0114703653380274
G77	G80	0.0114632351323962
G35	G8	0.0114613473415374
G80	G53	0.0114539852365851
G44	G81	0.011451244354248
G73	G56	0.0114511670544743
G79	G43	0.0114502953365445
G96	G38	0.0114473961293697
G57	G60	0.0114443348720669
G26	G33	0.0114425513893365
G51	G23	0.0114416079595685
G87	G93	0.0114388791844248
G98	G85	0.0114317378029227
G97	G13	0.0114292511716485
G82	G88	0.0114287603646516
G74	G64	0.0114252101629972
G91	G27	0.0114251812919974
G82	G24	0.0114227319136261
G35	G96	0.0114215528592467
G73	G8	0.011416315101087
G44	G68	0.0114148212596774
G64	G50	0.0114117935299873
G96	G61	0.0114107243716716
G78	G14	0.0114085841923952
G26	G18	0.0113924341276288
G78	G26	0.0113886957988142
G28	G29	0.0113843139261007
G81	G17	0.0113839283585548
G73	G4	0.0113814603537321
G2	G61	0.0113745089620351
G78	G57	0.0113737778738141
G88	G74	0.0113707659766078
G17	G54	0.0113672167062759
G73	G14	0.011359279975295
G74	G91	0.0113561665639281
G39	G31	0.0113540906459093
G5	G6	0.0113489609211683
G10	G100	0.0113476011902093
G16	G90	0.0113470535725355
G76	G74	0.0113445706665515
G11	G78	0.0113424668088555
G47	G65	0.0113398684188723
G38	G1	0.011327963322401
G76	G36	0.0113260000944137
G17	G30	0.0113199586048722
G51	G5	0.0113193048164248
G35	G62	0.0113180810585618
G32	G85	0.011314308270812
G88	G89	0.0113130714744329
G16	G6	0.0113123683258891
G75	G61	0.0113114025443792
G38	G81	0.0113107291981577
