Gene1,Gene2,EdgeWeight
G1,G2,0.00983276218175888
G1,G3,0.011243456043303013
G1,G4,0.010368164628744125
G1,G5,0.010677976533770561
G1,G6,0.009408650919795036
G1,G7,0.01032906211912632
G1,G8,0.009926007129251957
G1,G9,0.010217770002782345
G1,G10,0.009589122608304024
G1,G11,0.010353125631809235
G1,G12,0.01022378634661436
G1,G13,0.010458400472998619
G1,G14,0.011652528308331966
G1,G15,0.00953197292983532
G1,G16,0.010720085352659225
G1,G17,0.010762196965515614
G1,G18,0.009622211568057537
G1,G19,0.010019250214099884
G1,G20,0.009739517234265804
G1,G21,0.010437345132231712
G1,G22,0.0122119951993227
G1,G23,0.009258256293833256
G1,G24,0.010052335448563099
G1,G25,0.010578716173768044
G1,G26,0.00959513895213604
G1,G27,0.010789267718791962
G1,G28,0.010485473088920116
G1,G29,0.010070383548736572
G1,G30,0.009420681744813919
G1,G31,0.00969139114022255
G1,G32,0.009763582609593868
G1,G33,0.009306383319199085
G1,G34,0.00997713953256607
G1,G35,0.010780244134366512
G1,G36,0.009237200953066349
G1,G37,0.009844793006777763
G1,G38,0.011084041558206081
G1,G39,0.009907959029078484
G1,G40,0.011610420420765877
G1,G41,0.009462791495025158
G1,G42,0.009661313146352768
G1,G43,0.009823737666010857
G1,G44,0.009339467622339725
G1,G45,0.011282559484243393
G1,G46,0.009315405040979385
G1,G47,0.009592130780220032
G1,G48,0.009249233640730381
G1,G49,0.010993803851306438
G1,G50,0.009237200953066349
G1,G51,0.010389220900833607
G1,G52,0.009631234221160412
G1,G53,0.009796665981411934
G1,G54,0.009285327047109604
G1,G55,0.009739517234265804
G1,G56,0.009889911860227585
G1,G57,0.009492872282862663
G1,G58,0.010410274378955364
G1,G59,0.010840401984751225
G1,G60,0.009345483966171741
G1,G61,0.009528965689241886
G1,G62,0.009856823831796646
G1,G63,0.009772603400051594
G1,G64,0.010527580976486206
G1,G65,0.010530591011047363
G1,G66,0.009577091783285141
G1,G67,0.010674967430531979
G1,G68,0.010311013087630272
G1,G69,0.00928231980651617
G1,G70,0.009950068779289722
G1,G71,0.010112494230270386
G1,G72,0.009077782742679119
G1,G73,0.009537988342344761
G1,G74,0.010509533807635307
G1,G75,0.010795282199978828
G1,G76,0.009895927272737026
G1,G77,0.009255249053239822
G1,G78,0.011869097128510475
G1,G79,0.010007219389081001
G1,G80,0.009471816010773182
G1,G81,0.00937857199460268
G1,G82,0.010852432809770107
G1,G83,0.009850808419287205
G1,G84,0.010094446130096912
G1,G85,0.00930638238787651
G1,G86,0.009610178880393505
G1,G87,0.011586355976760387
G1,G88,0.009592130780220032
G1,G89,0.010512541979551315
G1,G90,0.012127774767577648
G1,G91,0.010455391369760036
G1,G92,0.010022257454693317
G1,G93,0.010172652080655098
G1,G94,0.00996209867298603
G1,G95,0.009835770353674889
G1,G96,0.010076399892568588
G1,G97,0.009189074859023094
G1,G98,0.009381580166518688
G1,G99,0.010061359964311123
G1,G100,0.01182999461889267
G2,G1,0.009765484370291233
G2,G3,0.010361909866333008
G2,G4,0.009945737197995186
G2,G5,0.009648850187659264
G2,G6,0.009733675047755241
G2,G7,0.009765484370291233
G2,G8,0.009736324660480022
G2,G9,0.010224070399999619
G2,G10,0.010218768380582333
G2,G11,0.009784039109945297
G2,G12,0.010306243784725666
G2,G13,0.010356607846915722
G2,G14,0.010380465537309647
G2,G15,0.010918575339019299
G2,G16,0.010420228354632854
G2,G17,0.01087616290897131
G2,G18,0.01011008583009243
G2,G19,0.010208165273070335
G2,G20,0.010104784741997719
G2,G21,0.009879468008875847
G2,G22,0.012683995068073273
G2,G23,0.009805245324969292
G2,G24,0.010505053214728832
G2,G25,0.010221417993307114
G2,G26,0.010014657862484455
G2,G27,0.00994308665394783
G2,G28,0.009741627611219883
G2,G29,0.010542163625359535
G2,G30,0.010014657862484455
G2,G31,0.009956340305507183
G2,G32,0.010009356774389744
G2,G33,0.009919228963553905
G2,G34,0.009964292868971825
G2,G35,0.0098450081422925
G2,G36,0.011027256026864052
G2,G37,0.010075625963509083
G2,G38,0.009837056510150433
G2,G39,0.010661449283361435
G2,G40,0.009834404103457928
G2,G41,0.009908625856041908
G2,G42,0.009882118552923203
G2,G43,0.00980259571224451
G2,G44,0.00982115138322115
G2,G45,0.009685961529612541
G2,G46,0.010152499191462994
G2,G47,0.010051768273115158
G2,G48,0.00969921424984932
G2,G49,0.009741628542542458
G2,G50,0.009760183282196522
G2,G51,0.009974895045161247
G2,G52,0.00996694341301918
G2,G53,0.009887420572340488
G2,G54,0.010038514621555805
G2,G55,0.010004054754972458
G2,G56,0.01027973648160696
G2,G57,0.010759527795016766
G2,G58,0.009762833826243877
G2,G59,0.009813198819756508
G2,G60,0.009871515445411205
G2,G61,0.01137450896203518
G2,G62,0.009731023572385311
G2,G63,0.009879467077553272
G2,G64,0.010027912445366383
G2,G65,0.010075625963509083
G2,G66,0.009699215181171894
G2,G67,0.01058987807482481
G2,G68,0.010430831462144852
G2,G69,0.009733675047755241
G2,G70,0.010043815709650517
G2,G71,0.009980198927223682
G2,G72,0.0098450081422925
G2,G73,0.009911278262734413
G2,G74,0.009932483546435833
G2,G75,0.010091530159115791
G2,G76,0.009916579350829124
G2,G77,0.010327450931072235
G2,G78,0.009961643256247044
G2,G79,0.010067672468721867
G2,G80,0.00982645247131586
G2,G81,0.010186959058046341
G2,G82,0.009980197995901108
G2,G83,0.009898023679852486
G2,G84,0.009834404103457928
G2,G85,0.010049118660390377
G2,G86,0.009765485301613808
G2,G87,0.010041166096925735
G2,G88,0.009863562881946564
G2,G89,0.010216116905212402
G2,G90,0.0098927216604352
G2,G91,0.011032558977603912
G2,G92,0.009781387634575367
G2,G93,0.01022937148809433
G2,G94,0.010152499191462994
G2,G95,0.00986621342599392
G2,G96,0.010642892681062222
G2,G97,0.010179007425904274
G2,G98,0.010767480358481407
G2,G99,0.010009356774389744
G2,G100,0.009953689761459827
G3,G1,0.010445039719343185
G3,G2,0.010263444855809212
G3,G4,0.010205074213445187
G3,G5,0.009871064685285091
G3,G6,0.009841881692409515
G3,G7,0.009858095087110996
G3,G8,0.009978077374398708
G3,G9,0.010175887495279312
G3,G10,0.009861337952315807
G3,G11,0.010325055569410324
G3,G12,0.010000777430832386
G3,G13,0.009715411812067032
G3,G14,0.010078605264425278
G3,G15,0.009689469821751118
G3,G16,0.009793238714337349
G3,G17,0.010192103683948517
G3,G18,0.009922950528562069
G3,G19,0.00997159257531166
G3,G20,0.009871065616607666
G3,G21,0.010185616090893745
G3,G22,0.009780267253518105
G3,G23,0.010117517784237862
G3,G24,0.009897008538246155
G3,G25,0.010094818659126759
G3,G26,0.009913221932947636
G3,G27,0.009906736202538013
G3,G28,0.009802968241274357
G3,G29,0.010843904688954353
G3,G30,0.00986782368272543
G3,G31,0.010117517784237862
G3,G32,0.009968348778784275
G3,G33,0.010166158899664879
G3,G34,0.010120760649442673
G3,G35,0.01014021784067154
G3,G36,0.009994292631745338
G3,G37,0.01032829936593771
G3,G38,0.010153189301490784
G3,G39,0.010260201059281826
G3,G40,0.010033205151557922
G3,G41,0.010013749822974205
G3,G42,0.010075361467897892
G3,G43,0.010046177543699741
G3,G44,0.009760810062289238
G3,G45,0.010432069189846516
G3,G46,0.009932678192853928
G3,G47,0.009913221932947636
G3,G48,0.010441797785460949
G3,G49,0.00988403707742691
G3,G50,0.010072119534015656
G3,G51,0.011096841655671597
G3,G52,0.01009806152433157
G3,G53,0.010120762512087822
G3,G54,0.009825666435062885
G3,G55,0.010049420408904552
G3,G56,0.009689468890428543
G3,G57,0.010305600240826607
G3,G58,0.009900251403450966
G3,G59,0.009679741226136684
G3,G60,0.010004020296037197
G3,G61,0.010143459774553776
G3,G62,0.010169402696192265
G3,G63,0.010153189301490784
G3,G64,0.01011103205382824
G3,G65,0.00995537918061018
G3,G66,0.009942406788468361
G3,G67,0.01113899890333414
G3,G68,0.010208317078649998
G3,G69,0.010114275850355625
G3,G70,0.010094818659126759
G3,G71,0.009799723513424397
G3,G72,0.010062390938401222
G3,G73,0.010059148073196411
G3,G74,0.010153189301490784
G3,G75,0.010542324744164944
G3,G76,0.009770538657903671
G3,G77,0.010159675031900406
G3,G78,0.009965107776224613
G3,G79,0.012085894122719765
G3,G80,0.01014346070587635
G3,G81,0.009984562173485756
G3,G82,0.01031532883644104
G3,G83,0.010062390938401222
G3,G84,0.009806209243834019
G3,G85,0.009978078305721283
G3,G86,0.009877551347017288
G3,G87,0.00998780783265829
G3,G88,0.009686226025223732
G3,G89,0.010331541299819946
G3,G90,0.0118264714255929
G3,G91,0.010188859887421131
G3,G92,0.009841881692409515
G3,G93,0.010205074213445187
G3,G94,0.009913221932947636
G3,G95,0.01022777333855629
G3,G96,0.010059147141873837
G3,G97,0.009978077374398708
G3,G98,0.00997159257531166
G3,G99,0.009851610288023949
G3,G100,0.01003968995064497
G4,G1,0.010169226676225662
G4,G2,0.010124538093805313
G4,G3,0.010071471333503723
G4,G5,0.010035163722932339
G4,G6,0.010068679228425026
G4,G7,0.010046335868537426
G4,G8,0.010152468457818031
G4,G9,0.010222292505204678
G4,G10,0.010079850442707539
G4,G11,0.010099401697516441
G4,G12,0.009979303926229477
G4,G13,0.010191570967435837
G4,G14,0.01008264347910881
G4,G15,0.01006030011922121
G4,G16,0.01006588526070118
G4,G17,0.010023991577327251
G4,G18,0.01033121906220913
G4,G19,0.010183190926909447
G4,G20,0.01010498870164156
G4,G21,0.010057507082819939
G4,G22,0.010211121290922165
G4,G23,0.01010498683899641
G4,G24,0.01002119854092598
G4,G25,0.01008264347910881
G4,G26,0.010093816556036472
G4,G27,0.010026784613728523
G4,G28,0.01008264347910881
G4,G29,0.010141296312212944
G4,G30,0.010177604854106903
G4,G31,0.010174812749028206
G4,G32,0.0101357102394104
G4,G33,0.010085437446832657
G4,G34,0.01014967542141676
G4,G35,0.010093815624713898
