Gene1	Gene2	EdgeWeight
G23	G67	0.010198912847777778
G28	G56	0.009803193632222222
G7	G72	0.009683384091111113
G28	G64	0.009410881712222223
G72	G8	0.009380739048888887
G28	G85	0.009260949821111109
G64	G92	0.009237912264444443
G39	G67	0.009192704361111113
G62	G86	0.009111460995555556
G3	G92	0.008908031296666667
G2	G61	0.00886229227
G35	G52	0.008811532884444445
G28	G66	0.008741342972222222
G39	G86	0.008716650156666667
G65	G7	0.008647849806666667
G7	G85	0.008634015695555554
G55	G6	0.008556499645555556
G51	G81	0.008525810656666667
G73	G82	0.008491822863333333
G1	G85	0.008456597517777777
G59	G81	0.008414300066666667
G11	G4	0.008376014753333334
G66	G85	0.008355168563333333
G46	G51	0.008141404576666667
G7	G77	0.008114719659999999
G39	G98	0.008077161275555555
G6	G95	0.008019453296666666
G55	G64	0.007985133687777778
G86	G9	0.00797868077
G59	G92	0.007975418926666667
G19	G62	0.00796305997777778
G39	G92	0.007958537934444444
G16	G9	0.007939037767777778
G55	G86	0.00790399436
G30	G82	0.007894878118888891
G19	G80	0.007873490852222222
G5	G85	0.007867202266666666
G15	G52	0.007856329975555555
G39	G85	0.00785542056
G35	G73	0.00784920595
G28	G80	0.007820854702222222
G28	G65	0.007797057477777778
G1	G76	0.00779602845
G28	G7	0.007764265775555557
G61	G86	0.007705857556666668
G22	G28	0.0076734074166666675
G79	G85	0.007666094517777776
G5	G78	0.007649596003333333
G46	G70	0.007606706863333333
G19	G6	0.007593522296666667
G47	G93	0.007565148272222222
G2	G39	0.007543055681111113
G43	G92	0.007532083382222222
G28	G74	0.007531198642222222
G1	G8	0.007524303398888888
G22	G52	0.007521683674444445
G72	G86	0.007510530909999999
G27	G72	0.007482698859999999
G22	G90	0.007479579122222222
G26	G8	0.007467193520000001
G81	G85	0.0074509922277777784
G28	G35	0.007446826016666667
G24	G74	0.007444861328888889
G64	G85	0.00742421541
G35	G86	0.0074108148566666655
G42	G82	0.007406677054444445
G24	G62	0.007399380375555556
G39	G83	0.007396935821111111
G53	G95	0.00736303503
G30	G5	0.007356208560000002
G28	G98	0.007342548726666667
G18	G85	0.007338057182222224
G35	G75	0.007337393074444444
G63	G77	0.007336420226666665
G2	G86	0.007316406102222222
G26	G41	0.007301178081111111
G73	G86	0.0072963359222222215
G75	G95	0.007292999528888887
G24	G95	0.007272210294444444
G26	G65	0.0072650838855555545
G12	G8	0.007263966471111111
G43	G52	0.0072558750377777785
G59	G7	0.007245932762222222
G65	G83	0.007245271459999999
G44	G77	0.00724233302
G36	G86	0.007237727623333333
G5	G59	0.007235838542222222
G20	G63	0.0072281818677777795
G40	G86	0.00721292569
G36	G75	0.007206761775555555
G38	G51	0.0072067033288888875
G28	G41	0.0071993011144444435
G2	G57	0.00719419997
G32	G66	0.007186755391111113
G18	G86	0.00716575238
G41	G81	0.007154784331111111
G38	G7	0.0071492257055555545
G4	G86	0.007136972674444444
G92	G96	0.007133044245555557
G58	G62	0.007131402843333333
G20	G70	0.007117456168888889
G39	G79	0.007110296762222222
G64	G77	0.007110117208888889
G80	G85	0.0070823272211111106
G16	G31	0.007081546764444444
G37	G59	0.007072412938888889
G73	G85	0.007067832914444445
G77	G80	0.007066143857777776
G20	G29	0.0070561299255555545
G3	G40	0.007054346676666668
G7	G86	0.007054099497777777
G26	G28	0.007044102286666667
G27	G81	0.007039627161111111
G26	G74	0.007023965653333333
G28	G67	0.00702314473888889
G18	G96	0.007022665768888889
G68	G86	0.007020751965555556
G3	G39	0.007018590787777778
G68	G78	0.007014054137777778
G62	G70	0.007001377945555556
G85	G90	0.006985355861111112
G19	G88	0.0069656155066666675
G35	G66	0.006948431575555556
G34	G86	0.006945688806666666
G35	G5	0.006944988726666665
G34	G59	0.006943126168888889
G74	G79	0.006934539242222222
G2	G64	0.0069094151122222214
G26	G35	0.0068984949911111105
G92	G98	0.0068922929011111115
G62	G93	0.00689073615
G53	G65	0.006885496745555554
G7	G75	0.006880366077777778
G38	G90	0.006877554383333333
G59	G97	0.006875279696666667
G11	G95	0.006867488468888889
G10	G73	0.006866930405555556
G40	G48	0.006854185204444445
G51	G6	0.006839633925555554
G48	G92	0.0068307450022222225
G49	G64	0.006829112997777778
G86	G95	0.006820881046666665
G35	G39	0.006813706781111111
G77	G89	0.006805132577777777
G22	G50	0.006801718712222222
G22	G74	0.0068003064336666676
G67	G80	0.006790522935555554
G61	G90	0.006787860157777778
G37	G41	0.006760412917777778
G13	G28	0.006757075974444446
G39	G88	0.006752396553333333
G44	G74	0.0067517210144444435
G48	G8	0.006737051137777778
G43	G59	0.006732507136666667
G48	G72	0.0067229601855555545
G38	G70	0.006721234924444444
G39	G73	0.006700513485555557
G3	G80	0.006693471588888889
G82	G89	0.006693238099999999
G28	G8	0.006691157571111111
G36	G62	0.006667498116666667
G28	G57	0.006667322405555556
G61	G95	0.006663474096666666
G26	G52	0.006657927476666667
G51	G80	0.006643428880000001
G26	G94	0.006642701051111111
G20	G55	0.006632898798888889
G30	G7	0.0066314133499999995
G11	G57	0.006615231426666666
G39	G66	0.0066136602966666656
G28	G73	0.00661224613
G5	G64	0.006609518833333335
G55	G80	0.00660299485
G34	G39	0.006602243662222221
G28	G51	0.006600324341111112
G22	G51	0.006596569805555556
G38	G86	0.006592686928888889
G48	G73	0.006588852346666666
G31	G72	0.006585984433333334
G32	G92	0.006575375928888889
G70	G8	0.006572414556666665
G20	G31	0.006572124802222222
G67	G90	0.006569292361111111
G18	G77	0.006568446187777778
G3	G64	0.006564850205555555
G55	G61	0.0065623888022222215
G13	G47	0.006561900988888889
G39	G84	0.0065601630533333325
G15	G93	0.006557820117777779
G68	G77	0.006557674364444445
G86	G87	0.006549497801111111
G3	G37	0.006549062437777777
G40	G93	0.006547179524444444
G20	G84	0.006540561242222223
G5	G69	0.0065343345844444435
G39	G62	0.006532962228888889
G34	G7	0.006531140388888889
G36	G39	0.0065303406022222225
G39	G65	0.006529936277777777
G31	G60	0.0065298497355555565
G52	G98	0.0065252331866666674
G37	G51	0.006522373597777778
G21	G86	0.006514288301111112
G46	G99	0.0065141601888888895
G67	G96	0.00650410132
G39	G45	0.006502707175555554
G75	G86	0.006502668695555556
G22	G35	0.006491240144444446
G26	G90	0.0064759822444444455
