Gene1,Gene2,EdgeWeight
G23,G67,0.010198912847777778
G28,G56,0.009803193632222222
G7,G72,0.009683384091111111
G28,G64,0.009410881712222223
G72,G8,0.009380739048888889
G28,G85,0.00926094982111111
G64,G92,0.009237912264444445
G39,G67,0.009192704361111111
G62,G86,0.009111460995555556
G3,G92,0.008908031296666667
G2,G61,0.00886229227
G35,G52,0.008811532884444445
G28,G66,0.008741342972222222
G39,G86,0.008716650156666667
G65,G7,0.008647849806666667
G7,G85,0.008634015695555554
G55,G6,0.008556499645555556
G51,G81,0.008525810656666667
G73,G82,0.008491822863333333
G1,G85,0.008456597517777777
G59,G81,0.008414300066666667
G11,G4,0.008376014753333334
G66,G85,0.008355168563333333
G46,G51,0.008141404576666667
G7,G77,0.00811471966
G39,G98,0.008077161275555555
G6,G95,0.008019453296666666
G55,G64,0.007985133687777778
G86,G9,0.00797868077
G59,G92,0.007975418926666667
G19,G62,0.007963059977777779
G39,G92,0.007958537934444444
G16,G9,0.007939037767777778
G55,G86,0.00790399436
G30,G82,0.00789487811888889
G19,G80,0.007873490852222222
G5,G85,0.007867202266666666
G15,G52,0.007856329975555555
G39,G85,0.00785542056
G35,G73,0.00784920595
G28,G80,0.007820854702222222
G28,G65,0.007797057477777778
G1,G76,0.00779602845
G28,G7,0.007764265775555556
G61,G86,0.007705857556666667
G22,G28,0.007673407416666667
G79,G85,0.007666094517777777
G5,G78,0.007649596003333333
G46,G70,0.007606706863333333
G19,G6,0.007593522296666667
G47,G93,0.007565148272222222
G2,G39,0.007543055681111112
G43,G92,0.007532083382222222
G28,G74,0.007531198642222222
G1,G8,0.0075243033988888885
G22,G52,0.007521683674444445
G72,G86,0.00751053091
G27,G72,0.0074826988599999995
G22,G90,0.007479579122222222
G26,G8,0.00746719352
G81,G85,0.007450992227777778
G28,G35,0.007446826016666667
G24,G74,0.007444861328888889
G64,G85,0.00742421541
G35,G86,0.007410814856666666
G42,G82,0.007406677054444445
G24,G62,0.007399380375555556
G39,G83,0.007396935821111111
G53,G95,0.00736303503
G30,G5,0.007356208560000001
G28,G98,0.007342548726666667
G18,G85,0.007338057182222223
G35,G75,0.007337393074444444
G63,G77,0.007336420226666666
G2,G86,0.007316406102222222
G26,G41,0.007301178081111111
G73,G86,0.007296335922222222
G75,G95,0.007292999528888888
G24,G95,0.007272210294444444
G26,G65,0.007265083885555555
G12,G8,0.007263966471111111
G43,G52,0.007255875037777778
G59,G7,0.007245932762222222
G65,G83,0.00724527146
G44,G77,0.00724233302
G36,G86,0.007237727623333333
G5,G59,0.007235838542222222
G20,G63,0.007228181867777779
G40,G86,0.00721292569
G36,G75,0.0072067617755555554
G38,G51,0.007206703328888888
G28,G41,0.007199301114444444
G2,G57,0.00719419997
G32,G66,0.007186755391111112
G18,G86,0.00716575238
G41,G81,0.007154784331111111
G38,G7,0.007149225705555555
G4,G86,0.007136972674444444
G92,G96,0.007133044245555556
G58,G62,0.007131402843333333
G20,G70,0.007117456168888889
G39,G79,0.007110296762222222
G64,G77,0.007110117208888889
G80,G85,0.007082327221111111
G16,G31,0.007081546764444444
G37,G59,0.007072412938888889
G73,G85,0.007067832914444445
G77,G80,0.007066143857777777
G20,G29,0.007056129925555555
G3,G40,0.0070543466766666675
G7,G86,0.007054099497777777
G26,G28,0.007044102286666667
G27,G81,0.007039627161111111
G26,G74,0.007023965653333333
G28,G67,0.00702314473888889
G18,G96,0.007022665768888889
G68,G86,0.007020751965555556
G3,G39,0.007018590787777778
G68,G78,0.0070140541377777775
G62,G70,0.007001377945555556
G85,G90,0.006985355861111112
G19,G88,0.006965615506666667
G35,G66,0.006948431575555556
G34,G86,0.006945688806666666
G35,G5,0.006944988726666666
G34,G59,0.006943126168888889
G74,G79,0.006934539242222222
G2,G64,0.0069094151122222214
G26,G35,0.006898494991111111
G92,G98,0.0068922929011111115
G62,G93,0.00689073615
G53,G65,0.006885496745555555
G7,G75,0.006880366077777778
G38,G90,0.006877554383333333
G59,G97,0.006875279696666667
G11,G95,0.006867488468888889
G10,G73,0.0068669304055555555
G40,G48,0.0068541852044444445
G51,G6,0.006839633925555555
G48,G92,0.0068307450022222225
G49,G64,0.006829112997777778
G86,G95,0.006820881046666666
G35,G39,0.006813706781111111
G77,G89,0.006805132577777777
G22,G50,0.006801718712222222
G22,G74,0.0068003064336666676
G67,G80,0.006790522935555555
G61,G90,0.0067878601577777775
G37,G41,0.006760412917777778
G13,G28,0.006757075974444445
G39,G88,0.006752396553333333
G44,G74,0.0067517210144444435
G48,G8,0.006737051137777778
G43,G59,0.006732507136666667
G48,G72,0.006722960185555555
G38,G70,0.006721234924444444
G39,G73,0.006700513485555556
G3,G80,0.0066934715888888885
G82,G89,0.006693238099999999
G28,G8,0.006691157571111111
G36,G62,0.006667498116666667
G28,G57,0.006667322405555556
G61,G95,0.006663474096666666
G26,G52,0.006657927476666667
G51,G80,0.006643428880000001
G26,G94,0.006642701051111111
G20,G55,0.006632898798888889
G30,G7,0.00663141335
G11,G57,0.0066152314266666665
G39,G66,0.006613660296666666
G28,G73,0.00661224613
G5,G64,0.006609518833333334
G55,G80,0.00660299485
G34,G39,0.006602243662222221
G28,G51,0.006600324341111112
G22,G51,0.0065965698055555555
G38,G86,0.006592686928888889
G48,G73,0.006588852346666666
G31,G72,0.006585984433333334
G32,G92,0.006575375928888889
G70,G8,0.006572414556666666
G20,G31,0.006572124802222222
G67,G90,0.006569292361111111
G18,G77,0.006568446187777778
G3,G64,0.006564850205555555
G55,G61,0.006562388802222222
G13,G47,0.006561900988888889
G39,G84,0.006560163053333333
G15,G93,0.006557820117777779
G68,G77,0.0065576743644444446
G86,G87,0.006549497801111111
G3,G37,0.006549062437777777
G40,G93,0.006547179524444444
G20,G84,0.006540561242222223
G5,G69,0.006534334584444444
G39,G62,0.0065329622288888885
G34,G7,0.0065311403888888885
G36,G39,0.0065303406022222225
G39,G65,0.006529936277777777
G31,G60,0.006529849735555556
G52,G98,0.006525233186666667
G37,G51,0.0065223735977777775
G21,G86,0.006514288301111112
G46,G99,0.0065141601888888895
G67,G96,0.00650410132
G39,G45,0.006502707175555555
G75,G86,0.0065026686955555555
G22,G35,0.006491240144444445
G26,G90,0.006475982244444445
G4,G65,0.006454469998888888
