Gene1	Gene2	EdgeWeight
G93	G95	0.1864103824261243
G32	G33	0.16830474076468288
G67	G68	0.16162168336632785
G54	G45	0.15213411633078305
G50	G11	0.1447923398064826
G53	G68	0.14197983018431448
G43	G5	0.13338184052686558
G91	G15	0.13170274666962267
G84	G30	0.12169616718288137
G57	G10	0.11880373151790093
G63	G29	0.11309126613750713
G54	G50	0.11195297592975297
G68	G19	0.11192931806069914
G85	G61	0.10922971603711626
G51	G2	0.10871272887426822
G84	G45	0.10810224009143457
G96	G45	0.10725008973728953
G24	G34	0.106183049788962
G42	G37	0.10242285694811816
G55	G58	0.10040930097599372
G94	G27	0.0993403203662051
G69	G12	0.09641030900367333
G71	G17	0.09607770748803393
G7	G58	0.09603632989007872
G41	G55	0.09561007755547334
G10	G47	0.09554149364263648
G94	G19	0.0936558530913281
G15	G58	0.0933832719597014
G70	G11	0.09207498430404422
G15	G71	0.09090433272741497
G77	G21	0.08958870812839538
G92	G47	0.08917954447479817
G76	G36	0.08874705978958386
G88	G42	0.0887033595264146
G99	G20	0.08828826229878907
G65	G97	0.0882766839269705
G97	G46	0.08819834415646924
G39	G24	0.08813125928686137
G53	G58	0.0876372614274902
G78	G73	0.08759912004493894
G69	G59	0.08756409943230307
G22	G77	0.08722647742541566
G54	G86	0.08711998350779035
G71	G6	0.08651309932792217
G52	G12	0.0864826416247086
G5	G37	0.08601577549949442
G20	G66	0.08575154583884004
G6	G22	0.08567939757472713
G99	G58	0.08479586602303968
G66	G34	0.08373445159368934
G34	G42	0.08365296496869264
G56	G52	0.08326491286254163
G70	G36	0.08296582199558655
G90	G49	0.0827699249313225
G77	G90	0.08217634100890903
G52	G33	0.08217314590242085
G14	G36	0.08206277490864343
G34	G47	0.08112233653156413
G36	G87	0.08067127217312109
G32	G93	0.08042853415402625
G31	G47	0.080216474406386
G14	G27	0.07948809628885065
G49	G59	0.07919903178352977
G70	G18	0.07917258015045689
G90	G76	0.07891726177289021
G31	G6	0.07711700202340095
G9	G24	0.077049793099645
G25	G2	0.07657564762560083
G47	G89	0.07606085268989164
G72	G95	0.07390206343876321
G69	G98	0.07356153756801175
G47	G96	0.07314634330735784
G70	G52	0.07304309286120919
G54	G34	0.07271331774375127
