Gene1,Gene2,EdgeWeight
G1,G2,2.757151178558663e-05
G1,G3,0.0139563588654823
G1,G4,0.012755420041916524
G1,G5,0.003327239499686043
G1,G6,0.04395035494064483
G1,G7,0.0007895869595191272
G1,G8,0.0030110014573867683
G1,G9,0.002959262918301041
G1,G10,0.01190385880058645
G1,G11,0.006631380281186522
G1,G12,0.030028651013083687
G1,G13,3.732327534122284e-05
G1,G14,0.0015556691115994894
G1,G15,0.0226575482724328
G1,G16,0.012605762839887695
G1,G17,0.001026548773762902
G1,G18,0.0022417320331866424
G1,G19,0.0037275995324496975
G1,G20,0.023962951105740895
G1,G21,0.0013343289106666509
G1,G22,0.018436568756118314
G1,G23,0.005580255563521701
G1,G24,0.005546049114085591
G1,G25,0.005168121586464607
G1,G26,0.0017252891024531767
G1,G27,0.005843283170540905
G1,G28,0.0
G1,G29,0.0029364113963557064
G1,G30,0.0010064862818064517
G1,G31,0.01700750720240204
G1,G32,0.003650192727755746
G1,G33,0.004315385556345514
G1,G34,0.03534145319185606
G1,G35,0.00840071196735907
G1,G36,0.0013966320016531321
G1,G37,0.007269128413561307
G1,G38,0.0083651940379709
G1,G39,0.006964900584042025
G1,G40,0.027770128724316664
G1,G41,0.006127779933993327
G1,G42,0.0
G1,G43,0.006149495762238525
G1,G44,0.00229884387743419
G1,G45,0.023672932097566962
G1,G46,0.012920001058413608
G1,G47,0.02228999461473835
G1,G48,0.008339734365635575
G1,G49,0.027871124186594792
G1,G50,0.003281137126817718
G1,G51,0.0023816225097287574
G1,G52,0.0022720981119980846
G1,G53,0.004182930656544627
G1,G54,0.002700406470892688
G1,G55,0.01940319693351884
G1,G56,4.318623455434476e-05
G1,G57,0.004745314872813751
G1,G58,0.020579730014194008
G1,G59,0.007431761474957332
G1,G60,0.0021372943965329515
G1,G61,0.010788897440664904
G1,G62,0.01393121046564189
G1,G63,0.0072345793336813635
G1,G64,0.004225687170353384
G1,G65,0.009653390432654582
G1,G66,0.0037142097573188773
G1,G67,0.003287040861067839
G1,G68,0.0005680283742624994
G1,G69,0.00482345864198374
G1,G70,0.04647934960548098
G1,G71,0.005460396744332777
G1,G72,0.006963695730084674
G1,G73,0.015960375286779547
G1,G74,0.007303726013082369
