Gene1	Gene2	EdgeWeight
FOXL2	WT1pKTS	0.12473013997077942
FOXL2	CTNNB1	0.11563561856746675
DHH	PGD2	0.11060192435979843
PGD2	DHH	0.10966764390468596
PGD2	FGF9	0.10941331088542937
DHH	FGF9	0.10894104838371277
WT1pKTS	FOXL2	0.10748465359210968
PGD2	AMH	0.10693103075027466
DMRT1	DKK1	0.10524094849824904
DHH	AMH	0.10477860271930696
FGF9	PGD2	0.1043561026453972
FGF9	DHH	0.1041744127869606
RSPO1	CTNNB1	0.1020885556936264
AMH	DHH	0.1005374863743782
RSPO1	NR5A1	0.09985393285751344
AMH	PGD2	0.09968742728233336
AMH	FGF9	0.09947490692138672
FGF9	AMH	0.09848737716674803
RSPO1	WNT4	0.09831491112709044
SRY	DKK1	0.09574328362941742
SRY	DMRT1	0.09540162235498427
UGR	CBX2	0.09470248967409134
CTNNB1	RSPO1	0.0936191901564598
CTNNB1	FOXL2	0.09317220002412796
NR5A1	RSPO1	0.09152909368276596
WNT4	RSPO1	0.08974987268447876
CBX2	UGR	0.0896909236907959
SRY	FOXL2	0.08907655626535416
DKK1	SRY	0.08889883011579514
NR0B1	AMH	0.08700942993164062
DMRT1	SRY	0.0856170728802681
DMRT1	SOX9	0.0855291560292244
WNT4	NR0B1	0.0848877876996994
UGR	SRY	0.08479069173336029
UGR	NR0B1	0.08463773131370544
SOX9	DMRT1	0.0831141546368599
CBX2	DMRT1	0.0815415009856224
NR0B1	UGR	0.08129104226827621
SOX9	DKK1	0.0812869742512703
WNT4	DKK1	0.08067549765110016
SOX9	FGF9	0.08034390956163406
CBX2	NR5A1	0.08012502640485764
WNT4	DMRT1	0.07962052524089812
WNT4	SOX9	0.07927651703357698
NR0B1	FGF9	0.07917522639036179
DKK1	SOX9	0.07885407656431198
CTNNB1	DMRT1	0.07863233238458632
SRY	CTNNB1	0.07847636938095093
NR0B1	WNT4	0.07824396342039107
WT1pKTS	SRY	0.0779314637184143
NR5A1	SOX9	0.07729179412126541
NR0B1	PGD2	0.07694506645202638
SOX9	WNT4	0.07658643275499344
